report_id,report_date,site,activity,report_type,narrative,source
DEMO500-0001,2026-08-12,Echo Valley Works,Driving,Near Miss,"At Echo Valley Works in the internal access road, the rigger prepared driving during the task execution stage. The equipment was light vehicle and reversing camera. The driver was distracted and the vehicle veered toward a pedestrian. A vehicle crash was narrowly avoided. a pedestrian was within the vehicle line of travel. The expected seatbelt, spotter, speed limit, and journey plan was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0001 was logged.",synthetic_judge_demo_v0_1
DEMO500-0002,2026-07-20,Blue Mesa Yard,Mechanical Lifting,Incident,"At Blue Mesa Yard in the internal access road, the operator prepared driving during verification. The equipment was light vehicle and reversing camera. The vehicle was speeding and the driver lost control. The driver was distracted and the vehicle veered toward a pedestrian. a pedestrian was within the vehicle line of travel. The expected seatbelt, spotter, speed limit, and journey plan was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0002 was logged.",synthetic_judge_demo_v0_1
DEMO500-0003,2026-08-18,Delta Point Facility,Pressure Testing,Incident,"At Delta Point Facility in the internal access road, the driver prepared pressure testing during the pre-job setup stage. The equipment was light vehicle and reversing camera. The driver was distracted and the vehicle veered toward a pedestrian. A vehicle crash was narrowly avoided. a pedestrian was within the vehicle line of travel. The expected seatbelt, spotter, speed limit, and journey plan was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0003 was logged. The vehicle was speeding and the driver lost control. Demo sequence 0003 was logged.",synthetic_judge_demo_v0_1
DEMO500-0004,2026-08-19,Aurora Basin,Drilling,Near Miss,"At Aurora Basin in the internal access road, the rigger prepared drilling during the task execution stage. The equipment was light vehicle and reversing camera. The driver was distracted and the vehicle veered toward a pedestrian. A vehicle crash was narrowly avoided. a pedestrian was within the vehicle line of travel. The expected seatbelt, spotter, speed limit, and journey plan was not verified. A secondary check also covered this area, and a parked trolley was moved clear of the marked route before work stopped. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0004 was logged.",synthetic_judge_demo_v0_1
DEMO500-0005,2026-09-03,Cedar Ridge Station,Mechanical Lifting,Unsafe Condition,"At Cedar Ridge Station in the internal access road, the driver prepared driving during setup. The equipment was light vehicle and reversing camera. The vehicle was speeding and the driver lost control. The driver was distracted and the vehicle veered toward a pedestrian. a pedestrian was within the vehicle line of travel. The expected seatbelt, spotter, speed limit, and journey plan was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0005 was logged.",synthetic_judge_demo_v0_1
DEMO500-0006,2026-08-10,Frostline Depot,Valve Maintenance,Near Miss,"At Frostline Depot in the internal access road, the technician prepared driving during verification. The equipment was light vehicle and reversing camera. The vehicle was speeding and the driver lost control. The driver was distracted and the vehicle veered toward a pedestrian. a pedestrian was within the vehicle line of travel. The expected seatbelt, spotter, speed limit, and journey plan was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0006 was logged.",synthetic_judge_demo_v0_1
DEMO500-0007,2026-08-18,Cedar Ridge Station,Pressure Testing,Near Miss,"At Cedar Ridge Station in the internal access road, the inspector prepared driving during positioning. The equipment was light vehicle and reversing camera. The vehicle was speeding and the driver lost control. The driver was distracted and the vehicle veered toward a pedestrian. a pedestrian was within the vehicle line of travel. The expected seatbelt, spotter, speed limit, and journey plan was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0007 was logged.",synthetic_judge_demo_v0_1
DEMO500-0008,2026-08-27,Delta Point Facility,Hot Work,Incident,"At Delta Point Facility in the internal access road, the inspector prepared hot work during the task execution stage. The equipment was light vehicle and reversing camera. The driver was distracted and the vehicle veered toward a pedestrian. A vehicle crash was narrowly avoided. a pedestrian was within the vehicle line of travel. The expected seatbelt, spotter, speed limit, and journey plan was not verified. A secondary check also covered this area, and a parked trolley was moved clear of the marked route before work stopped. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0008 was logged.",synthetic_judge_demo_v0_1
DEMO500-0009,2026-08-31,Delta Point Facility,Valve Maintenance,Unsafe Act,"At Delta Point Facility in the internal access road, the inspector prepared driving during positioning. The equipment was light vehicle and reversing camera. The vehicle was speeding and the driver lost control. The driver was distracted and the vehicle veered toward a pedestrian. a pedestrian was within the vehicle line of travel. The expected seatbelt, spotter, speed limit, and journey plan was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0009 was logged.",synthetic_judge_demo_v0_1
DEMO500-0010,2026-07-27,Aurora Basin,Driving,Near Miss,"At Aurora Basin in the internal access road, the rigger prepared driving during the task execution stage. The equipment was light vehicle and reversing camera. The driver was distracted and the vehicle veered toward a pedestrian. A vehicle crash was narrowly avoided. a pedestrian was within the vehicle line of travel. The expected seatbelt, spotter, speed limit, and journey plan was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0010 was logged.",synthetic_judge_demo_v0_1
