expansion_id,candidate_id,source,source_record_id,source_year,report_type_if_known,activity_if_known,location_if_known,narrative,source_native_outcome,source_native_classification,duplicate_group,normalized_narrative_sha256,retrieval_strata,primary_stratum,length_band,partition,selection_basis
EXP-V0.4-0751,OSHA-SIR-2015118381,OSHA_SIR,2015118381,2015,Incident,Overexertion in lifting-multiple episodes,"FARIBAULT, MINNESOTA",On 11/5/15 a worker delivering foodservice items at a restaurant began to feel back pain while stacking boxes on a hand cart. On 11/6/15 a worker climbing out of a semi trailer missed a ladder rung on the side of the trailer and fell fracturing ribs and the collar bone. Note to user: This record contains two separate events that were reported simultaneously to OSHA by the employer. These events are captured as one report.,Hospitalized=2.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-e7780391017b,26ced84bf4ba52b135d3cb2a65cbb499f1491bd92ef1f825730551a2b3c7e261,LSR09;HAZARD_TERM_POSSIBLE_NON_SIF,LSR09,long,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0752,OSHA-SIR-2018032889,OSHA_SIR,2018032889,2018,Incident,Strangulation by other person,"ROME, NEW YORK","An employee was choked by a resident, fracturing her trachea and requiring hospitalization.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-e3e1d00767aa,f764d8601eb745909d56547677af7ae513cec1986e19d10f7a9444b4748f0ba3,GENERAL,GENERAL,short,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0753,OSHA-SIR-2022054451,OSHA_SIR,2022054451,2022,Incident,"Water vehicle incident, n.e.c.","TAMPA, FLORIDA","An employee was unloading general cargo from a ship. The employee's right middle and ring fingers were pinched in a cargo hook safety latch, causing amputation and degloving injuries.",Hospitalized=0.00; Amputation=1.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-0ccd9a2da277,094d1537a9b47582163217b26f0fdcd9c7192f4e1dda4906a379ade9495888af,GENERAL,GENERAL,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0754,OSHA-SIR-20171211972,OSHA_SIR,20171211972,2017,Incident,"Struck by shifting load during transport, nonroadway","ERIE, PENNSYLVANIA","An employee was unloading items from a storage trailer using a pallet jack when some MDF that was on a skid slid onto the employee, breaking his right ankle and requiring surgery.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-f011804f077c,299c5548c719b81a3af49f77e3ca33fc923d5d208cac022ee0632bf71420fe70,GENERAL,GENERAL,short,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0755,OSHA-SIR-2017054785,OSHA_SIR,2017054785,2017,Incident,Exposure to environmental heat,"TILDEN, TEXAS",An employee was welding outside when he experienced leg and arm cramps. He was hospitalized due to heat stress and dehydration.,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-bc0f12aa41e1,c2b3c67019b0c90f414a445daa80907be8691833376e502f4784c45e4bc5e12d,LSR05,LSR05,short,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0756,OSHA-SIR-2019099100,OSHA_SIR,2019099100,2019,Incident,Inhalation of harmful substance-single episode,"LIBERAL, KANSAS",Five employees were exposed to ammonia released while refrigeration pipes were being welded. One employee (working for National Beef) was hospitalized.,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-f7b9e162b48e,aead663314093a6c09e804083a010c5d19835473376079bf0b672eb3bedf2f67,LSR05,LSR05,short,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0757,OSHA-SIR-2015108054,OSHA_SIR,2015108054,2015,Incident,Caught in running equipment or machinery during regular operation,"YORK, PENNSYLVANIA",An employee was adjusting the chain drive on a energized conveyor. The employee's right hand was caught in the chain resulting in the amputation of the middle finger to the first joint.,Hospitalized=1.00; Amputation=1.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-76ca94ef7b8f,bd2f5051fb6abb85bcc74cb28d5ff020640be37916b7e106ea147836114d1ff2,LSR04,LSR04,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0758,OSHA-SIR-20161110502,OSHA_SIR,20161110502,2016,Incident,"Collision between a moving and standing vehicle, nonroadway","LOWELL, MASSACHUSETTS","While operating a forklift, an employee struck a truck that was being repaired. The employee then attempted to reverse the forklift while a hand was on the outside of the roll bar, but went forward instead. The employee's right pinky finger was caught and amputated between the forklift's roll bar and the truck.",Hospitalized=1.00; Amputation=1.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-5d6c160bb8c7,c8184e1bfe5b2e5b737a1726d3fa6d3cbfed4b75185d6c285e14db31a16458b6,LSR03;HAZARD_TERM_POSSIBLE_NON_SIF,LSR03,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0759,OSHA-SIR-2019088466,OSHA_SIR,2019088466,2019,Incident,Fall from collapsing structure or equipment less than 6 feet,"LOVELAND, COLORADO","Two employees were working on an exterior light fixture from a scissor lift 8 feet above the ground, right outside of the door to an airplane hangar. The hangar door was opened, knocking the scissor lift over. The two employees fell to the ground, suffering injuries including a broken jaw and arm fractures. Both employees were hospitalized.",Hospitalized=2.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-1a5bee7823a6,580f0d8ac577a36b1600a163fd236dc5006c1d59702c57abf3f30b162189fd56,GENERAL,GENERAL,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0760,OSHA-SIR-2019065883,OSHA_SIR,2019065883,2019,Incident,Shooting by other person-unintentional,"NEW CASTLE, DELAWARE",An employee was attending firearm training at a shooting range. A second employee had a live round in his rifle that discharged while he was doing a gun function test. The first employee was shot in the right foot.,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-ba0a6828e901,52d89b54c3a673968fccf054aaea184cb342fa1cda009948169279eaba14b2ec,GENERAL,GENERAL,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
