candidate_id,ai_pass_c_label,ai_pass_c_confidence,ai_pass_c_hazard,ai_pass_c_exposure,ai_pass_c_barrier_failure,ai_pass_c_credible_consequence,ai_pass_c_reason,ai_pass_c_provenance
OSHA-SIR-20241110304,NON_SIF_POTENTIAL,0.9,Unspecified spider bite,Employee was bitten at the job site,No specific failed critical control or dangerous species is described,Localized bite reaction; a fatal or permanently disabling pathway is not credibly established,"The narrative lacks venom severity, systemic exposure, or a failed control supporting SIF potential.",AI_SOL_XHIGH_PASS_C
OSHA-SIR-2024032164,SIF_POTENTIAL,0.91,Heavy cylindrical mud motor rolling on a pipe rack,Employee manually repositioned the motor within its roll path,A loose rock was used as a chock and did not restrain the motor,Severe limb or body crush with permanent impairment or fatality,A heavy tubular motor moved uncontrollably after its improvised restraint failed while the employee was in the line of fire.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2024010257,SIF_POTENTIAL,0.88,Crane-handled 36-inch cylinder shells and pinch energy,Employee had a hand between large shells during the lift,Hands were not kept clear of the load pinch zone,Major crush or traumatic amputation; whole-body crushing is credible near the lifted shells,Large crane-handled vessels shifted with the employee directly in their pinch zone.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2024010653,UNCERTAIN,0.64,Hydraulic torque-tool reaction force while working from a ladder,Employee's hand was near the active tool and the employee was elevated,Hand placement or reaction control was ineffective; ladder height and fall controls are unstated,A severe hand injury or consequential fall is possible but not established,"The tool has meaningful energy and ladder exposure is mentioned, but height, stability, and wider body exposure are insufficiently described.",AI_SOL_XHIGH_PASS_C
OSHA-SIR-2024021317,SIF_POTENTIAL,0.9,Tensioned winch cable and entanglement energy,Operator's hand entered beneath the cable during operation,Separation from the live cable and pinch zone was not maintained,Traumatic limb loss or body entanglement with fatal potential,Contact with a live winch cable can pull or crush beyond the initially contacted hand.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2025032579,SIF_POTENTIAL,0.74,Moving forklift passing close to a fixed tote,Operator's foot was exposed outside or beyond protected clearance and snagged while the forklift moved,Operator containment and clearance from the fixed obstacle were ineffective,"Severe lower-limb crush, entrapment, or permanent impairment",Continued vehicle motion against a trapped foot creates a credible severe crush pathway despite limited geometry details.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2024076029,SIF_POTENTIAL,0.8,Hydraulic power-tong handle movement against drill pipe,Employee pulled the handle with a hand in the closing pinch zone,Guarding or safe hand clearance at the powered tong was ineffective,Severe hand or limb crushing with permanent functional loss,Powered tong movement supplied enough mechanical energy to trap a worker against fixed drill pipe.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2025021422,SIF_POTENTIAL,0.93,Forklift carriage pressing a fence barrier,Signaler stood beside and touched barriers while the carriage applied force,The carriage slipped during an improvised pushing task and no exclusion zone protected the employee,Severe limb or whole-body crushing with fatal potential,A powered carriage lost secure contact while a person was inside the barrier's crush zone.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2024010753,SIF_POTENTIAL,0.94,Rotating mini excavator between closely parked equipment,Employee stood in the converging space between the excavator and dump truck,Swing-zone separation and equipment coordination failed,Whole-body crushing or fatal entrapment between machines,The employee occupied a mobile-equipment swing and crush zone while the excavator rotated.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2024098564,SIF_POTENTIAL,0.9,Forklift-supported trailer being lowered onto a hitch,Employee placed a hand on the hitch beneath the descending trailer interface,Hands were not excluded from the suspended-load pinch point,"Severe crush, traumatic amputation, or fatal crushing if the trailer shifts",A heavy trailer was supported and lowered by a forklift while the employee was in its pinch zone.,AI_SOL_XHIGH_PASS_C
