candidate_id,narrative,source,pass_a_label,pass_a_confidence,pass_b_label,pass_b_confidence,pass_c_label,pass_c_confidence,pass_c_hazard,pass_c_exposure,pass_c_barrier_failure,pass_c_credible_consequence,pass_c_reason,agreement_pattern,unresolved_reason
OSHA-SIR-20241110304,An employee was bitten by a spider on the job site. The employee was hospitalized.,OSHA_SIR,UNCERTAIN,0.55,UNCERTAIN,0.55,NON_SIF_POTENTIAL,0.9,Unspecified spider bite,Employee was bitten at the job site,No specific failed critical control or dangerous species is described,Localized bite reaction; a fatal or permanently disabling pathway is not credibly established,"The narrative lacks venom severity, systemic exposure, or a failed control supporting SIF potential.",A_B_BOTH_UNCERTAIN,BOTH_A_B_UNCERTAIN
OSHA-SIR-2024010653,An employee was using a hydraulic bolt torquing machine on a ladder when the machine struck the employee's little finger and palm. The employee suffered a laceration and crush injury to the right hand that required hospitalization.,OSHA_SIR,UNCERTAIN,0.58,UNCERTAIN,0.55,UNCERTAIN,0.64,Hydraulic torque-tool reaction force while working from a ladder,Employee's hand was near the active tool and the employee was elevated,Hand placement or reaction control was ineffective; ladder height and fall controls are unstated,A severe hand injury or consequential fall is possible but not established,"The tool has meaningful energy and ladder exposure is mentioned, but height, stability, and wider body exposure are insufficiently described.",A_B_BOTH_UNCERTAIN,BOTH_A_B_UNCERTAIN
OSHA-SIR-2025032579,"An employee was operating a forklift in a yard to move empty poly totes when his left foot got caught on a stationary tote as he passed by it. His foot then twisted backward, resulting in a fractured tibia that required hospitalization and surgery.",OSHA_SIR,NON_SIF_POTENTIAL,0.72,NON_SIF_POTENTIAL,0.88,SIF_POTENTIAL,0.74,Moving forklift passing close to a fixed tote,Operator's foot was exposed outside or beyond protected clearance and snagged while the forklift moved,Operator containment and clearance from the fixed obstacle were ineffective,"Severe lower-limb crush, entrapment, or permanent impairment",Continued vehicle motion against a trapped foot creates a credible severe crush pathway despite limited geometry details.,A_B_SAME_BINARY_C_NOT_CONFIRMING,PASS_C_CONFIDENCE_BELOW_0_80
OSHA-SIR-2025021704,"An employee was working on an oil and gas drilling rig and tripping pipe out of the hole. After the employee finished work and took off his gloves, he noticed his fingers had frostbite.",OSHA_SIR,UNCERTAIN,0.55,UNCERTAIN,0.56,UNCERTAIN,0.65,Outdoor environmental cold,Rig worker had prolonged enough cold exposure for fingers to be affected,"Adequacy of gloves, warming breaks, exposure duration, and temperature is not given","Permanent tissue loss is possible, but severity and exposure conditions are not established","Cold can cause disabling injury, but the narrative lacks the conditions needed to judge credible SIF potential.",A_B_BOTH_UNCERTAIN,BOTH_A_B_UNCERTAIN
OSHA-SIR-2024054626,"The employee had been working that day on natural gas compression equipment in the field. As the employee was driving home, he experienced heat illness symptoms and was hospitalized.",OSHA_SIR,SIF_POTENTIAL,0.76,SIF_POTENTIAL,0.84,UNCERTAIN,0.66,Outdoor environmental heat during field work,Employee developed symptoms after working around compression equipment,"Hydration, acclimatization, rest, monitoring, and heat intensity are not described","Fatal heat illness is possible, but a severe exposure scenario is not sufficiently supported",The narrative establishes heat symptoms but not the dose or failed controls needed to determine SIF potential.,A_B_SAME_BINARY_C_NOT_CONFIRMING,PASS_C_UNCERTAIN
OSHA-SIR-2024098181,"On September 4, 2024, an employee was using a poke rod to clear a jam from a floor grate that dried distillers grain (DDG) is loaded into for a conveyor. He fell backward to the floor and sustained a brain bleed, two rib fractures, and fractures to their T1 and T2 vertebrae.",OSHA_SIR,NON_SIF_POTENTIAL,0.7,NON_SIF_POTENTIAL,0.91,NON_SIF_POTENTIAL,0.78,Loss of balance while using a poke rod at floor level,Employee fell backward onto the same-level floor,"Stable footing or body positioning was ineffective, but no major hazard or elevation is described",Ordinary same-level fall injury; no independently supported fatal or permanently disabling pathway,"The mechanism described is a same-level backward fall without elevation, machinery contact, or another high-energy exposure.",A_B_C_SAME_BINARY,PASS_C_CONFIDENCE_BELOW_0_80
OSHA-SIR-2024054631,"The injured employee was retrieving a suitcase generator out of the bed of a pickup truck. While handing the generator to an employee on the ground, the injured employee slipped and fell off the bumper of the truck. He landed on the tongue of the trailer that the truck was coupled to. The employee sustained a bruised lung and three fractured ribs.",OSHA_SIR,NON_SIF_POTENTIAL,0.78,NON_SIF_POTENTIAL,0.91,SIF_POTENTIAL,0.8,Fall from a pickup bumper while transferring a generator above a trailer tongue,Employee balanced on the bumper while handling a load over a rigid protrusion,"Stable access, controlled material handling, and separation from the trailer tongue were absent","Impaling or major head, chest, or spinal trauma with fatal potential",The load-transfer posture created a credible fall onto a concentrated rigid trailer component.,A_B_SAME_BINARY_C_NOT_CONFIRMING,PASS_C_DOES_NOT_CONFIRM_A_B_BINARY
OSHA-SIR-2025021232,"An employee was unloading diesel fuel from one compartment in a tanker to the next compartment. Fuel was released when a valve was opened. When the employee tried to stop the flow, some of the fuel entered his mouth. He became ill due to fuel ingestion and was hospitalized.",OSHA_SIR,UNCERTAIN,0.6,UNCERTAIN,0.54,UNCERTAIN,0.67,Uncontrolled diesel release and ingestion or aspiration exposure,Employee was at the open transfer point and fuel entered the mouth while stopping flow,Valve and transfer containment did not prevent release; quantity and respiratory exposure are unstated,"Severe aspiration injury is possible, but the dose and pathway are not established","Hydrocarbon ingestion is described, but the amount, aspiration, and exposure conditions are insufficient for a binary SIF judgment.",A_B_BOTH_UNCERTAIN,BOTH_A_B_UNCERTAIN
OSHA-SIR-20241211383,"Two employees were sliding a floor grate toward the front of a chiller. When the grate reached the middle of the unit, two additional employees began lifting it over a gap. The grate became stuck and the injured employee went to the front of the chiller, released the obstruction, and began to move away. The grate (still being pushed forward) struck his lower left leg, pinning it against the chiller frame and breaking the tibia.",OSHA_SIR,UNCERTAIN,0.62,NON_SIF_POTENTIAL,0.89,UNCERTAIN,0.64,Grate released suddenly while multiple workers pushed it,Employee entered the travel path to clear the obstruction and was pinned against the frame,Communication and line-of-fire control failed; grate mass and available force are unstated,"A severe leg crush is possible, but SIF-level energy is not established","The release and pinning mechanism is clear, but the manually moved grate's mass and capacity for life-altering injury are insufficiently described.",ONE_OF_A_B_UNCERTAIN_C_NOT_MATCHING_BINARY,PASS_C_UNCERTAIN
OSHA-SIR-2025032724,"An employee was at a residential home to perform a gas houseline inspection after repairs. While using a flashlight to see, the employee walked into the laundry room and fell into a 2' x 2' access opening for a crawl space in the floor. A black rug was partially covering the opening. The employee fell approximately 40 inches into the crawl space. The employee sustained three fractured ribs on the left side, fluid on the left side of the lungs, and a bruised right knee.",OSHA_SIR,NON_SIF_POTENTIAL,0.78,NON_SIF_POTENTIAL,0.91,SIF_POTENTIAL,0.84,Concealed 40-inch-deep floor opening,Employee walked into a 2-by-2-foot opening with limited visibility,The access opening was unguarded and partially concealed by a rug,"Head-first fall, spinal trauma, or other permanently disabling injury",A hidden floor opening exposed the employee to an uncontrolled fall into a confined footprint.,A_B_SAME_BINARY_C_NOT_CONFIRMING,PASS_C_DOES_NOT_CONFIRM_A_B_BINARY
OSHA-SIR-2024032554,"An employee was taking measurements for electrical conduit while standing on an earthen berm when he lost his balance and fell, landing on his leg and fracturing his left leg and ankle.",OSHA_SIR,UNCERTAIN,0.55,UNCERTAIN,0.55,UNCERTAIN,0.82,Fall from an earthen berm,Employee stood on the berm and fell to a lower level,"Stable footing or edge protection may have been inadequate, but height and slope are not provided",Fatal or disabling fall injury depends on unknown height and landing conditions,"The presence of an elevation change is clear, but essential severity determinants are missing.",A_B_BOTH_UNCERTAIN,BOTH_A_B_UNCERTAIN
OSHA-SIR-2024032434,"Two employees were making repairs on a boat. A gust of wind shut the engine room door on one employee's head, opening a wound across the top of the scalp. He was hospitalized.",OSHA_SIR,UNCERTAIN,0.6,NON_SIF_POTENTIAL,0.88,SIF_POTENTIAL,0.76,Wind-driven engine-room door,Employee's head was in the door's closing path,The door was not secured against an external gust,Severe head or neck trauma with fatal potential,An uncontrolled door closed directly onto the employee's head; door mass and force limit confidence.,ONE_OF_A_B_UNCERTAIN_C_NOT_MATCHING_BINARY,PASS_C_CONFIDENCE_BELOW_0_80
OSHA-SIR-2024021072,"A rig crew had installed the rotating rubber onto the last joint of pipe in a mouse hole. The crew picked up the joint out of the mouse hole to attach it to the stump to make up the last joint. As the joint was placed inside the stump, the rotating rubber (wet from the weather) slid down the casing and struck an employee's right index finger. The finger was amputated.",OSHA_SIR,NON_SIF_POTENTIAL,0.76,NON_SIF_POTENTIAL,0.88,UNCERTAIN,0.7,Wet rotating-rubber component sliding down casing,Employee's hand was close to the casing beneath the sliding component,The component was not secured against sliding; its mass and drop distance are unstated,"A severe crush is possible, but the available gravitational energy is unclear","The falling-object mechanism is present, yet the component's weight, height, and wider body exposure are insufficient for a binary label.",A_B_SAME_BINARY_C_NOT_CONFIRMING,PASS_C_UNCERTAIN
OSHA-SIR-2024010267,An employee took a CRT tube that was being rigged down. He got on the catwalk that takes him to the rig to put on the lift cap when the tube slipped and struck his foot. He was hospitalized and his right big toe was amputated.,OSHA_SIR,UNCERTAIN,0.6,SIF_POTENTIAL,0.95,UNCERTAIN,0.65,Tube slipping during rig-down work on a catwalk,Employee's foot was in the tube's drop path,The tube was not secured during handling; weight and fall distance are not stated,"A disabling crush is possible, but SIF-level energy is not established","The narrative does not provide tube mass, support method, drop height, or whole-body exposure.",ONE_OF_A_B_UNCERTAIN_C_NOT_MATCHING_BINARY,PASS_C_UNCERTAIN
OSHA-SIR-2024054144,"While unloading a debris container using a vacuum truck, a piece of solid debris tumbled out of the truck and struck the employee's left leg. He was hospitalized for surgery.",OSHA_SIR,UNCERTAIN,0.58,UNCERTAIN,0.56,UNCERTAIN,0.64,Solid debris falling from a vacuum truck during unloading,Employee stood in the debris discharge or fall zone,The discharge area did not exclude the employee; debris size and mass are unstated,Severe crush or struck-by trauma is possible but not sufficiently supported,"Falling debris is a credible hazard, but its energy and the employee's exact position are too poorly specified for a binary judgment.",A_B_BOTH_UNCERTAIN,BOTH_A_B_UNCERTAIN
OSHA-SIR-2024054535,An employee was troubleshooting a valve that is involved with blending a dry chemical powder mix. The employee's left hand was caught in the valve when it was manually actuated. The employee sustained injury to their hand and fingers.,OSHA_SIR,NON_SIF_POTENTIAL,0.7,UNCERTAIN,0.56,UNCERTAIN,0.72,Valve closing pinch point during manual actuation,Employee's hand remained in the valve mechanism while it moved,Safe hand positioning was ineffective; valve size and actuation force are unstated,"Severe hand crushing is possible, but life-altering energy is not established","The pinch mechanism is clear, but the valve's force, travel, and capacity to involve more than the hand are not described.",ONE_OF_A_B_UNCERTAIN_C_NOT_MATCHING_BINARY,PASS_C_UNCERTAIN
OSHA-SIR-2024021480,An employee was working in the rod basket on a well service rig when their left ring finger was caught in a pinch point between the rod basket swivel frame and a support on the rig. The finger was amputated.,OSHA_SIR,NON_SIF_POTENTIAL,0.79,UNCERTAIN,0.56,UNCERTAIN,0.76,Pinch point between a rod-basket swivel frame and rig support,Employee's finger entered the closing interface while working in the basket,Pinch-point separation was ineffective; movement source and force are unstated,"Severe limb crushing is possible, but the credible extent is unclear","Rig equipment is involved, but the narrative does not establish whether powered movement or wider body exposure was present.",ONE_OF_A_B_UNCERTAIN_C_NOT_MATCHING_BINARY,PASS_C_UNCERTAIN
OSHA-SIR-2024109922,"An employee was performing routine surveillance operation rounds on a furnace and nearby equipment. The employee heard a rumbling sound coming from a low-pressure steam vent and when he looked up, he saw water falling from the vent. He quickly moved to avoid the falling water and ran into a pipe and then fell, resulting in a right tibia fracture.",OSHA_SIR,UNCERTAIN,0.55,SIF_POTENTIAL,0.93,UNCERTAIN,0.72,Overhead low-pressure steam-vent discharge and evasive movement,Employee was beneath the vent and moved abruptly to avoid falling water,The vent discharged into an occupied area; fluid temperature and release magnitude are unstated,"Severe scalding may be possible, but thermal energy is not established","A process release prompted evasive action, yet the narrative specifies water from a low-pressure vent without temperature or volume details.",ONE_OF_A_B_UNCERTAIN_C_NOT_MATCHING_BINARY,PASS_C_UNCERTAIN
OSHA-SIR-2017065761,An employee was bitten on the right calf by a spider while working at a drilling rig.,OSHA_SIR,UNCERTAIN,0.5,UNCERTAIN,0.55,NON_SIF_POTENTIAL,0.91,Unspecified spider bite,Employee's calf was bitten at the drilling rig,"No dangerous species, systemic exposure, or failed critical control is described",Localized bite reaction; credible fatal or permanently disabling potential is not supported,The narrative provides no facts establishing a medically severe venom hazard or a SIF-level exposure.,A_B_BOTH_UNCERTAIN,BOTH_A_B_UNCERTAIN
OSHA-SIR-2015010093,An employee was exposed to a pinch point hazard when his left thumb was caught between the ST-80 and another metal object.,OSHA_SIR,NON_SIF_POTENTIAL,0.88,UNCERTAIN,0.56,UNCERTAIN,0.84,Pinch point between ST-80 equipment and metal,Employee's thumb was in the closing interface,Pinch-point separation was ineffective; equipment motion and energy are not described,"Severe hand or limb crushing is possible, but SIF-level potential cannot be determined","The narrative names a pinch location but omits how the equipment moved, its force, and whether more of the body was exposed.",ONE_OF_A_B_UNCERTAIN_C_NOT_MATCHING_BINARY,PASS_C_UNCERTAIN
OSHA-SIR-2015020655,An employee working on an oil-and-gas service rig suffered partial amputations of the right middle and right ring fingers after his hand was caught between the tong plate and the pin that secures the tongs.,OSHA_SIR,UNCERTAIN,0.59,UNCERTAIN,0.56,SIF_POTENTIAL,0.91,Powered tong plate and securing-pin pinch point,Worker's hand was between the tong plate and pin,Hand separation from the powered tong pinch point was not maintained,High-force pinching could permanently crush or amputate multiple digits or the hand,The tong mechanism placed a hand directly in a high-force pinch zone with no effective separation barrier.,A_B_BOTH_UNCERTAIN,BOTH_A_B_UNCERTAIN
OSHA-SIR-20171110662,An employee was stepping down into an excavation when he fractured his tibia.,OSHA_SIR,UNCERTAIN,0.55,NON_SIF_POTENTIAL,0.91,UNCERTAIN,0.92,Excavation access or fall hazard of unspecified depth,Worker was stepping down into the excavation,"Depth, access condition, and failed control are not described","A severe fall is possible only if the excavation geometry is substantial, which is unknown","The narrative lacks excavation depth, configuration, and barrier facts, so credible SIF severity cannot be established.",ONE_OF_A_B_UNCERTAIN_C_NOT_MATCHING_BINARY,PASS_C_UNCERTAIN
OSHA-SIR-2015010261,"On 01/08/15, employee suffered an amputation of the left index finger while operating a mulch machine at a well site.",OSHA_SIR,UNCERTAIN,0.58,UNCERTAIN,0.56,UNCERTAIN,0.93,Mulch machine with unspecified moving components,"Worker was operating the machine, but the contact zone and mechanism are unstated","Guarding, isolation, and operating controls are not described","Such machinery can cause permanent amputation, but the credible exposure path is unknown",The outcome alone cannot establish SIF potential without the machine-contact mechanism and barrier facts.,A_B_BOTH_UNCERTAIN,BOTH_A_B_UNCERTAIN
