incident_id,source,source_record_id,narrative,activity,source_native_outcome,sif_label,annotation_status,label_provenance,annotation_version,duplicate_group,normalized_narrative_sha256,model_input_allowlist,split
OSHA-SIR-2015010054,OSHA_SIR,2015010054,Employee was descending a work over rig derrick via a ladder when he fell a distance. Employee suffered a lacerated spleen and fractured hip and shoulder.,"Other fall to lower level, unspecified",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,SIF_POTENTIAL,retained_teammate_label,teammate_manual_label,sif-label-review-v0.2.0,osha-text-c94c2fd251fb,c94c2fd251fb8eed1122eef647d89d2cf9eebb7ffb2971322785926010a85257,narrative,development
OSHA-SIR-2015010181,OSHA_SIR,2015010181,An employee slipped on a step and fell forward injuring both knees.,"Fall on same level due to tripping, unspecified",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,NON_SIF_POTENTIAL,retained_teammate_label,teammate_manual_label,sif-label-review-v0.2.0,osha-text-16c180254e0d,16c180254e0d174cb8bce588e8a42d6e38ce50f7dd52286f6de602dffcb86a50,narrative,development
OSHA-SIR-2015010253,OSHA_SIR,2015010253,"Employee was on the side of the derrick untying tubular when his fast line became caught up in his SRL. The employee was pulled away from the ladder. The SRL stopped and so did the anchor. Therefore, no fall resulted. The employee received contusions to the head, ribs, and chest area. He also suffered bruising to the brain and lungs and received six stitches to the forehead. He did not lose consciousness.",Fall or jump curtailed by personal fall arrest system ,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,SIF_POTENTIAL,retained_teammate_label,teammate_manual_label,sif-label-review-v0.2.0,osha-text-6cdaf100604d,6cdaf100604d0cb6f478c1bf6fcc23f4b284cee3f5b34cdff8047f388fe06e9e,narrative,development
OSHA-SIR-2015010261,OSHA_SIR,2015010261,"On 01/08/15, employee suffered an amputation of the left index finger while operating a mulch machine at a well site.","Contact with objects and equipment, unspecified",Hospitalized=0.00; Amputation=1.00; Loss of Eye=0.00,SIF_POTENTIAL,corrected_supported_secondary_review,teammate_manual_plus_ai_assisted_secondary_review,sif-label-review-v0.2.0,osha-text-1d573a7453a2,1d573a7453a276d78c5b07cc2d953f92b8915f77af98bb8fba6ded484130c576,narrative,development
OSHA-SIR-2015010399,OSHA_SIR,2015010399,"The employee was attempting to rig a steel beam with a chain sling and overhead crane. While attempting to rig this elevated beam, it fell towards the employee. The employee tried to brace/stop the beam with his hand and the fore of the beam pushed him back, striking his face and chest as well, knocking him into another steel beam. The employee was admitted to the hospital with a broken wrist. Surgery was performed to correct the injury to the employee's wrist. The injury occurred in the Welding/Fabrication shop.","Struck by swinging or slipping object, other than handheld, n.e.c.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,SIF_POTENTIAL,accepted_ai_assisted_binary,existing_ai_assisted_consensus_v0_1,existing-ai-consensus-v0.1,osha-text-2efe1474ec78,2efe1474ec78f5f68db198f4461ae9e46e930e16f92d3c3070d001a5038ddd94,narrative,development
OSHA-SIR-2015010417,OSHA_SIR,2015010417,"On January 13, 2015, the employees were in the process of changing a heater treater tube. The leaking fluid ignited causing severe burn injuries. One employee was sent to the Minnesota burn unit.","Ignition of vapors, gases, or liquids",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,SIF_POTENTIAL,corrected_supported_secondary_review,teammate_manual_plus_ai_assisted_secondary_review,sif-label-review-v0.2.0,osha-text-f866c5d8415b,f866c5d8415bbdd07d13e77e47e3b456231b0676aa14ed9d2d05f5c83e2f0398,narrative,development
OSHA-SIR-2015010522,OSHA_SIR,2015010522,Employee received an electric shock when he placed his wrench near an energized bolt on a conductor he was removing.,"Indirect exposure to electricity, unspecified",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,SIF_POTENTIAL,corrected_supported_secondary_review,teammate_manual_plus_ai_assisted_secondary_review,sif-label-review-v0.2.0,osha-text-6196be16fabf,6196be16fabfee2274a84459a082d8b59c731d5150e00782735860a858e0a48c,narrative,development
OSHA-SIR-2015010658,OSHA_SIR,2015010658,At 9:00AM an employee was working on an oil field energy services tanker removing a camlock cap. Pressure was on the cap when it was removed. It blew off and struck the employee in the face injuring his jaw and damaging his teeth. The employee was transferred to different hospitals before receiving treatment. The employee was hospitalized one night in Bismarck.,"Struck by dislodged flying object, particle",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,SIF_POTENTIAL,corrected_supported_secondary_review,teammate_manual_plus_ai_assisted_secondary_review,sif-label-review-v0.2.0,osha-text-bc36b2b11822,bc36b2b11822d82fff23b28f642a7de150fdad44c348f66f9c21496cffd37bf8,narrative,development
OSHA-SIR-2015010700,OSHA_SIR,2015010700,"On January 22, 2015, an employee was hospitalized after falling 12 feet to the ground through a 2' x 3' opening in a centrifuge stand.",Fall through surface or existing opening 11 to 15 feet ,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,SIF_POTENTIAL,corrected_supported_secondary_review,teammate_manual_plus_ai_assisted_secondary_review,sif-label-review-v0.2.0,osha-text-d15a7ffa5eea,d15a7ffa5eea0eb192f9667e1e4518404514aba0569562df0970b75be8daa2e8,narrative,development
OSHA-SIR-2015010720,OSHA_SIR,2015010720,"An employee was on the stabbing board to hang the tong line. He unhooked the derrick climber from his harness and when he let go of it he was hit in the mouth, lost his footing, and fell even though his lanyard was attached. His face hit the standpipe of the derrick and the 3 foot fall injured his back.",Other fall to lower level less than 6 feet,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,NON_SIF_POTENTIAL,retained_teammate_label,teammate_manual_label,sif-label-review-v0.2.0,osha-text-174ab5e0617f,174ab5e0617f7b27e8dd4c1f5b7c5daf948e72a0b5ccfc818d634e02a63f3548,narrative,development
