candidate_id,source,source_record_id,narrative,pass_a_label,pass_a_confidence,pass_a_hazard,pass_a_exposure,pass_a_barrier_failure,pass_a_credible_consequence,pass_a_reason,pass_a_framework_version,pass_b_label,pass_b_confidence,pass_b_hazard,pass_b_exposure,pass_b_barrier_failure,pass_b_credible_consequence,pass_b_reason,pass_b_framework_version,consensus_label,consensus_confidence,reconciliation_status,label_provenance
OSHA-SIR-20231211139,OSHA_SIR,20231211139,An employee was applying grease to the cables of a machine during maintenance. He was caught by the 1-inch cable and pulled into the cable spool. The employee sustained partial amputations to three fingers on his right hand.,SIF_POTENTIAL,0.88,"Powered cable, winch, or spool",Worker was caught or pulled by the line,Line-of-fire and entanglement controls failed,Whole-body draw-in or traumatic amputation,"The powered line could draw the worker further into equipment, creating credible fatal or life-altering exposure.",AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.94,Moving or rotating machinery and entanglement energy,"Personnel were within an in-running, pull-in, or entanglement zone","Isolation, guarding, or separation from moving parts failed","Credible fatal crushing, pull-in trauma, or life-altering amputation",Personnel exposure to uncontrolled moving machinery supports a credible fatal or life-altering entanglement consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.880000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-20231211320,OSHA_SIR,20231211320,"An employee was standing by the front side of the mud mix pump guard. He squatted down and stretched out to reach the belt with his left hand and was able to grab it. When he began to rise, belt in hand, his hand got caught on the backside of the guard. The belt and pulley pulled the used belt that was in his hand into the pulley, causing amputations to the middle, ring, and little fingertips.",SIF_POTENTIAL,0.84,"Moving belt, pulley, or machinery",Worker contacted the operating mechanism,Guarding or energy-isolation control was ineffective,"Draw-in, major amputation, or crushing",Contact with an accessible moving mechanism could escalate beyond the hand to life-altering injury.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.94,Moving or rotating machinery and entanglement energy,"Personnel were within an in-running, pull-in, or entanglement zone","Isolation, guarding, or separation from moving parts failed","Credible fatal crushing, pull-in trauma, or life-altering amputation",Personnel exposure to uncontrolled moving machinery supports a credible fatal or life-altering entanglement consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.840000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2024032254,OSHA_SIR,2024032254,"An employee was removing a pipe from his truck when his middle finger got caught in the D ring on the pipe, resulting in a fingertip amputation up to the first knuckle.",NON_SIF_POTENTIAL,0.9,Localized pinch or caught-between point,Hand or finger was placed at the contact point,Hand-positioning or pinch-point control failed,Localized digit injury,The described geometry confines exposure to a hand or finger without credible whole-body or fatal escalation.,AI_SOL_XHIGH_PASS_A,NON_SIF_POTENTIAL,0.89,Localized hand or finger pinch and crush energy,A hand or finger entered the immediate pinch point,Hand placement or local separation control failed,Localized hand injury without a supported fatal or life-altering escalation,The narrative supports a localized low-energy pinch exposure without credible fatal or life-altering escalation.,SIF_LABELING_GUIDE_V0_1,NON_SIF_POTENTIAL,0.890000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2024053785,OSHA_SIR,2024053785,"An employee was setting an aluminum gangway on a ship when the gangway moved toward him, pinning him between the gangway and a bollard on the dock. He sustained a fractured pelvis.",SIF_POTENTIAL,0.92,Heavy moving object or equipment,Worker was caught between fixed and moving objects,Separation and line-of-fire controls failed,Fatal or life-altering compression injury,The worker occupied a full-body crush zone between heavy objects.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.93,"Heavy moving, shifting, rolling, or collapsing equipment",Personnel occupied the crush or line-of-fire zone,"Stability, exclusion-zone, or movement control failed",Credible fatal or life-altering crush trauma,A person was exposed to uncontrolled heavy movement with credible fatal or life-altering crush potential.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.920000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2024043227,OSHA_SIR,2024043227,An employee was placing an 8-inch pipe fitting into a toolbox. The fitting slipped and caught the employee's finger against other items in the box. The employee sustained a fingertip amputation.,NON_SIF_POTENTIAL,0.94,Localized pinch or caught-between point,Hand or finger was placed at the contact point,Hand-positioning or pinch-point control failed,Localized digit injury,The described geometry confines exposure to a hand or finger without credible whole-body or fatal escalation.,AI_SOL_XHIGH_PASS_A,NON_SIF_POTENTIAL,0.89,Localized hand or finger pinch and crush energy,A hand or finger entered the immediate pinch point,Hand placement or local separation control failed,Localized hand injury without a supported fatal or life-altering escalation,The narrative supports a localized low-energy pinch exposure without credible fatal or life-altering escalation.,SIF_LABELING_GUIDE_V0_1,NON_SIF_POTENTIAL,0.890000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2024021458,OSHA_SIR,2024021458,"An employee was rigging down a workover rig for relocation. The derrick had been retracted and the top section was down. The employee was on the rig floor ensuring the lines were not becoming tangled or caught on anything. While coiling up the slack of two guidelines, the swab line tightened unexpectedly while being winched in, and caught the employee's right leg. The leg was amputated below the base of the hip.",SIF_POTENTIAL,0.98,"Powered cable, winch, or spool",Worker was caught or pulled by the line,Line-of-fire and entanglement controls failed,Whole-body draw-in or traumatic amputation,"The powered line could draw the worker further into equipment, creating credible fatal or life-altering exposure.",AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.94,Moving or rotating machinery and entanglement energy,"Personnel were within an in-running, pull-in, or entanglement zone","Isolation, guarding, or separation from moving parts failed","Credible fatal crushing, pull-in trauma, or life-altering amputation",Personnel exposure to uncontrolled moving machinery supports a credible fatal or life-altering entanglement consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.940000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2024010158,OSHA_SIR,2024010158,"An employee pulled a stand of drill pipe back and had just finished pushing it back into a ""finger"" before securing it with rope. The driller was coming down with top drives and blocks. A gust of wind blew the employee's secondary retention into the Kelly hose clamp. As a result, the top drive pulled the cable and the employee down into the steel frame of the derrick board. The employee's left hip and right femur were fractured.",SIF_POTENTIAL,0.96,"Moving rig blocks, pipe, or retained line at elevation",Worker was in the movement path on the rig,"Coordination, retention, or exclusion controls failed","Fall, crushing, or major amputation",Rig movement exposed the worker to high-energy equipment with credible fatal or life-altering consequences.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.94,Moving or rotating machinery and entanglement energy,"Personnel were within an in-running, pull-in, or entanglement zone","Isolation, guarding, or separation from moving parts failed","Credible fatal crushing, pull-in trauma, or life-altering amputation",Personnel exposure to uncontrolled moving machinery supports a credible fatal or life-altering entanglement consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.940000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2025077460,OSHA_SIR,2025077460,"At approximately 10:40 AM, on July 30, 2025, during operations on a rig at a well, the injured employee was in the derrick, working to pull back a joint of pipe. He encountered a shorter-than-standard pipe, which prevented him from securing his arm around it, so he grabbed the pipe by the collar with his left hand. The blocks were being lowered at the time. The bottom of the blocks contacted the top of the pipe while the employee's fingers were inside the collar. His middle and ring fingers were amputated and the index finger was partially amputated. The employee was hospitalized and required surgery.",SIF_POTENTIAL,0.84,"Moving rig blocks, pipe, or retained line at elevation",Worker was in the movement path on the rig,"Coordination, retention, or exclusion controls failed","Fall, crushing, or major amputation",Rig movement exposed the worker to high-energy equipment with credible fatal or life-altering consequences.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.93,"Heavy moving, shifting, rolling, or collapsing equipment",Personnel occupied the crush or line-of-fire zone,"Stability, exclusion-zone, or movement control failed",Credible fatal or life-altering crush trauma,A person was exposed to uncontrolled heavy movement with credible fatal or life-altering crush potential.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.840000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-20251010530,OSHA_SIR,20251010530,"An employee was stepping down off a 6-inch containment platform to finish loading his truck, when his right ankle rolled. The employee sustained a fractured tibia and fibula at the right ankle and required surgery.",NON_SIF_POTENTIAL,0.97,Low step and ankle roll,Worker stepped down six inches,No critical-control failure described,Ordinary musculoskeletal injury,A six-inch step and ankle roll do not establish credible fatal or life-altering potential.,AI_SOL_XHIGH_PASS_A,NON_SIF_POTENTIAL,0.91,"Same-level or short-step slip, trip, or fall energy",Personnel lost footing without an additional high-energy exposure,Walking-surface or footing control failed,Musculoskeletal injury without supported fatal or life-altering potential,The described low-energy fall lacks an additional mechanism supporting credible fatal or life-altering potential.,SIF_LABELING_GUIDE_V0_1,NON_SIF_POTENTIAL,0.910000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-20251010647,OSHA_SIR,20251010647,"An employee was standing in an excavation, about 12 feet deep, to check a natural gas pipeline for leaks. The excavation's sides sloughed, and the employee was buried up to the waist. The employee suffered a broken left lower leg.",SIF_POTENTIAL,0.99,Excavation wall collapse,Worker was inside a 12-foot excavation,Cave-in protection failed or was absent,"Burial, crushing, or asphyxiation",A worker inside the deep excavation was directly exposed to a potentially fatal cave-in.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.98,"Excavation collapse, engulfment, or burial energy",Personnel were inside or at the edge of the collapse zone,"Shoring, sloping, stability, or exclusion control failed","Credible fatal engulfment, asphyxiation, or crush trauma",Personnel exposure to excavation collapse or engulfment supports a credible fatal consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.980000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
