incident_id,source,source_record_id,duplicate_group,narrative,rule_id,candidate_evidence_excerpt,original_target,revised_target,mapping_evidence_excerpt,correction_reason,annotation_status,violation_status,label_provenance,annotation_version,partition
OSHA-SIR-2015041766,OSHA_SIR,2015041766,osha-text-85c28086b9ec,"On April 6, 2015, an employee working on a rig sustained a head injury that required stitches after falling approximately 5.5 feet from the top of the scavenger tank/platform to the matting board. Guardrails on top of the platform were removed at the time. The employee was hospitalized overnight.",LSR01,Guardrails on top of the platform were removed at the time.,PATTERN_HIT_NOT_A_LABEL,POSITIVE,Guardrails on top of the platform were removed at the time.,"The narrative explicitly describes a guard or guardrail removed or missing; this supports rule relevance, but not lack of authorisation.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,train
OSHA-SIR-2015042325,OSHA_SIR,2015042325,osha-text-b636c66f0d8b,"An employee was taking cases of water from a pallet and loading them on a cart. The employee tripped over shrink wrap removed from the pallet, fell, and broke the right hip.",LSR01,"The employee tripped over shrink wrap removed from the pallet, fell, and broke the right hip.",PATTERN_HIT_NOT_A_LABEL,NEGATIVE,,Lexical collision; no safety control is described.,accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,evaluation
OSHA-SIR-2015075265,OSHA_SIR,2015075265,osha-text-9f2fabafa70b,An employee cutting meat with a band saw in the meat room received a deep laceration to the right hand between the index and middle finger. The push plate guard was removed while the band saw was in operation.,LSR01,The push plate guard was removed while the band saw was in operation.,PATTERN_HIT_NOT_A_LABEL,POSITIVE,The push plate guard was removed while the band saw was in operation.,"The narrative explicitly describes a guard or guardrail removed or missing; this supports rule relevance, but not lack of authorisation.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,train
OSHA-SIR-2015097030,OSHA_SIR,2015097030,osha-text-60e04f085a43,"An employee was monitoring the process of balancing two cooling fans. The fan guard had been removed for this process. The employee grabbed the belt of the fan, which was not turned on at the time, and the force coming from the adjacent fan caused it to rotate. The employee's hand got caught between the belt and pulley, amputating his right pinky, ring, and middle fingers.",LSR01,The fan guard had been removed for this process.,PATTERN_HIT_NOT_A_LABEL,POSITIVE,The fan guard had been removed for this process.,"The narrative explicitly describes a guard or guardrail removed or missing; this supports rule relevance, but not lack of authorisation.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,development
OSHA-SIR-2015107647,OSHA_SIR,2015107647,osha-text-0315c8c9eb00,An employee was checking for gasket pieces in the production line with a metal detector. The machine did not have LOTO and the safety guard had been removed at the time of the incident. The employee's fingers got caught in the machine. The third finger on the right hand was amputated at the middle of the distal phalanx and the fourth finger was avulsed at the distal tip.,LSR01,The machine did not have LOTO and the safety guard had been removed at the time of the incident.,PATTERN_HIT_NOT_A_LABEL,POSITIVE,The machine did not have LOTO and the safety guard had been removed at the time of the incident.,"The narrative explicitly describes a guard or guardrail removed or missing; this supports rule relevance, but not lack of authorisation.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,evaluation
OSHA-SIR-2016088131,OSHA_SIR,2016088131,osha-text-4ea4a4093903,An employee was cleaning the bagging machine with a brush. The guard was removed and the employee's right arm was caught in the chain and sprocket resulting in a laceration to the right forearm.,LSR01,The guard was removed and the employee's right arm was caught in the chain and sprocket resulting in a laceration to the right forearm.,PATTERN_HIT_NOT_A_LABEL,POSITIVE,The guard was removed and the employee's right arm was caught in the chain and sprocket resulting in a laceration to the right forearm.,"The narrative explicitly describes a guard or guardrail removed or missing; this supports rule relevance, but not lack of authorisation.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,development
OSHA-SIR-2016098774,OSHA_SIR,2016098774,osha-text-3ec30daab606,"An employee was using an air nozzle inside a machine to blow dust off internal parts when his right hand was caught in the rotating spindle inside the machine, smashing the index, middle, and ring fingers on his right hand. The machine's guard door was removed at the time of the incident.",LSR01,The machine's guard door was removed at the time of the incident.,PATTERN_HIT_NOT_A_LABEL,POSITIVE,The machine's guard door was removed at the time of the incident.,"The narrative explicitly describes a guard or guardrail removed or missing; this supports rule relevance, but not lack of authorisation.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,train
OSHA-SIR-2016098814,OSHA_SIR,2016098814,osha-text-9eef56313378,"An employee was cleaning a conveyor motor chain with a rag and oil when the towel he was using to wipe off excess oil was caught in the chain, along with his hand. Two of his fingers were smashed, and his right thumb tip was partially amputated. The chain was moving and the guard was removed at the time of the incident.",LSR01,The chain was moving and the guard was removed at the time of the incident.,PATTERN_HIT_NOT_A_LABEL,POSITIVE,The chain was moving and the guard was removed at the time of the incident.,"The narrative explicitly describes a guard or guardrail removed or missing; this supports rule relevance, but not lack of authorisation.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,train
OSHA-SIR-2016099066,OSHA_SIR,2016099066,osha-text-23731ff19296,"An employee was troubleshooting an operational problem with a bander when she tripped on a box on the floor and fell. Her hand then entered a moving timing chain and sprocket assembly, partially amputating her right middle fingertip. The machine was energized and the guard was removed at the time.",LSR01,The machine was energized and the guard was removed at the time.,PATTERN_HIT_NOT_A_LABEL,POSITIVE,The machine was energized and the guard was removed at the time.,"The narrative explicitly describes a guard or guardrail removed or missing; this supports rule relevance, but not lack of authorisation.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,train
OSHA-SIR-2016109628,OSHA_SIR,2016109628,osha-text-6178e12ee8a1,A temporary employee was operating a packaging machine and amputated the right index finger. The guard was removed at the time of the incident.,LSR01,The guard was removed at the time of the incident.,PATTERN_HIT_NOT_A_LABEL,POSITIVE,The guard was removed at the time of the incident.,"The narrative explicitly describes a guard or guardrail removed or missing; this supports rule relevance, but not lack of authorisation.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,evaluation
