expansion_id,candidate_id,normalized_narrative_sha256,annotation_pass,sif_label,sif_evidence_excerpt,sif_rationale,hazard_energy_assessment,hazard_energy_evidence,personnel_exposure_assessment,personnel_exposure_evidence,barrier_failure_assessment,barrier_failure_evidence,credible_consequence_assessment,credible_consequence_evidence,uncertainty_reason,LSR01_target,LSR01_evidence,LSR01_violation_status,LSR01_unknown_reason,LSR02_target,LSR02_evidence,LSR02_violation_status,LSR02_unknown_reason,LSR03_target,LSR03_evidence,LSR03_violation_status,LSR03_unknown_reason,LSR04_target,LSR04_evidence,LSR04_violation_status,LSR04_unknown_reason,LSR05_target,LSR05_evidence,LSR05_violation_status,LSR05_unknown_reason,LSR06_target,LSR06_evidence,LSR06_violation_status,LSR06_unknown_reason,LSR07_target,LSR07_evidence,LSR07_violation_status,LSR07_unknown_reason,LSR08_target,LSR08_evidence,LSR08_violation_status,LSR08_unknown_reason,LSR09_target,LSR09_evidence,LSR09_violation_status,LSR09_unknown_reason,annotation_status,label_provenance,annotation_version,annotator_model,annotator_id,annotated_at_utc
EXP-V0.4-0001,OSHA-SIR-2022098048,f3a76c5bf89b94504c28095dd61637f756968f29a4c663edb8f8268744aed89f,PASS1,SIF_POTENTIAL,"On September 12, 2022, an employee was on a metal roof, installing a standing seam and insulation. He lost his balance and fell toward the third floor slab, which was 10 feet from the roof. His fall protection caught him and left him suspended about 2 to 4 feet from the slab. He suffered a brain bleed and a spinal fracture in his lower back. He was hospitalized.",The described mechanism exposed personnel to uncontrolled energy with credible fatal or permanently disabling consequences.,SUPPORTED,"On September 12, 2022, an employee was on a metal roof, installing a standing seam and insulation. He lost his balance and fell toward the third floor slab, which was 10 feet from the roof. His fall protection caught him and left him suspended about 2 to 4 feet from the slab. He suffered a brain bleed and a spinal fracture in his lower back. He was hospitalized.",SUPPORTED,"On September 12, 2022, an employee was on a metal roof, installing a standing seam and insulation. He lost his balance and fell toward the third floor slab, which was 10 feet from the roof. His fall protection caught him and left him suspended about 2 to 4 feet from the slab. He suffered a brain bleed and a spinal fracture in his lower back. He was hospitalized.",SUPPORTED,"On September 12, 2022, an employee was on a metal roof, installing a standing seam and insulation. He lost his balance and fell toward the third floor slab, which was 10 feet from the roof. His fall protection caught him and left him suspended about 2 to 4 feet from the slab. He suffered a brain bleed and a spinal fracture in his lower back. He was hospitalized.",SUPPORTED,"On September 12, 2022, an employee was on a metal roof, installing a standing seam and insulation. He lost his balance and fell toward the third floor slab, which was 10 feet from the roof. His fall protection caught him and left him suspended about 2 to 4 feet from the slab. He suffered a brain bleed and a spinal fracture in his lower back. He was hospitalized.",,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,"On September 12, 2022, an employee was on a metal roof, installing a standing seam and insulation. He lost his balance and fell toward the third floor slab, which was 10 feet from the roof. His fall protection caught him and left him suspended about 2 to 4 feet from the slab. He suffered a brain bleed and a spinal fracture in his lower back. He was hospitalized.",NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,pass1-batch-01,2026-09-10T13:59:14Z
EXP-V0.4-0002,OSHA-SIR-2022086730,dc81d642b84cd2fa701a6fc5e2545158c968131e89326c21b4d24d791b0acfbe,PASS1,NON_SIF_POTENTIAL,A maintenance employee was taking a master link out of a chain when his hand got caught between the chain and sprocket resulting in fractures to the left hand.,The described mechanism is bounded and does not support a credible fatal or life-altering consequence under the stated circumstances.,SUPPORTED,A maintenance employee was taking a master link out of a chain when his hand got caught between the chain and sprocket resulting in fractures to the left hand.,SUPPORTED,A maintenance employee was taking a master link out of a chain when his hand got caught between the chain and sprocket resulting in fractures to the left hand.,SUPPORTED,A maintenance employee was taking a master link out of a chain when his hand got caught between the chain and sprocket resulting in fractures to the left hand.,NOT_SUPPORTED,A maintenance employee was taking a master link out of a chain when his hand got caught between the chain and sprocket resulting in fractures to the left hand.,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,A maintenance employee was taking a master link out of a chain when his hand got caught between the chain and sprocket resulting in fractures to the left hand.,UNKNOWN,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,A maintenance employee was taking a master link out of a chain when his hand got caught between the chain and sprocket resulting in fractures to the left hand.,ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,pass1-batch-01,2026-09-10T13:59:14Z
EXP-V0.4-0003,OSHA-SIR-2021032601,e7c11cae8dbb093ad07950c9224639923639ae3bf514755b4fc736899fe00375,PASS1,NON_SIF_POTENTIAL,An employee was removing steel pipe from a pump on a water truck when a pipe fell on his right ring finger. The employee sustained a lacerated and twisted finger.,The described mechanism is bounded and does not support a credible fatal or life-altering consequence under the stated circumstances.,SUPPORTED,An employee was removing steel pipe from a pump on a water truck when a pipe fell on his right ring finger. The employee sustained a lacerated and twisted finger.,SUPPORTED,An employee was removing steel pipe from a pump on a water truck when a pipe fell on his right ring finger. The employee sustained a lacerated and twisted finger.,SUPPORTED,An employee was removing steel pipe from a pump on a water truck when a pipe fell on his right ring finger. The employee sustained a lacerated and twisted finger.,NOT_SUPPORTED,An employee was removing steel pipe from a pump on a water truck when a pipe fell on his right ring finger. The employee sustained a lacerated and twisted finger.,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,An employee was removing steel pipe from a pump on a water truck when a pipe fell on his right ring finger. The employee sustained a lacerated and twisted finger.,ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,pass1-batch-01,2026-09-10T13:59:14Z
EXP-V0.4-0004,OSHA-SIR-2020010318,c441fffb850f54a14a051b4e081f7c6dcb8680b0b5ab32621362e99d0a467b9d,PASS1,SIF_POTENTIAL,"An employee was driving a bag cart down a ramp. Her left leg was caught between the bag cart and a wall. The leg was broken and she was hospitalized, undergoing surgery.",The described mechanism exposed personnel to uncontrolled energy with credible fatal or permanently disabling consequences.,SUPPORTED,"An employee was driving a bag cart down a ramp. Her left leg was caught between the bag cart and a wall. The leg was broken and she was hospitalized, undergoing surgery.",SUPPORTED,"An employee was driving a bag cart down a ramp. Her left leg was caught between the bag cart and a wall. The leg was broken and she was hospitalized, undergoing surgery.",SUPPORTED,"An employee was driving a bag cart down a ramp. Her left leg was caught between the bag cart and a wall. The leg was broken and she was hospitalized, undergoing surgery.",SUPPORTED,"An employee was driving a bag cart down a ramp. Her left leg was caught between the bag cart and a wall. The leg was broken and she was hospitalized, undergoing surgery.",,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,"An employee was driving a bag cart down a ramp. Her left leg was caught between the bag cart and a wall. The leg was broken and she was hospitalized, undergoing surgery.",UNKNOWN,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,"An employee was driving a bag cart down a ramp. Her left leg was caught between the bag cart and a wall. The leg was broken and she was hospitalized, undergoing surgery.",ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,pass1-batch-01,2026-09-10T13:59:14Z
EXP-V0.4-0005,OSHA-SIR-2022032313,102192cbe85a4e6d94208fb8652ef56c25c4791d9aeca5009c806fe288c297a1,PASS1,SIF_POTENTIAL,An employee was driving an electric pallet jack when it collided with a forklift. The employee's left foot was struck by the front of the forklift and pinned against the pallet jack driver's platform. The employee suffered a compound fracture to the foot.,The described mechanism exposed personnel to uncontrolled energy with credible fatal or permanently disabling consequences.,SUPPORTED,An employee was driving an electric pallet jack when it collided with a forklift. The employee's left foot was struck by the front of the forklift and pinned against the pallet jack driver's platform. The employee suffered a compound fracture to the foot.,SUPPORTED,An employee was driving an electric pallet jack when it collided with a forklift. The employee's left foot was struck by the front of the forklift and pinned against the pallet jack driver's platform. The employee suffered a compound fracture to the foot.,SUPPORTED,An employee was driving an electric pallet jack when it collided with a forklift. The employee's left foot was struck by the front of the forklift and pinned against the pallet jack driver's platform. The employee suffered a compound fracture to the foot.,SUPPORTED,An employee was driving an electric pallet jack when it collided with a forklift. The employee's left foot was struck by the front of the forklift and pinned against the pallet jack driver's platform. The employee suffered a compound fracture to the foot.,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,An employee was driving an electric pallet jack when it collided with a forklift. The employee's left foot was struck by the front of the forklift and pinned against the pallet jack driver's platform. The employee suffered a compound fracture to the foot.,ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,An employee was driving an electric pallet jack when it collided with a forklift. The employee's left foot was struck by the front of the forklift and pinned against the pallet jack driver's platform. The employee suffered a compound fracture to the foot.,ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,pass1-batch-01,2026-09-10T13:59:14Z
EXP-V0.4-0006,OSHA-SIR-2015031605,44b1ad543add8c3bbfc2b05e86dd10f267e06d605201b70ce65d631e53e513b5,PASS1,NON_SIF_POTENTIAL,"An employee was installing a 3""-diameter syphon pipe with a small valve on a tank car. The employee inserted the pipe into the tank car. The gasket moved, so he lifted it up by hand. While it was in the air under his power, he lost his grip and smashed his palm between the valve and a stud, breaking bones.",The described mechanism is bounded and does not support a credible fatal or life-altering consequence under the stated circumstances.,SUPPORTED,"An employee was installing a 3""-diameter syphon pipe with a small valve on a tank car. The employee inserted the pipe into the tank car. The gasket moved, so he lifted it up by hand. While it was in the air under his power, he lost his grip and smashed his palm between the valve and a stud, breaking bones.",SUPPORTED,"An employee was installing a 3""-diameter syphon pipe with a small valve on a tank car. The employee inserted the pipe into the tank car. The gasket moved, so he lifted it up by hand. While it was in the air under his power, he lost his grip and smashed his palm between the valve and a stud, breaking bones.",SUPPORTED,"An employee was installing a 3""-diameter syphon pipe with a small valve on a tank car. The employee inserted the pipe into the tank car. The gasket moved, so he lifted it up by hand. While it was in the air under his power, he lost his grip and smashed his palm between the valve and a stud, breaking bones.",NOT_SUPPORTED,"An employee was installing a 3""-diameter syphon pipe with a small valve on a tank car. The employee inserted the pipe into the tank car. The gasket moved, so he lifted it up by hand. While it was in the air under his power, he lost his grip and smashed his palm between the valve and a stud, breaking bones.",,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,"An employee was installing a 3""-diameter syphon pipe with a small valve on a tank car. The employee inserted the pipe into the tank car. The gasket moved, so he lifted it up by hand. While it was in the air under his power, he lost his grip and smashed his palm between the valve and a stud, breaking bones.",ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,pass1-batch-01,2026-09-10T13:59:14Z
EXP-V0.4-0007,OSHA-SIR-2015063518,80ebe15a1d3b4b4cff3118db3fc2a99982a9257c12bcfc48cfd2289ea79f1ed6,PASS1,NON_SIF_POTENTIAL,An employee was attempting to lift a slurry tank to move with a pallet jack. The tank rolled catching the employee's right middle finger between the slurry tank cribbing and the asphalt ground resulting in an amputation to at least the first knuckle.,The described mechanism is bounded and does not support a credible fatal or life-altering consequence under the stated circumstances.,SUPPORTED,An employee was attempting to lift a slurry tank to move with a pallet jack. The tank rolled catching the employee's right middle finger between the slurry tank cribbing and the asphalt ground resulting in an amputation to at least the first knuckle.,SUPPORTED,An employee was attempting to lift a slurry tank to move with a pallet jack. The tank rolled catching the employee's right middle finger between the slurry tank cribbing and the asphalt ground resulting in an amputation to at least the first knuckle.,SUPPORTED,An employee was attempting to lift a slurry tank to move with a pallet jack. The tank rolled catching the employee's right middle finger between the slurry tank cribbing and the asphalt ground resulting in an amputation to at least the first knuckle.,NOT_SUPPORTED,An employee was attempting to lift a slurry tank to move with a pallet jack. The tank rolled catching the employee's right middle finger between the slurry tank cribbing and the asphalt ground resulting in an amputation to at least the first knuckle.,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,An employee was attempting to lift a slurry tank to move with a pallet jack. The tank rolled catching the employee's right middle finger between the slurry tank cribbing and the asphalt ground resulting in an amputation to at least the first knuckle.,ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,pass1-batch-01,2026-09-10T13:59:14Z
EXP-V0.4-0008,OSHA-SIR-2022054198,cdbd012490ce313daf8e9bc6e5cdde3dc4ab6f6c2ffc311d2486d873e4b4f7e1,PASS1,SIF_POTENTIAL,"On May 13, 2022, an employee slipped on the roof of a newly built two-story house on stilts, landing on a gravel driveway about 30 feet below. He suffered a compound fracture to the right leg, a head injury, fractures to both elbows, and facial fractures. He was hospitalized.",The described mechanism exposed personnel to uncontrolled energy with credible fatal or permanently disabling consequences.,SUPPORTED,"On May 13, 2022, an employee slipped on the roof of a newly built two-story house on stilts, landing on a gravel driveway about 30 feet below. He suffered a compound fracture to the right leg, a head injury, fractures to both elbows, and facial fractures. He was hospitalized.",SUPPORTED,"On May 13, 2022, an employee slipped on the roof of a newly built two-story house on stilts, landing on a gravel driveway about 30 feet below. He suffered a compound fracture to the right leg, a head injury, fractures to both elbows, and facial fractures. He was hospitalized.",SUPPORTED,"On May 13, 2022, an employee slipped on the roof of a newly built two-story house on stilts, landing on a gravel driveway about 30 feet below. He suffered a compound fracture to the right leg, a head injury, fractures to both elbows, and facial fractures. He was hospitalized.",SUPPORTED,"On May 13, 2022, an employee slipped on the roof of a newly built two-story house on stilts, landing on a gravel driveway about 30 feet below. He suffered a compound fracture to the right leg, a head injury, fractures to both elbows, and facial fractures. He was hospitalized.",,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,"On May 13, 2022, an employee slipped on the roof of a newly built two-story house on stilts, landing on a gravel driveway about 30 feet below. He suffered a compound fracture to the right leg, a head injury, fractures to both elbows, and facial fractures. He was hospitalized.",UNKNOWN,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,pass1-batch-01,2026-09-10T13:59:14Z
EXP-V0.4-0009,OSHA-SIR-2017088105,f721b835d8c8b302dcee7f2bcb97ec0b5884112faf9dfc85238c6e9f61f04c13,PASS1,NON_SIF_POTENTIAL,"On 8/23/2017, an employee was exiting the driver area of a delivery vehicle when he slipped and fell to the ground, fracturing his wrist.",The described mechanism is bounded and does not support a credible fatal or life-altering consequence under the stated circumstances.,SUPPORTED,"On 8/23/2017, an employee was exiting the driver area of a delivery vehicle when he slipped and fell to the ground, fracturing his wrist.",SUPPORTED,"On 8/23/2017, an employee was exiting the driver area of a delivery vehicle when he slipped and fell to the ground, fracturing his wrist.",SUPPORTED,"On 8/23/2017, an employee was exiting the driver area of a delivery vehicle when he slipped and fell to the ground, fracturing his wrist.",NOT_SUPPORTED,"On 8/23/2017, an employee was exiting the driver area of a delivery vehicle when he slipped and fell to the ground, fracturing his wrist.",,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,pass1-batch-01,2026-09-10T13:59:14Z
EXP-V0.4-0010,OSHA-SIR-2017065372,e5c93098bf4bdcf13819f3e5fafd1bbd3754738bca3a8e9e81b0f9b98c639166,PASS1,NON_SIF_POTENTIAL,"An employee tripped over tire chock while walking with a ladder, breaking the left femur.",The described mechanism is bounded and does not support a credible fatal or life-altering consequence under the stated circumstances.,SUPPORTED,"An employee tripped over tire chock while walking with a ladder, breaking the left femur.",SUPPORTED,"An employee tripped over tire chock while walking with a ladder, breaking the left femur.",SUPPORTED,"An employee tripped over tire chock while walking with a ladder, breaking the left femur.",NOT_SUPPORTED,"An employee tripped over tire chock while walking with a ladder, breaking the left femur.",,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,pass1-batch-01,2026-09-10T13:59:14Z
