candidate_id,source,source_record_id,narrative,ai_pass_a_label,ai_pass_a_confidence,ai_pass_a_hazard,ai_pass_a_exposure,ai_pass_a_barrier_failure,ai_pass_a_credible_consequence,ai_pass_a_reason,ai_pass_a_framework_version
OSHA-SIR-20241110304,OSHA_SIR,20241110304,An employee was bitten by a spider on the job site. The employee was hospitalized.,UNCERTAIN,0.55,Biological bite/sting; agent toxicity unspecified,Employee was bitten,No barrier information stated,Potential severity cannot be established from the narrative,The biting agent and credible severe consequence are not described well enough for a binary judgment.,AI_SOL_XHIGH_PASS_A
OSHA-SIR-2024010653,OSHA_SIR,2024010653,An employee was using a hydraulic bolt torquing machine on a ladder when the machine struck the employee's little finger and palm. The employee suffered a laceration and crush injury to the right hand that required hospitalization.,UNCERTAIN,0.58,Hydraulic tool and work from ladder,Worker's hand was struck while on the ladder,Tool-control and fall-protection context is incomplete,Serious hand injury or fall; severity unclear,The narrative does not establish ladder height or whether tool movement could credibly produce a SIF consequence.,AI_SOL_XHIGH_PASS_A
OSHA-SIR-2024021751,OSHA_SIR,2024021751,An employee was trying to lower the level on a condensate boiler by opening a pump case drain line. The plugged condensate line shifted unexpectedly and pinched the employee's left hand against a stanchion. The employee suffered burns to the hand.,UNCERTAIN,0.57,Boiler condensate line and possible heat,Worker's hand was pinched and burned,Line condition and isolation details are incomplete,Thermal or pressure injury; extent unclear,"Temperature, pressure, and release exposure are too unclear to establish credible SIF potential.",AI_SOL_XHIGH_PASS_A
OSHA-SIR-2024010135,OSHA_SIR,2024010135,"On January 6, 2024, an employee was making a swivel connection involving a winch line. As the joint was being tightened, the threads became sticky. The employee was shaking the winch line to loosen it when the bridle caught on the line and wrapped around his finger. His middle finger was amputated past the fingernail and before the first knuckle.",UNCERTAIN,0.61,Winch line and bridle entanglement,Worker's finger was wrapped by the line,Hand placement near the line was uncontrolled,Digit injury; wider draw-in potential unclear,The narrative does not establish whether the line was powered or capable of drawing the worker beyond the finger.,AI_SOL_XHIGH_PASS_A
OSHA-SIR-2025021704,OSHA_SIR,2025021704,"An employee was working on an oil and gas drilling rig and tripping pipe out of the hole. After the employee finished work and took off his gloves, he noticed his fingers had frostbite.",UNCERTAIN,0.55,Environmental cold exposure,Worker's fingers developed frostbite,Exposure duration and controls are not described,Permanent tissue injury is possible but not established,"The narrative lacks temperature, duration, and frostbite severity needed for a binary potential judgment.",AI_SOL_XHIGH_PASS_A
OSHA-SIR-2024010091,OSHA_SIR,2024010091,"An employee missed her chair while sitting down. She fell backward into a display case and landed on the floor. Items on top of the case then fell and struck the employee's head, causing injury to the left side of their head.",UNCERTAIN,0.60,Falling display items after a same-level fall,Items struck the worker's head,Item mass and height are unspecified,Head injury severity cannot be established,The report omits the item mass and fall height needed to judge credible SIF energy.,AI_SOL_XHIGH_PASS_A
OSHA-SIR-2025021232,OSHA_SIR,2025021232,"An employee was unloading diesel fuel from one compartment in a tanker to the next compartment. Fuel was released when a valve was opened. When the employee tried to stop the flow, some of the fuel entered his mouth. He became ill due to fuel ingestion and was hospitalized.",UNCERTAIN,0.60,Diesel fuel ingestion,Fuel entered the worker's mouth,Transfer containment failed,Aspiration or systemic harm; dose unknown,"The swallowed quantity and aspiration evidence are missing, so credible SIF severity cannot be established.",AI_SOL_XHIGH_PASS_A
OSHA-SIR-20241211383,OSHA_SIR,20241211383,"Two employees were sliding a floor grate toward the front of a chiller. When the grate reached the middle of the unit, two additional employees began lifting it over a gap. The grate became stuck and the injured employee went to the front of the chiller, released the obstruction, and began to move away. The grate (still being pushed forward) struck his lower left leg, pinning it against the chiller frame and breaking the tibia.",UNCERTAIN,0.62,Moving floor grate,Worker's lower leg was pinned against equipment,Communication and push-stop controls failed,Crush severity depends on grate mass and travel,The report does not establish enough load energy or body exposure to resolve whether SIF-level crushing was credible.,AI_SOL_XHIGH_PASS_A
OSHA-SIR-2024032554,OSHA_SIR,2024032554,"An employee was taking measurements for electrical conduit while standing on an earthen berm when he lost his balance and fell, landing on his leg and fracturing his left leg and ankle.",UNCERTAIN,0.55,Fall from an earthen berm,Worker fell from an unspecified height,Edge and footing controls are not described,Potential severity depends on missing height and surface details,"The berm height and fall geometry are missing, preventing a defensible binary judgment.",AI_SOL_XHIGH_PASS_A
OSHA-SIR-2024032434,OSHA_SIR,2024032434,"Two employees were making repairs on a boat. A gust of wind shut the engine room door on one employee's head, opening a wound across the top of the scalp. He was hospitalized.",UNCERTAIN,0.60,Wind-driven engine-room door,Door struck the worker's head,Door securement failed,Potential head injury; door energy unclear,The door mass and closing travel are not described well enough to resolve SIF-level head-impact potential.,AI_SOL_XHIGH_PASS_A
OSHA-SIR-2024010267,OSHA_SIR,2024010267,An employee took a CRT tube that was being rigged down. He got on the catwalk that takes him to the rig to put on the lift cap when the tube slipped and struck his foot. He was hospitalized and his right big toe was amputated.,UNCERTAIN,0.60,Falling material of unspecified mass or height,Material struck a worker,Support or containment failed,Severity depends on missing energy and geometry,"The report lacks enough mass, fall-height, and body-position detail for a defensible binary judgment.",AI_SOL_XHIGH_PASS_A
OSHA-SIR-2024054144,OSHA_SIR,2024054144,"While unloading a debris container using a vacuum truck, a piece of solid debris tumbled out of the truck and struck the employee's left leg. He was hospitalized for surgery.",UNCERTAIN,0.58,Falling material of unspecified mass or height,Material struck a worker,Support or containment failed,Severity depends on missing energy and geometry,"The report lacks enough mass, fall-height, and body-position detail for a defensible binary judgment.",AI_SOL_XHIGH_PASS_A
