"candidate_id","source","source_record_id","narrative","source_native_outcome","activity_if_known"
"OSHA-SIR-20241110304","OSHA_SIR","20241110304","An employee was bitten by a spider on the job site. The employee was hospitalized.","Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00"," Bite or sting  insects, ""bugs"""
"OSHA-SIR-20231211139","OSHA_SIR","20231211139","An employee was applying grease to the cables of a machine during maintenance. He was caught by the 1-inch cable and pulled into the cable spool. The employee sustained partial amputations to three fingers on his right hand.","Hospitalized=0.00; Amputation=1.00; Loss of Eye=0.00"," Caught in running equipment or machinery during maintenance, cleaning "
"OSHA-SIR-20231211320","OSHA_SIR","20231211320","An employee was standing by the front side of the mud mix pump guard. He squatted down and stretched out to reach the belt with his left hand and was able to grab it. When he began to rise, belt in hand, his hand got caught on the backside of the guard. The belt and pulley pulled the used belt that was in his hand into the pulley, causing amputations to the middle, ring, and little fingertips.","Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00"," Caught in running equipment or machinery during maintenance, cleaning "
"OSHA-SIR-2024032254","OSHA_SIR","2024032254","An employee was removing a pipe from his truck when his middle finger got caught in the D ring on the pipe, resulting in a fingertip amputation up to the first knuckle.","Hospitalized=0.00; Amputation=1.00; Loss of Eye=0.00","Caught or wedged between objects  nonrunning"
"OSHA-SIR-2024032164","OSHA_SIR","2024032164","An employee strapped an 8-inch mud motor on a pipe rack, then went to trace the high side of the mud motor from the adjustable kick off (AKO) to the upper connection of the motor. To better position the motor on the pipe rack, the employee went to roll the motor over. They inserted a rock between the motor and the pipe rack as a chock to prevent it from rolling. The motor rolled back crushing the employee's left thumb and resulting in amputation of the tip.","Hospitalized=0.00; Amputation=1.00; Loss of Eye=0.00","Caught or wedged between objects  nonrunning"
"OSHA-SIR-2024053785","OSHA_SIR","2024053785","An employee was setting an aluminum gangway on a ship when the gangway moved toward him, pinning him between the gangway and a bollard on the dock. He sustained a fractured pelvis.","Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00","Caught or wedged between objects  nonrunning"
"OSHA-SIR-2024043227","OSHA_SIR","2024043227","An employee was placing an 8-inch pipe fitting into a toolbox. The fitting slipped and caught the employee's finger against other items in the box. The employee sustained a fingertip amputation.","Hospitalized=1.00; Amputation=1.00; Loss of Eye=0.00","Caught or wedged between objects  nonrunning"
"OSHA-SIR-2024010257","OSHA_SIR","2024010257","An employee was attempting a lift with a crane and caught their left index finger between two shells (36-inch diameter cylinder vessels), resulting in amputation.","Hospitalized=0.00; Amputation=1.00; Loss of Eye=0.00"," Caught, entangled in running powered equipment  normal operation"
"OSHA-SIR-2024021458","OSHA_SIR","2024021458","An employee was rigging down a workover rig for relocation. The derrick had been retracted and the top section was down. The employee was on the rig floor ensuring the lines were not becoming tangled or caught on anything. While coiling up the slack of two guidelines, the swab line tightened unexpectedly while being winched in, and caught the employee's right leg. The leg was amputated below the base of the hip.","Hospitalized=0.00; Amputation=1.00; Loss of Eye=0.00"," Caught, entangled in running powered equipment  normal operation"
"OSHA-SIR-2024010653","OSHA_SIR","2024010653","An employee was using a hydraulic bolt torquing machine on a ladder when the machine struck the employee's little finger and palm. The employee suffered a laceration and crush injury to the right hand that required hospitalization.","Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00"," Caught, entangled in running powered equipment  normal operation"
