incident_id,source,source_record_id,narrative,original_label,revised_label,reference_annotator_confidence,exact_evidence_excerpt,correction_reason,annotation_review_status,label_provenance,annotation_version,reviewer_id,reviewer_name,submitted_at,activity,source_native_outcome
OSHA-SIR-2015010023,OSHA_SIR,2015010023,Employee sustained burns during line tie-in operations at an oil and gas site.,UNCERTAIN,UNCERTAIN,0.70,Employee sustained burns during line tie-in operations at an oil and gas site.,No supported correction from the conservative secondary review.,retained_teammate_label,teammate_manual_label,sif-label-review-v0.2.0,7dfac61e-b374-4d21-a7a1-574864a7a436,Manasvi,2026-09-04 17:23:27.338032+00,Nonclassifiable,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00
OSHA-SIR-2015010024,OSHA_SIR,2015010024,One employee was hospitalized after being struck by a tire when he was airing the tire up during his pre-drive inspection.,NON_SIF_POTENTIAL,NON_SIF_POTENTIAL,0.70,One employee was hospitalized after being struck by a tire when he was airing the tire up during his pre-drive inspection.,No supported correction from the conservative secondary review.,retained_teammate_label,teammate_manual_label,sif-label-review-v0.2.0,36cd44a8-250b-4b5d-8b7e-90dd4331ac89,Shravan Patne,2026-09-08 20:24:34.748535+00,"Struck by object or equipment, unspecified",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00
OSHA-SIR-2015010054,OSHA_SIR,2015010054,Employee was descending a work over rig derrick via a ladder when he fell a distance. Employee suffered a lacerated spleen and fractured hip and shoulder.,SIF_POTENTIAL,SIF_POTENTIAL,0.70,Employee was descending a work over rig derrick via a ladder when he fell a distance. Employee suffered a lacerated spleen and fractured hip and shoulder.,No supported correction from the conservative secondary review.,retained_teammate_label,teammate_manual_label,sif-label-review-v0.2.0,7dfac61e-b374-4d21-a7a1-574864a7a436,Manasvi,2026-09-06 13:24:42.665199+00,"Other fall to lower level, unspecified",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00
OSHA-SIR-2015010056,OSHA_SIR,2015010056,Employee was burned from his knees up to his lower abdomen after removing the strainer for maintenance on the Scott Unit.,SIF_POTENTIAL,SIF_POTENTIAL,0.90,Employee was burned from his knees up to his lower abdomen after removing the strainer for maintenance on the Scott Unit.,No supported correction from the conservative secondary review.,retained_teammate_label,teammate_manual_label,sif-label-review-v0.2.0,fd7f23a1-5e0e-49bf-ae5a-55f7df99ba8a,Aarya Gupte,2026-09-04 17:45:11.270314+00,"Exposure to harmful substances or environments, unspecified",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00
OSHA-SIR-2015010068,OSHA_SIR,2015010068,Employee was loading plastic pipes onto a utility trailer. He jumped off the trailer and broke his ankle.,NON_SIF_POTENTIAL,NON_SIF_POTENTIAL,0.90,Employee was loading plastic pipes onto a utility trailer. He jumped off the trailer and broke his ankle.,No supported correction from the conservative secondary review.,retained_teammate_label,teammate_manual_label,sif-label-review-v0.2.0,7dfac61e-b374-4d21-a7a1-574864a7a436,Manasvi,2026-09-06 13:37:10.935339+00,Other jump to lower level less than 6 feet,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00
OSHA-SIR-2015010074,OSHA_SIR,2015010074,Employee was working on a fluid end expendable pump using a torque wrench when his left ring finger got caught in between and was amputated - halfway through the nailbed.,NON_SIF_POTENTIAL,NON_SIF_POTENTIAL,0.50,Employee was working on a fluid end expendable pump using a torque wrench when his left ring finger got caught in between and was amputated - halfway through the nailbed.,No supported correction from the conservative secondary review.,retained_teammate_label,teammate_manual_label,sif-label-review-v0.2.0,fa21da09-d2cf-45e7-874a-a1c4d3fdc84b,Punaji Zore,2026-09-06 11:32:47.994744+00,Compressed or pinched by shifting objects or equipment,Hospitalized=0.00; Amputation=1.00; Loss of Eye=0.00
OSHA-SIR-2015010093,OSHA_SIR,2015010093,An employee was exposed to a pinch point hazard when his left thumb was caught between the ST-80 and another metal object.,UNCERTAIN,UNCERTAIN,0.50,An employee was exposed to a pinch point hazard when his left thumb was caught between the ST-80 and another metal object.,No supported correction from the conservative secondary review.,retained_teammate_label,teammate_manual_label,sif-label-review-v0.2.0,fa21da09-d2cf-45e7-874a-a1c4d3fdc84b,Punaji Zore,2026-09-05 15:32:15.825273+00,"Caught in or compressed by equipment or objects, unspecified",Hospitalized=0.00; Amputation=1.00; Loss of Eye=0.00
OSHA-SIR-2015010140,OSHA_SIR,2015010140,An employee was injured when the brakes on a seven-car string of loaded boxcars let loose. The cars rolled into a four-car string of empty boxcars. The impact knocked an employee off the four-car string and he fell on the ground. The employee was hospitalized for lacerations.,UNCERTAIN,SIF_POTENTIAL,0.70,An employee was injured when the brakes on a seven-car string of loaded boxcars let loose.,Narrative explicitly supports a credible SIF mechanism: supported high energy exposure.,corrected_supported_secondary_review,teammate_manual_plus_ai_assisted_secondary_review,sif-label-review-v0.2.0,fd7f23a1-5e0e-49bf-ae5a-55f7df99ba8a,Aarya Gupte,2026-09-05 18:08:09.425905+00,"Fall to lower level, unspecified",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00
OSHA-SIR-2015010181,OSHA_SIR,2015010181,An employee slipped on a step and fell forward injuring both knees.,NON_SIF_POTENTIAL,NON_SIF_POTENTIAL,0.90,An employee slipped on a step and fell forward injuring both knees.,No supported correction from the conservative secondary review.,retained_teammate_label,teammate_manual_label,sif-label-review-v0.2.0,fd7f23a1-5e0e-49bf-ae5a-55f7df99ba8a,Aarya Gupte,2026-09-05 14:39:03.936636+00,"Fall on same level due to tripping, unspecified",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00
OSHA-SIR-2015010253,OSHA_SIR,2015010253,"Employee was on the side of the derrick untying tubular when his fast line became caught up in his SRL. The employee was pulled away from the ladder. The SRL stopped and so did the anchor. Therefore, no fall resulted. The employee received contusions to the head, ribs, and chest area. He also suffered bruising to the brain and lungs and received six stitches to the forehead. He did not lose consciousness.",SIF_POTENTIAL,SIF_POTENTIAL,0.70,"Employee was on the side of the derrick untying tubular when his fast line became caught up in his SRL. The employee was pulled away from the ladder. The SRL stopped and so did the anchor. Therefore, no fall resulted. The employee received contusions to the head, ribs, and chest area. He also suffered bruising to the brain and lungs and received six stitches to the forehead. He did not lose consciousness.",No supported correction from the conservative secondary review.,retained_teammate_label,teammate_manual_label,sif-label-review-v0.2.0,fd7f23a1-5e0e-49bf-ae5a-55f7df99ba8a,Aarya Gupte,2026-09-05 16:40:54.688387+00,Fall or jump curtailed by personal fall arrest system ,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00
OSHA-SIR-2015010261,OSHA_SIR,2015010261,"On 01/08/15, employee suffered an amputation of the left index finger while operating a mulch machine at a well site.",UNCERTAIN,SIF_POTENTIAL,0.70,"On 01/08/15, employee suffered an amputation of the left index finger while operating a mulch machine at a well site.",Narrative explicitly supports a credible SIF mechanism: supported high energy exposure.,corrected_supported_secondary_review,teammate_manual_plus_ai_assisted_secondary_review,sif-label-review-v0.2.0,fd7f23a1-5e0e-49bf-ae5a-55f7df99ba8a,Aarya Gupte,2026-09-04 06:17:44.165996+00,"Contact with objects and equipment, unspecified",Hospitalized=0.00; Amputation=1.00; Loss of Eye=0.00
OSHA-SIR-2015010271,OSHA_SIR,2015010271,"At the facility shop area, an employee tripped over his feet and fell on an industrial sized valve stem used in hydrofracking (a piece of sharp equipment) and lacerated his abdomen. This injury required hospitalization for two days.",NON_SIF_POTENTIAL,NON_SIF_POTENTIAL,0.70,"At the facility shop area, an employee tripped over his feet and fell on an industrial sized valve stem used in hydrofracking (a piece of sharp equipment) and lacerated his abdomen. This injury required hospitalization for two days.",No supported correction from the conservative secondary review.,retained_teammate_label,teammate_manual_label,sif-label-review-v0.2.0,fd7f23a1-5e0e-49bf-ae5a-55f7df99ba8a,Aarya Gupte,2026-09-04 20:28:16.643645+00,Fall on same level due to tripping over self,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00
OSHA-SIR-2015010273,OSHA_SIR,2015010273,"Employee was working from the derrick monkey board latching and unlatching tubing. As he was unlatching the elevator that has horns and a locking mechanism, the employee's harness got caught on the horns. The horns pulled the harness and pulled him down causing small fractures in his knees that required surgery.",UNCERTAIN,SIF_POTENTIAL,0.70,Employee was working from the derrick monkey board latching and unlatching tubing.,Narrative explicitly supports a credible SIF mechanism: supported high energy exposure.,corrected_supported_secondary_review,teammate_manual_plus_ai_assisted_secondary_review,sif-label-review-v0.2.0,36cd44a8-250b-4b5d-8b7e-90dd4331ac89,Shravan Patne,2026-09-04 09:15:47.477325+00,"Struck against stationary object or equipment, n.e.c.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00
