candidate_id,ai_pass_b_label,ai_pass_b_confidence,ai_pass_b_hazard,ai_pass_b_exposure,ai_pass_b_barrier_failure,ai_pass_b_credible_consequence,ai_pass_b_reason,ai_pass_b_framework_version
OSHA-SIR-20241110304,UNCERTAIN,0.55,Biological bite or sting,"A bite or sting occurred, but agent severity is not established","Relevant detection, avoidance, or protection details are not described",Insufficient evidence to establish or exclude fatal or life-altering toxicity,"The narrative lacks species, toxicity, and control detail needed for a reliable SIF-potential judgment.",SIF_LABELING_GUIDE_V0_1
OSHA-SIR-2024010653,UNCERTAIN,0.55,Potential lower-level fall or opening of unspecified depth,"Personnel were near the fall hazard, but the credible fall path is unclear","Height, edge protection, or fall-protection details are missing",Insufficient evidence to establish or exclude fatal or life-altering fall trauma,The fall height and protective-barrier evidence are insufficient for a reliable SIF-potential judgment.,SIF_LABELING_GUIDE_V0_1
OSHA-SIR-2025021704,UNCERTAIN,0.56,Environmental temperature exposure,Personnel symptoms are reported without adequate exposure-condition detail,"Monitoring, work-rest, clothing, or shelter controls are not described",Insufficient evidence to establish or exclude fatal or life-altering temperature injury,The environmental conditions and control evidence are insufficient for a reliable SIF-potential judgment.,SIF_LABELING_GUIDE_V0_1
OSHA-SIR-2025021232,UNCERTAIN,0.54,Chemical or inhalation exposure of unspecified identity or dose,Personnel exposure is reported without adequate concentration or route detail,"Containment, ventilation, and protective-control details are not described",Insufficient evidence to establish or exclude fatal or life-altering toxicity,"The substance, dose, and control evidence are insufficient for a reliable SIF-potential judgment.",SIF_LABELING_GUIDE_V0_1
OSHA-SIR-2024032554,UNCERTAIN,0.55,Potential lower-level fall or opening of unspecified depth,"Personnel were near the fall hazard, but the credible fall path is unclear","Height, edge protection, or fall-protection details are missing",Insufficient evidence to establish or exclude fatal or life-altering fall trauma,The fall height and protective-barrier evidence are insufficient for a reliable SIF-potential judgment.,SIF_LABELING_GUIDE_V0_1
OSHA-SIR-2024054144,UNCERTAIN,0.56,Equipment or object energy of unspecified magnitude,"Personnel contact is described, but the full exposure zone is unclear","Critical equipment, isolation, support, or guarding details are missing",Insufficient evidence to establish or exclude fatal or life-altering potential,The equipment mechanism and critical-control details are insufficient for a reliable SIF-potential judgment.,SIF_LABELING_GUIDE_V0_1
OSHA-SIR-2024054535,UNCERTAIN,0.56,Equipment or object energy of unspecified magnitude,"Personnel contact is described, but the full exposure zone is unclear","Critical equipment, isolation, support, or guarding details are missing",Insufficient evidence to establish or exclude fatal or life-altering potential,The equipment mechanism and critical-control details are insufficient for a reliable SIF-potential judgment.,SIF_LABELING_GUIDE_V0_1
OSHA-SIR-2024021480,UNCERTAIN,0.56,Equipment or object energy of unspecified magnitude,"Personnel contact is described, but the full exposure zone is unclear","Critical equipment, isolation, support, or guarding details are missing",Insufficient evidence to establish or exclude fatal or life-altering potential,The equipment mechanism and critical-control details are insufficient for a reliable SIF-potential judgment.,SIF_LABELING_GUIDE_V0_1
OSHA-SIR-2017065761,UNCERTAIN,0.55,Biological bite or sting,"A bite or sting occurred, but agent severity is not established","Relevant detection, avoidance, or protection details are not described",Insufficient evidence to establish or exclude fatal or life-altering toxicity,"The narrative lacks species, toxicity, and control detail needed for a reliable SIF-potential judgment.",SIF_LABELING_GUIDE_V0_1
OSHA-SIR-2015010093,UNCERTAIN,0.56,Equipment or object energy of unspecified magnitude,"Personnel contact is described, but the full exposure zone is unclear","Critical equipment, isolation, support, or guarding details are missing",Insufficient evidence to establish or exclude fatal or life-altering potential,The equipment mechanism and critical-control details are insufficient for a reliable SIF-potential judgment.,SIF_LABELING_GUIDE_V0_1
