expansion_id,candidate_id,normalized_narrative_sha256,annotation_pass,sif_label,sif_evidence_excerpt,sif_rationale,hazard_energy_assessment,hazard_energy_evidence,personnel_exposure_assessment,personnel_exposure_evidence,barrier_failure_assessment,barrier_failure_evidence,credible_consequence_assessment,credible_consequence_evidence,uncertainty_reason,LSR01_target,LSR01_evidence,LSR01_violation_status,LSR01_unknown_reason,LSR02_target,LSR02_evidence,LSR02_violation_status,LSR02_unknown_reason,LSR03_target,LSR03_evidence,LSR03_violation_status,LSR03_unknown_reason,LSR04_target,LSR04_evidence,LSR04_violation_status,LSR04_unknown_reason,LSR05_target,LSR05_evidence,LSR05_violation_status,LSR05_unknown_reason,LSR06_target,LSR06_evidence,LSR06_violation_status,LSR06_unknown_reason,LSR07_target,LSR07_evidence,LSR07_violation_status,LSR07_unknown_reason,LSR08_target,LSR08_evidence,LSR08_violation_status,LSR08_unknown_reason,LSR09_target,LSR09_evidence,LSR09_violation_status,LSR09_unknown_reason,annotation_status,label_provenance,annotation_version,annotator_model,annotator_id,annotated_at_utc
EXP-V0.4-0523,OSHA-SIR-2017054029,cd3942e14d942c3b185d2a70f5369d1dc229eb5b86b745018482f6097f965b50,PASS2,SIF_POTENTIAL,"An employee was unloading salt water from the truck-mounted storage tank. As the employee removed the pressurized tank cap, it struck him on the right side of his torso resulting in injuries to his ribs and liver (right side).","The pressurized cap became a projectile and struck the torso, supporting credible fatal internal injury.",SUPPORTED,"An employee was unloading salt water from the truck-mounted storage tank. As the employee removed the pressurized tank cap, it struck him on the right side of his torso resulting in injuries to his ribs and liver (right side).",SUPPORTED,"An employee was unloading salt water from the truck-mounted storage tank. As the employee removed the pressurized tank cap, it struck him on the right side of his torso resulting in injuries to his ribs and liver (right side).",SUPPORTED,"An employee was unloading salt water from the truck-mounted storage tank. As the employee removed the pressurized tank cap, it struck him on the right side of his torso resulting in injuries to his ribs and liver (right side).",SUPPORTED,"An employee was unloading salt water from the truck-mounted storage tank. As the employee removed the pressurized tank cap, it struck him on the right side of his torso resulting in injuries to his ribs and liver (right side).",,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,"An employee was unloading salt water from the truck-mounted storage tank. As the employee removed the pressurized tank cap, it struck him on the right side of his torso resulting in injuries to his ribs and liver (right side).",ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,"An employee was unloading salt water from the truck-mounted storage tank. As the employee removed the pressurized tank cap, it struck him on the right side of his torso resulting in injuries to his ribs and liver (right side).",ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,main-agent-pass2-lsr08,2026-09-10T19:13:16+00:00
EXP-V0.4-0532,OSHA-SIR-2022109233,9fd2be094a3fd3abb85f16c0c64cef24cb26cdf6bd25a131c115907ce8789998,PASS2,SIF_POTENTIAL,"An employee was trying to clear a spent sulfuric acid line. As he tried to remove a flange on the line, there was a sudden pressure release and acid sprayed onto his face and neck; he then tripped and fell. He suffered chemical burns to the face and neck and a broken ankle/lower leg.","Opening an acid-line flange caused a pressure release to the face and neck, supporting fatal or permanently disabling potential.",SUPPORTED,"An employee was trying to clear a spent sulfuric acid line. As he tried to remove a flange on the line, there was a sudden pressure release and acid sprayed onto his face and neck; he then tripped and fell. He suffered chemical burns to the face and neck and a broken ankle/lower leg.",SUPPORTED,"An employee was trying to clear a spent sulfuric acid line. As he tried to remove a flange on the line, there was a sudden pressure release and acid sprayed onto his face and neck; he then tripped and fell. He suffered chemical burns to the face and neck and a broken ankle/lower leg.",SUPPORTED,"An employee was trying to clear a spent sulfuric acid line. As he tried to remove a flange on the line, there was a sudden pressure release and acid sprayed onto his face and neck; he then tripped and fell. He suffered chemical burns to the face and neck and a broken ankle/lower leg.",SUPPORTED,"An employee was trying to clear a spent sulfuric acid line. As he tried to remove a flange on the line, there was a sudden pressure release and acid sprayed onto his face and neck; he then tripped and fell. He suffered chemical burns to the face and neck and a broken ankle/lower leg.",,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,"An employee was trying to clear a spent sulfuric acid line. As he tried to remove a flange on the line, there was a sudden pressure release and acid sprayed onto his face and neck; he then tripped and fell. He suffered chemical burns to the face and neck and a broken ankle/lower leg.",ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,"An employee was trying to clear a spent sulfuric acid line. As he tried to remove a flange on the line, there was a sudden pressure release and acid sprayed onto his face and neck; he then tripped and fell. He suffered chemical burns to the face and neck and a broken ankle/lower leg.",ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,UNKNOWN,,UNKNOWN,Permit or work-authorisation applicability is not described.,NEGATIVE,,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,main-agent-pass2-lsr08,2026-09-10T19:13:16+00:00
EXP-V0.4-0550,OSHA-SIR-20241110225,6f8476ac0dd15f9b4b44ca1ef9b3c992db6142c122327ad702a8c9fadc7574b1,PASS2,SIF_POTENTIAL,An employee was troubleshooting an outage and removed a fuse from a 600-volt cabinet when an arc flash occurred that also started a fire. The employee sustained burns to their arm and hand.,A 600-volt arc flash and fire while removing a fuse supports credible fatal electrical and burn potential.,SUPPORTED,An employee was troubleshooting an outage and removed a fuse from a 600-volt cabinet when an arc flash occurred that also started a fire. The employee sustained burns to their arm and hand.,SUPPORTED,An employee was troubleshooting an outage and removed a fuse from a 600-volt cabinet when an arc flash occurred that also started a fire. The employee sustained burns to their arm and hand.,SUPPORTED,An employee was troubleshooting an outage and removed a fuse from a 600-volt cabinet when an arc flash occurred that also started a fire. The employee sustained burns to their arm and hand.,SUPPORTED,An employee was troubleshooting an outage and removed a fuse from a 600-volt cabinet when an arc flash occurred that also started a fire. The employee sustained burns to their arm and hand.,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,An employee was troubleshooting an outage and removed a fuse from a 600-volt cabinet when an arc flash occurred that also started a fire. The employee sustained burns to their arm and hand.,ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,UNKNOWN,,UNKNOWN,The narrative does not state whether a permit or work authorisation was required.,NEGATIVE,,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,main-agent-pass2-lsr08,2026-09-10T19:13:16+00:00
EXP-V0.4-0566,OSHA-SIR-2015075279,fb587da344f280c3c837d352002046bac93cf4f62db96ff20f27bf2736cbe580,PASS2,SIF_POTENTIAL,An employee made contact with an energized conductor on a transformer while performing a test. The employee received electrical contact burns to the right hand.,Direct contact with an energized transformer conductor supports credible fatal electrical exposure.,SUPPORTED,An employee made contact with an energized conductor on a transformer while performing a test. The employee received electrical contact burns to the right hand.,SUPPORTED,An employee made contact with an energized conductor on a transformer while performing a test. The employee received electrical contact burns to the right hand.,UNKNOWN,,SUPPORTED,An employee made contact with an energized conductor on a transformer while performing a test. The employee received electrical contact burns to the right hand.,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,An employee made contact with an energized conductor on a transformer while performing a test. The employee received electrical contact burns to the right hand.,ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,UNKNOWN,,UNKNOWN,The narrative does not state whether a permit or work authorisation was required.,NEGATIVE,,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,main-agent-pass2-lsr08,2026-09-10T19:13:16+00:00
EXP-V0.4-0578,OSHA-SIR-2022043537,e6f50d3c5ff02ad4270b70108edaea6014e391bceb0e8167eab295cfd9dbdfa4,PASS2,SIF_POTENTIAL,"A carbon steel plug for a water separator was released during a pressure test. The pressure inside the separator forced an impact tool into an employee's upper torso, causing four broken ribs, a liver laceration, and a bruised lung.","Stored pressure launched an impact tool into the torso, supporting credible fatal blunt-trauma potential.",SUPPORTED,"A carbon steel plug for a water separator was released during a pressure test. The pressure inside the separator forced an impact tool into an employee's upper torso, causing four broken ribs, a liver laceration, and a bruised lung.",SUPPORTED,"A carbon steel plug for a water separator was released during a pressure test. The pressure inside the separator forced an impact tool into an employee's upper torso, causing four broken ribs, a liver laceration, and a bruised lung.",SUPPORTED,"A carbon steel plug for a water separator was released during a pressure test. The pressure inside the separator forced an impact tool into an employee's upper torso, causing four broken ribs, a liver laceration, and a bruised lung.",SUPPORTED,"A carbon steel plug for a water separator was released during a pressure test. The pressure inside the separator forced an impact tool into an employee's upper torso, causing four broken ribs, a liver laceration, and a bruised lung.",,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,"A carbon steel plug for a water separator was released during a pressure test. The pressure inside the separator forced an impact tool into an employee's upper torso, causing four broken ribs, a liver laceration, and a bruised lung.",ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,"A carbon steel plug for a water separator was released during a pressure test. The pressure inside the separator forced an impact tool into an employee's upper torso, causing four broken ribs, a liver laceration, and a bruised lung.",ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,UNKNOWN,,UNKNOWN,The narrative does not state whether a permit or work authorisation was required.,NEGATIVE,,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,main-agent-pass2-lsr08,2026-09-10T19:13:16+00:00
EXP-V0.4-0593,OSHA-SIR-2025010225,65d7c5e852bf95b4b827d12e8e41a89f4d3c6152259f055fa2f9d5772f3506e3,PASS2,SIF_POTENTIAL,An employee was installing a temporary electrical line from one building to another. The employee was pulling a cable on a ladder to tie it into a panel when an arc flash occurred. The employee suffered hand and face burns.,"An arc flash occurred while the worker was on a ladder tying cable into a panel, supporting fatal electrical, burn, and fall potential.",SUPPORTED,An employee was installing a temporary electrical line from one building to another. The employee was pulling a cable on a ladder to tie it into a panel when an arc flash occurred. The employee suffered hand and face burns.,SUPPORTED,An employee was installing a temporary electrical line from one building to another. The employee was pulling a cable on a ladder to tie it into a panel when an arc flash occurred. The employee suffered hand and face burns.,UNKNOWN,,SUPPORTED,An employee was installing a temporary electrical line from one building to another. The employee was pulling a cable on a ladder to tie it into a panel when an arc flash occurred. The employee suffered hand and face burns.,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,An employee was installing a temporary electrical line from one building to another. The employee was pulling a cable on a ladder to tie it into a panel when an arc flash occurred. The employee suffered hand and face burns.,ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,UNKNOWN,,UNKNOWN,The narrative does not state whether a permit or work authorisation was required.,POSITIVE,An employee was installing a temporary electrical line from one building to another. The employee was pulling a cable on a ladder to tie it into a panel when an arc flash occurred. The employee suffered hand and face burns.,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,main-agent-pass2-lsr08,2026-09-10T19:13:16+00:00
EXP-V0.4-0618,OSHA-SIR-2015085484,a761a2d1e4c27d62779be30b06ca4b14ca122322c90cc0c0aeba6a143091437c,PASS2,UNCERTAIN,,"The reported injury mechanism is an insect bite; the gas leak and excavation are mentioned without atmosphere, depth, cave-in, or control details needed to judge SIF potential.",UNKNOWN,,SUPPORTED,"On August 6, 2015, an employee working on a gas leak inside of an excavation was bitten by an unknown insect on the right elbow. As the day continued the bite are became swollen and painful. The employee was admitted into the hospital. On August 10, 2015 a portion of the bite area was removed by doctors.",UNKNOWN,,UNKNOWN,,"The reported injury mechanism is an insect bite; the gas leak and excavation are mentioned without atmosphere, depth, cave-in, or control details needed to judge SIF potential.",NEGATIVE,,NOT_ESTABLISHED,,UNKNOWN,,UNKNOWN,The narrative does not establish whether the excavation met confined-space criteria or required confined-space controls.,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,UNKNOWN,,UNKNOWN,The narrative does not state whether work authorisation was required.,NEGATIVE,,NOT_ESTABLISHED,,unresolved,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,main-agent-pass2-lsr08,2026-09-10T19:13:16+00:00
EXP-V0.4-0658,OSHA-SIR-2018054700,db522016c86dd15a5a3954d234cb7d4f4090da36c1c6785846d9a11fe53e3817,PASS2,SIF_POTENTIAL,"An employee was pressure testing a fuel tank and void tank on a boat. Liquid was coming out of the pot into the test hose when the T-bar hatch blew off, striking the employee in the left knee and face and knocking him onto his back. He suffered a fractured tibia and broken nose.","Pressure testing caused a hatch to blow off and strike the worker, supporting fatal projectile and stored-energy potential.",SUPPORTED,"An employee was pressure testing a fuel tank and void tank on a boat. Liquid was coming out of the pot into the test hose when the T-bar hatch blew off, striking the employee in the left knee and face and knocking him onto his back. He suffered a fractured tibia and broken nose.",SUPPORTED,"An employee was pressure testing a fuel tank and void tank on a boat. Liquid was coming out of the pot into the test hose when the T-bar hatch blew off, striking the employee in the left knee and face and knocking him onto his back. He suffered a fractured tibia and broken nose.",SUPPORTED,"An employee was pressure testing a fuel tank and void tank on a boat. Liquid was coming out of the pot into the test hose when the T-bar hatch blew off, striking the employee in the left knee and face and knocking him onto his back. He suffered a fractured tibia and broken nose.",SUPPORTED,"An employee was pressure testing a fuel tank and void tank on a boat. Liquid was coming out of the pot into the test hose when the T-bar hatch blew off, striking the employee in the left knee and face and knocking him onto his back. He suffered a fractured tibia and broken nose.",,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,"An employee was pressure testing a fuel tank and void tank on a boat. Liquid was coming out of the pot into the test hose when the T-bar hatch blew off, striking the employee in the left knee and face and knocking him onto his back. He suffered a fractured tibia and broken nose.",ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,"An employee was pressure testing a fuel tank and void tank on a boat. Liquid was coming out of the pot into the test hose when the T-bar hatch blew off, striking the employee in the left knee and face and knocking him onto his back. He suffered a fractured tibia and broken nose.",ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,UNKNOWN,,UNKNOWN,The narrative does not state whether a permit or work authorisation was required.,NEGATIVE,,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,main-agent-pass2-lsr08,2026-09-10T19:13:16+00:00
EXP-V0.4-0698,OSHA-SIR-20251010313,77a5dcfa4074033e49f80aabdc379232d274885cb9aa95ae76df6c8efad37bab,PASS2,SIF_POTENTIAL,"A temporary employee was working to unclog butter from a butter melter pump. His right index finger was caught in the machine, and the fingertip was amputated. The machine was energized at the time.","The worker was caught in an energized machine while clearing a blockage, supporting credible life-altering entanglement potential.",SUPPORTED,"A temporary employee was working to unclog butter from a butter melter pump. His right index finger was caught in the machine, and the fingertip was amputated. The machine was energized at the time.",SUPPORTED,"A temporary employee was working to unclog butter from a butter melter pump. His right index finger was caught in the machine, and the fingertip was amputated. The machine was energized at the time.",SUPPORTED,"A temporary employee was working to unclog butter from a butter melter pump. His right index finger was caught in the machine, and the fingertip was amputated. The machine was energized at the time.",SUPPORTED,"A temporary employee was working to unclog butter from a butter melter pump. His right index finger was caught in the machine, and the fingertip was amputated. The machine was energized at the time.",,UNKNOWN,,UNKNOWN,"The narrative does not describe a guard, interlock, procedure deviation, or bypass.",NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,"A temporary employee was working to unclog butter from a butter melter pump. His right index finger was caught in the machine, and the fingertip was amputated. The machine was energized at the time.",ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,"A temporary employee was working to unclog butter from a butter melter pump. His right index finger was caught in the machine, and the fingertip was amputated. The machine was energized at the time.",ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,UNKNOWN,,UNKNOWN,The narrative does not state whether work authorisation was required.,NEGATIVE,,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,main-agent-pass2-lsr08,2026-09-10T19:13:16+00:00
EXP-V0.4-0722,OSHA-SIR-2023054415,e63f4305a5b2dd9cbe1bdb01fe1a352c28c6a13fc6f60b79896af911c9fbc9c9,PASS2,SIF_POTENTIAL,"Employees were checking a trench box for removal when the wall caved in, burying the employees. One employee was hospitalized for 8 rib fractures and a shoulder fracture. The other employee was also hospitalized.","A trench wall cave-in buried workers, directly supporting credible fatal engulfment and crushing potential.",SUPPORTED,"Employees were checking a trench box for removal when the wall caved in, burying the employees. One employee was hospitalized for 8 rib fractures and a shoulder fracture. The other employee was also hospitalized.",SUPPORTED,"Employees were checking a trench box for removal when the wall caved in, burying the employees. One employee was hospitalized for 8 rib fractures and a shoulder fracture. The other employee was also hospitalized.",SUPPORTED,"Employees were checking a trench box for removal when the wall caved in, burying the employees. One employee was hospitalized for 8 rib fractures and a shoulder fracture. The other employee was also hospitalized.",SUPPORTED,"Employees were checking a trench box for removal when the wall caved in, burying the employees. One employee was hospitalized for 8 rib fractures and a shoulder fracture. The other employee was also hospitalized.",,UNKNOWN,,UNKNOWN,"The narrative does not establish whether the trench box was removed, bypassed, or improperly used.",NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,"Employees were checking a trench box for removal when the wall caved in, burying the employees. One employee was hospitalized for 8 rib fractures and a shoulder fracture. The other employee was also hospitalized.",ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,UNKNOWN,,UNKNOWN,The narrative does not state whether a permit or work authorisation was required.,NEGATIVE,,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,main-agent-pass2-lsr08,2026-09-10T19:13:16+00:00
