report_id,scenario_family,primary_lsr_design,secondary_scenario_design,cohort_id,control_state_design,site_trend_design,word_count,normalized_narrative,observed_risk,observed_sif_decision,observed_assigned_lsr_ids,observed_unavailable_rule_ids,meaningful_hazard_extraction
DEMO100-0001,Driving,LSR03,none,driving-cohort-1,high,rising,89,"at blue mesa yard in the internal access road, the operator prepared driving during verification. the equipment was light vehicle and reversing camera. the vehicle was speeding and the driver lost control. the driver was distracted and the vehicle veered toward a pedestrian. a pedestrian was within the vehicle line of travel. the expected seatbelt, spotter, speed limit, and journey plan was not verified. no serious injury occurred, but severe harm was credible. work stopped, the control was restored, and the event was recorded. standalone sequence 0001 was logged.",High,SIF_POTENTIAL,LSR03,LSR01|LSR02|LSR08,True
DEMO100-0002,Confined space,LSR02,Working at height,confined_space-cohort-1,low,stable,108,"at delta point facility in the workshop aisle, during routine inspection, a worker used a small hand tool. nearby was a closed vessel and idle gas monitor, not in use. the worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. the worker caught a finger on the tool case but did not fall. no one was exposed to serious harm and no credible fatal outcome was identified. the ordinary footing control was present and verified. the ankle and finger were checked after the slip. the fingertip was checked. the worker removed the step and continued. standalone sequence 0002 was logged.",Low,NON_SIF_POTENTIAL,,LSR01|LSR02|LSR08,True
DEMO100-0003,Working at height,LSR09,none,working_at_height-cohort-1,low,stable,107,"at cedar ridge station in the workshop aisle, during routine inspection, a worker used a small hand tool. nearby was a secured ladder and closed platform, not in use. the worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. the worker caught a finger on the tool case but did not fall. no one was exposed to serious harm and no credible fatal outcome was identified. the ordinary footing control was present and verified. the ankle and finger were checked after the slip. the fingertip was checked. the worker removed the step and continued. standalone sequence 0003 was logged.",Low,NON_SIF_POTENTIAL,,LSR01|LSR02|LSR08,True
DEMO100-0004,Hot work,LSR05,none,hot_work-cohort-1,high,rising,87,"at aurora basin in the fabrication bay, the driver prepared hot work during the pre-job setup stage. the equipment was welding torch, gas cylinder, and nearby vapour source. welding started near flammable gas before the ignition source was controlled. the welder was beside the potential fire and explosion path. the expected permit, gas test, fire watch, and ignition-source control was not verified. no serious injury occurred, but severe harm was credible. work stopped, the control was restored, and the event was recorded. standalone sequence 0004 was logged.",High,SIF_POTENTIAL,LSR05,LSR01|LSR02|LSR08,True
DEMO100-0005,Working at height,LSR09,none,working_at_height-cohort-2,high,stable,85,"at delta point facility in the maintenance platform, the driver prepared valve maintenance during the post-task check stage. the equipment was access ladder, scaffold, and fall-protection lanyard. the worker was working at height without fall protection, harness, or lanyard. the worker was positioned at height above the lower deck. the expected guardrail, harness, lanyard, and tie-off point was not verified. no serious injury occurred, but severe harm was credible. work stopped, the control was restored, and the event was recorded. standalone sequence 0005 was logged.",High,SIF_POTENTIAL,LSR09,LSR01|LSR02|LSR08,True
DEMO100-0006,Confined space,LSR02,Work authorization,confined_space-cohort-2,medium,declining,120,"at frostline depot in the workshop aisle, during routine inspection, a worker used a small hand tool. nearby was a closed vessel and idle gas monitor, not in use. the worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. the worker caught a finger on the tool case but did not fall. no one was exposed to serious harm and no credible fatal outcome was identified. the ordinary footing control was present and verified. the ankle and finger were checked after the slip. the fingertip was checked. the worker removed the step and continued. the area was checked before work continued. the task was paused for review. standalone sequence 0006 was logged.",Medium,HUMAN_REVIEW,,LSR01|LSR02|LSR08,True
DEMO100-0007,Driving,LSR03,none,driving-cohort-2,high,rising,88,"at aurora basin in the internal access road, the rigger prepared driving during the task execution stage. the equipment was light vehicle and reversing camera. the driver was distracted and the vehicle veered toward a pedestrian. a vehicle crash was narrowly avoided. a pedestrian was within the vehicle line of travel. the expected seatbelt, spotter, speed limit, and journey plan was not verified. no serious injury occurred, but severe harm was credible. work stopped, the control was restored, and the event was recorded. standalone sequence 0007 was logged.",High,SIF_POTENTIAL,LSR03,LSR01|LSR02|LSR08,True
DEMO100-0008,Line of fire,LSR06,Energy isolation,line_of_fire-cohort-1,low,rising,107,"at blue mesa yard in the workshop aisle, during routine inspection, a worker used a small hand tool. nearby was a parked load and marked floor, not in use. the worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. the worker caught a finger on the tool case but did not fall. no one was exposed to serious harm and no credible fatal outcome was identified. the ordinary footing control was present and verified. the ankle and finger were checked after the slip. the fingertip was checked. the worker removed the step and continued. standalone sequence 0008 was logged.",Low,NON_SIF_POTENTIAL,,LSR01|LSR02|LSR08,True
DEMO100-0009,Driving,LSR03,none,driving-cohort-1,low,stable,107,"at cedar ridge station in the workshop aisle, during routine inspection, a worker used a small hand tool. nearby was a parked vehicle and clear route, not in use. the worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. the worker caught a finger on the tool case but did not fall. no one was exposed to serious harm and no credible fatal outcome was identified. the ordinary footing control was present and verified. the ankle and finger were checked after the slip. the fingertip was checked. the worker removed the step and continued. standalone sequence 0009 was logged.",Low,NON_SIF_POTENTIAL,,LSR01|LSR02|LSR08,True
DEMO100-0010,Line of fire,LSR06,none,line_of_fire-cohort-2,high,declining,85,"at echo valley works in the pipe rack laydown area, the inspector prepared drilling during the task execution stage. the equipment was pipe spool and temporary lifting frame. a suspended load fell and struck a worker. a rigger stood in the line of fire beside the load path. the expected exclusion zone, tag line, and hands-off positioning was not verified. no serious injury occurred, but severe harm was credible. work stopped, the control was restored, and the event was recorded. standalone sequence 0010 was logged.",High,SIF_POTENTIAL,LSR06,LSR01|LSR02|LSR08,True
DEMO100-0011,Energy isolation,LSR04,none,energy_isolation-cohort-1,medium,stable,116,"at cedar ridge station in the workshop aisle, during routine inspection, a worker used a small hand tool. nearby was a closed pressure valve and disconnected line, not in use. the worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. the worker caught a finger on the tool case but did not fall. no one was exposed to serious harm and no credible fatal outcome was identified. the ordinary footing control was present and verified. the ankle and finger were checked after the slip. the fingertip was checked. the worker removed the step and continued. the task was paused for a control check. standalone sequence 0011 was logged.",Medium,HUMAN_REVIEW,,LSR01|LSR02|LSR08,True
DEMO100-0012,Confined space,LSR02,none,confined_space-cohort-1,low,declining,107,"at frostline depot in the workshop aisle, during routine inspection, a worker used a small hand tool. nearby was a closed vessel and idle gas monitor, not in use. the worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. the worker caught a finger on the tool case but did not fall. no one was exposed to serious harm and no credible fatal outcome was identified. the ordinary footing control was present and verified. the ankle and finger were checked after the slip. the fingertip was checked. the worker removed the step and continued. standalone sequence 0012 was logged.",Low,NON_SIF_POTENTIAL,,LSR01|LSR02|LSR08,True
DEMO100-0013,Driving,LSR03,none,driving-cohort-2,low,declining,107,"at echo valley works in the workshop aisle, during routine inspection, a worker used a small hand tool. nearby was a parked vehicle and clear route, not in use. the worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. the worker caught a finger on the tool case but did not fall. no one was exposed to serious harm and no credible fatal outcome was identified. the ordinary footing control was present and verified. the ankle and finger were checked after the slip. the fingertip was checked. the worker removed the step and continued. standalone sequence 0013 was logged.",Low,NON_SIF_POTENTIAL,,LSR01|LSR02|LSR08,True
DEMO100-0014,Hot work,LSR05,none,hot_work-cohort-2,medium,stable,121,"at cedar ridge station in the workshop aisle, during routine inspection, a worker used a small hand tool. nearby was a cool hot-work torch and closed cylinder, not in use. the worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. the worker caught a finger on the tool case but did not fall. no one was exposed to serious harm and no credible fatal outcome was identified. the ordinary footing control was present and verified. the ankle and finger were checked after the slip. the fingertip was checked. the worker removed the step and continued. the area was checked before work continued. the task was paused for review. standalone sequence 0014 was logged.",Medium,HUMAN_REVIEW,,LSR01|LSR02|LSR08,False
DEMO100-0015,Driving,LSR03,none,driving-cohort-1,medium,declining,115,"at echo valley works in the workshop aisle, during routine inspection, a worker used a small hand tool. nearby was a parked vehicle and clear route, not in use. the worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. the worker caught a finger on the tool case but did not fall. no one was exposed to serious harm and no credible fatal outcome was identified. the ordinary footing control was present and verified. the ankle and finger were checked after the slip. the fingertip was checked. the worker removed the step and continued. the barrier was reviewed before the task continued. standalone sequence 0015 was logged.",Medium,HUMAN_REVIEW,,LSR01|LSR02|LSR08,True
DEMO100-0016,Bypassed safety controls,LSR01,Working at height,bypassed_safety_controls-cohort-1,medium,rising,120,"at aurora basin in the workshop aisle, during routine inspection, a worker used a small hand tool. nearby was a secured guard and idle control panel, not in use. the worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. the worker caught a finger on the tool case but did not fall. no one was exposed to serious harm and no credible fatal outcome was identified. the ordinary footing control was present and verified. the ankle and finger were checked after the slip. the fingertip was checked. the worker removed the step and continued. the area was checked before work continued. the task was paused for review. standalone sequence 0016 was logged.",Medium,HUMAN_REVIEW,,LSR01|LSR02|LSR08,True
