report_id,report_date,site,activity,report_type,narrative,source
DEMO100-0001,2026-07-20,Blue Mesa Yard,Driving,Near Miss,"At Blue Mesa Yard in the internal access road, the operator prepared driving during verification. The equipment was light vehicle and reversing camera. The vehicle was speeding and the driver lost control. The driver was distracted and the vehicle veered toward a pedestrian. a pedestrian was within the vehicle line of travel. The expected seatbelt, spotter, speed limit, and journey plan was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Standalone sequence 0001 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0002,2026-07-21,Delta Point Facility,Inspection,Unsafe Condition,"At Delta Point Facility in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a closed vessel and idle gas monitor, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. Standalone sequence 0002 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0003,2026-07-22,Cedar Ridge Station,Inspection,Unsafe Condition,"At Cedar Ridge Station in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a secured ladder and closed platform, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. Standalone sequence 0003 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0004,2026-07-23,Aurora Basin,Hot Work,Near Miss,"At Aurora Basin in the fabrication bay, the driver prepared hot work during the pre-job setup stage. The equipment was welding torch, gas cylinder, and nearby vapour source. Welding started near flammable gas before the ignition source was controlled. the welder was beside the potential fire and explosion path. The expected permit, gas test, fire watch, and ignition-source control was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Standalone sequence 0004 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0005,2026-07-24,Delta Point Facility,Valve Maintenance,Near Miss,"At Delta Point Facility in the maintenance platform, the driver prepared valve maintenance during the post-task check stage. The equipment was access ladder, scaffold, and fall-protection lanyard. The worker was working at height without fall protection, harness, or lanyard. the worker was positioned at height above the lower deck. The expected guardrail, harness, lanyard, and tie-off point was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Standalone sequence 0005 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0006,2026-07-24,Frostline Depot,Inspection,Unsafe Condition,"At Frostline Depot in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a closed vessel and idle gas monitor, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. The area was checked before work continued. The task was paused for review. Standalone sequence 0006 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0007,2026-07-27,Aurora Basin,Driving,Incident,"At Aurora Basin in the internal access road, the rigger prepared driving during the task execution stage. The equipment was light vehicle and reversing camera. The driver was distracted and the vehicle veered toward a pedestrian. A vehicle crash was narrowly avoided. a pedestrian was within the vehicle line of travel. The expected seatbelt, spotter, speed limit, and journey plan was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Standalone sequence 0007 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0008,2026-07-27,Blue Mesa Yard,Mechanical Lifting,Unsafe Act,"At Blue Mesa Yard in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a parked load and marked floor, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. Standalone sequence 0008 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0009,2026-07-27,Cedar Ridge Station,Driving,Unsafe Act,"At Cedar Ridge Station in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a parked vehicle and clear route, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. Standalone sequence 0009 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0010,2026-07-28,Echo Valley Works,Drilling,Near Miss,"At Echo Valley Works in the pipe rack laydown area, the inspector prepared drilling during the task execution stage. The equipment was pipe spool and temporary lifting frame. A suspended load fell and struck a worker. a rigger stood in the line of fire beside the load path. The expected exclusion zone, tag line, and hands-off positioning was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Standalone sequence 0010 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0011,2026-07-28,Cedar Ridge Station,Valve Maintenance,Unsafe Condition,"At Cedar Ridge Station in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a closed pressure valve and disconnected line, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. The task was paused for a control check. Standalone sequence 0011 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0012,2026-07-28,Frostline Depot,Inspection,Unsafe Condition,"At Frostline Depot in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a closed vessel and idle gas monitor, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. Standalone sequence 0012 was logged.",synthetic_judge_demo_100_v0_1
