candidate_id,source,narrative,true_label,predicted_label,score,error_type
OSHA-SIR-2024010903,OSHA_SIR,An employee was working to set a drive pin on an S-hook so a forklift could pick up a part and bring it to the paint department. The employee's left middle finger was pinched between the pin and the S-hook resulting in a partial amputation.,NON_SIF_POTENTIAL,SIF_POTENTIAL,0.528006,false_positive
OSHA-SIR-2024076349,OSHA_SIR,"Two employees were carrying a drill bit and installation tool to the center of a drilling rig floor. One of them slipped and fell, and the drill bit and installation tool landed on his left hand. He suffered an open fracture and partial amputation of the last joint of the little finger, as well as a laceration to the ring finger.",NON_SIF_POTENTIAL,SIF_POTENTIAL,0.473262,false_positive
OSHA-SIR-2024010047,OSHA_SIR,An employee was standing on top of a pump truck when he slipped and fell to the ground. The employee suffered a skull fracture.,SIF_POTENTIAL,NON_SIF_POTENTIAL,0.342043,false_negative
OSHA-SIR-2024021513,OSHA_SIR,"An employee fell while exiting a tractor, landed on the ground, and suffered fractures to the pelvis and shoulder blade. The employee was hospitalized.",NON_SIF_POTENTIAL,SIF_POTENTIAL,0.653694,false_positive
OSHA-SIR-20241110530,OSHA_SIR,Two employees were performing routine maintenance on a mud pump. The injured employee was holding a plunger cap in place when the second employee dropped the plunger cap and the injured employee's right middle fingertip was caught between the plunger cap and the pump. The employee sustained a partial amputation to the right middle fingertip.,NON_SIF_POTENTIAL,SIF_POTENTIAL,0.494926,false_positive
OSHA-SIR-2024087451,OSHA_SIR,"An employee was replacing the well house. After installing the new well house, the employee drilled a 2- to 3-inch hole in the side of the well house to run a 2-inch pipe. The employee inserted the pipe into the hole and secured it inside the well house. The employee then traveled outside the well house to apply tape onto the threaded section of the new pipe. The employee used his left index finger to hold the tape on the threads. The pipe section inside the well house fell from its support and the employee's finger was lacerated, resulting in a fingertip amputation.",NON_SIF_POTENTIAL,SIF_POTENTIAL,0.591324,false_positive
OSHA-SIR-2015031349,OSHA_SIR,An employee stepped off of the boat in mud and water up to his knees. He was hospitalized with cellulitis.,NON_SIF_POTENTIAL,SIF_POTENTIAL,0.578155,false_positive
OSHA-SIR-2015010401,OSHA_SIR,Employee was breaking a bolt with a crescent wrench and it slipped. The employee fell back and rolled onto the leg fracturing the ankle.,NON_SIF_POTENTIAL,SIF_POTENTIAL,0.569475,false_positive
OSHA-SIR-20191112157,OSHA_SIR,"Onboard an aircraft carrier, a rigger helper was steadying a pipe in a compartment while pipefitters adjusted the pipe in another compartment. While adjusting the pipe, the light end of the pipe shifted upwards and the rigger helper s left little and ring fingers were caught between the pipe flange and the overhead. The tip of the pinky finger was crushed and the fingernail was removed, and the ring finger sustained a 2-3 laceration. The employee was hospitalized and the pinky finger was amputated to the base of the fingernail.",NON_SIF_POTENTIAL,SIF_POTENTIAL,0.609188,false_positive
OSHA-SIR-2016076633,OSHA_SIR,"An employee exited the rear of a flatbed semi-trailer onto an unpaved county road, and fractured his left tibia and was hospitalized.",NON_SIF_POTENTIAL,SIF_POTENTIAL,0.630614,false_positive
OSHA-SIR-2019099239,OSHA_SIR,Employees were pulling slips while running drill pipe in a well bore. An employee suffered a hernia.,NON_SIF_POTENTIAL,SIF_POTENTIAL,0.633809,false_positive
OSHA-SIR-2018077651,OSHA_SIR,An employee had closed a plug valve halfway with a valve bar when he immediately felt a sharp pain in his lower back due to bulging discs that caused a pinched nerve.,NON_SIF_POTENTIAL,SIF_POTENTIAL,0.492724,false_positive
OSHA-SIR-2016065729,OSHA_SIR,"An employee arrived at a worksite, opened the lease gate, drove the vehicle through the gate, and exited the vehicle to close the gate when the wind caught it. The employee tried to block the gate from hitting the company vehicle. The gate caught his thumb between it and the vehicle door, amputating flesh on his left thumb tip.",NON_SIF_POTENTIAL,SIF_POTENTIAL,0.531382,false_positive
