expansion_id,candidate_id,source,source_record_id,source_year,report_type_if_known,activity_if_known,location_if_known,narrative,source_native_outcome,source_native_classification,duplicate_group,normalized_narrative_sha256,retrieval_strata,primary_stratum,length_band,partition,selection_basis
EXP-V0.4-0314,OSHA-SIR-2023109668,OSHA_SIR,2023109668,2023,Incident,"Struck by falling object or equipment, unspecified","LAKEWOOD, COLORADO","An employee was cleaning a double burner when it fell and crushed their right middle finger, resulting in a partial amputation.",Hospitalized=1.00; Amputation=1.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-dbda75e3b505,56f16ba2cd86585bcb6110898e3856f93c2d8dac08666478dd6c2d29e39ada6d,LSR06;HIGH_RISK,LSR06,short,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0315,OSHA-SIR-2017043850,OSHA_SIR,2017043850,2017,Incident,"Other animal bites, nonvenomous","EAST CHICAGO, INDIANA",An employee was delivering mail at a customer's residence when the customer opened the door to take out the trash and a dog ran out and bit the employee's right forearm.,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-21b8da96159c,3ffd86af3cc0aa208c08726524d732a6e50e342326eb74f9112db64f68fb9007,GENERAL,GENERAL,short,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0316,OSHA-SIR-2022021274,OSHA_SIR,2022021274,2022,Incident,Pedestrian struck by vehicle backing up in nonroadway area,"SIDNEY, OHIO",The injured employee was walking back toward a plating line when he was struck by a reversing forklift. The employee sustained a fractured pelvis and ankle.,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-ff1f453bc056,3288cb2a4632324c52df932576fab9847157422dad38e8602030bbf3b502122a,LSR03;LSR06;HAZARD_TERM_POSSIBLE_NON_SIF,LSR03,short,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0317,OSHA-SIR-2017054018,OSHA_SIR,2017054018,2017,Incident,"Other animal bites, nonvenomous","POTTSVILLE, PENNSYLVANIA","An employee was holding and moving a house cat when it bit her right index finger. Her finger and hand became swollen due to an infection, requiring hospitalization.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-751016158ae7,560fc2d102d7c041ed4599fcc109aa7a3b1daf274f9fe2bda7a6edb1bce3fab0,GENERAL,GENERAL,short,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0318,OSHA-SIR-2022075933,OSHA_SIR,2022075933,2022,Incident,Fall or jump curtailed by personal fall arrest system ,"HURON, SOUTH DAKOTA","An employee was inspecting rail cars from the top to ensure they were ready to accept grain for shipment. The rail car moved and he ducked to avoid the grain spout, which snagged his fall protection, causing him to fall into the rail car. His fall protection caught him, but he struck the wall of the car and suffered facial injuries including a potential orbital fracture.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-eb874c4feeb5,78b1dec33bd16eed6d3fdabf97fa738437d97107477f4762927218c6574cc07c,LSR03;LSR09,LSR03,long,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0319,OSHA-SIR-2016053670,OSHA_SIR,2016053670,2016,Incident,"Indirect exposure to electricity, greater than 220 volts","CLEVELAND, OHIO",An employee was refueling a crane at a customer site. The crane contacted high tension wires and the employee received an electrical shock.,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-1b9a955bf5b7,03243d53242a767a495f255f9500bf3bc190380409637fff55d183669c17ea19,LSR07,LSR07,short,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0320,OSHA-SIR-2021043250,OSHA_SIR,2021043250,2021,Incident,"Pedestrian struck by vehicle in nonroadway area, unspecified","CARROLLTON, GEORGIA",An employee was struck by a forklift in a warehouse. Both of the employee's feet were broken.,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-e16a25050d1d,69b0007cdf81401e9d2e7a6dc8eef040c99471b7ec6399c607a4cdcc65d8efc7,LSR03;LSR06,LSR03,short,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0321,OSHA-SIR-2015041934,OSHA_SIR,2015041934,2015,Incident,Compressed or pinched between two stationary objects,"GARDEN CITY, TEXAS","On or about 12 April 2015, at approximately 1410 hours, an employee amputated the distal portion of his left-hand, index phalanges (no bone involved). He was installing a hydraulic cylinder on a drilling rig when the cylinder he was holding swung laterally, pinching his distal phalanges between the cylinder and the drilling rig structure.",Hospitalized=0.00; Amputation=1.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-6545837c6b64,30fde85e281591d8af9f56b87e1bc2722a9b1a510620320aaeaca4fcbe0ec16c,GENERAL,GENERAL,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0322,OSHA-SIR-2017065215,OSHA_SIR,2017065215,2017,Incident,"Indirect exposure to electricity, greater than 220 volts","WORCESTER, MASSACHUSETTS",An employee was using a pneumatic tool to cut a gas line when he received an electric shock to his hands.,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-ba7a4dcec938,b3d880df8cee2ea1396f80861ffe124299036a209d5f7f4ebf6b182184912d13,HAZARD_TERM_POSSIBLE_NON_SIF,HAZARD_TERM_POSSIBLE_NON_SIF,short,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0323,OSHA-SIR-20161212025,OSHA_SIR,20161212025,2016,Incident,"Caught in or compressed by equipment or objects, unspecified","ODESSA, TEXAS",An employee's left ring fingertip was caught between the cylinder and motor as he was performing maintenance on a compressor.,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-3bb244b65a75,67b43a6697eb452e1ed4930dd402df936730435e49a0bf071772fd4752f2b349,LSR06,LSR06,short,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0324,OSHA-SIR-2018054898,OSHA_SIR,2018054898,2018,Incident,"Struck by falling object or equipment, n.e.c.","HARLINGEN, TEXAS",An employee was cutting a metal washer with a torch when a piece of the washer fell on and broke the employee's arm.,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-c5216a66a0f4,78ebd0320823d9c36fe9e0bbc38a54f0e9841054e41dfa5a381d4773adc52324,LSR05,LSR05,short,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0325,OSHA-SIR-2024076101,OSHA_SIR,2024076101,2024,Incident, Struck by dislodged or detached object(s),"NARDIN, OKLAHOMA",An employee was changing out a tire in the maintenance bay and airing up the tire when a bolt on the tire flew off and struck their left arm. The employee was hospitalized with a fractured arm.,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-bcbb8d0cb36e,6905ef2818beaa02f638d93c41f804971d9fbf715feb167928e75117a8c2664e,GENERAL,GENERAL,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
