"expansion_id","candidate_id","normalized_narrative_sha256","annotation_pass","sif_label","sif_evidence_excerpt","sif_rationale","hazard_energy_assessment","hazard_energy_evidence","personnel_exposure_assessment","personnel_exposure_evidence","barrier_failure_assessment","barrier_failure_evidence","credible_consequence_assessment","credible_consequence_evidence","uncertainty_reason","LSR01_target","LSR01_evidence","LSR01_violation_status","LSR01_unknown_reason","LSR02_target","LSR02_evidence","LSR02_violation_status","LSR02_unknown_reason","LSR03_target","LSR03_evidence","LSR03_violation_status","LSR03_unknown_reason","LSR04_target","LSR04_evidence","LSR04_violation_status","LSR04_unknown_reason","LSR05_target","LSR05_evidence","LSR05_violation_status","LSR05_unknown_reason","LSR06_target","LSR06_evidence","LSR06_violation_status","LSR06_unknown_reason","LSR07_target","LSR07_evidence","LSR07_violation_status","LSR07_unknown_reason","LSR08_target","LSR08_evidence","LSR08_violation_status","LSR08_unknown_reason","LSR09_target","LSR09_evidence","LSR09_violation_status","LSR09_unknown_reason","annotation_status","label_provenance","annotation_version","annotator_model","annotator_id","annotated_at_utc"
"EXP-V0.4-0501","OSHA-SIR-2017032818","048ca75a4f9c79d226d07d2f9f90eb2ea670b5c24bcc3349e49668302442fd12","PASS1","SIF_POTENTIAL","An employee was struck by a vehicle while grouting a manhole, suffering multiple fractures and lacerations to the face and left knee.","The described mechanism and personnel exposure support a credible fatal or life-altering serious-injury consequence.","SUPPORTED","An employee was struck by a vehicle while grouting a manhole, suffering multiple fractures and lacerations to the face and left knee.","SUPPORTED","An employee was struck by a vehicle while grouting a manhole, suffering multiple fractures and lacerations to the face and left knee.","SUPPORTED","An employee was struck by a vehicle while grouting a manhole, suffering multiple fractures and lacerations to the face and left knee.","SUPPORTED","An employee was struck by a vehicle while grouting a manhole, suffering multiple fractures and lacerations to the face and left knee.","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","POSITIVE","An employee was struck by a vehicle while grouting a manhole, suffering multiple fractures and lacerations to the face and left knee.","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","POSITIVE","An employee was struck by a vehicle while grouting a manhole, suffering multiple fractures and lacerations to the face and left knee.","ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","completed","AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH","gpt-5.6-sol-ai-assisted-v0.4.0","gpt-5.6-sol","pass1-batch-03","2026-09-10T14:04:11Z"
"EXP-V0.4-0502","OSHA-SIR-20201010310","f4812846a2b10c149ac55b20eedacc3bd2096005083d128ca7055a0153eb4bd9","PASS1","SIF_POTENTIAL","An employee was holding a pole with an explosive charge on the end of it, which was being used to de-slag a boiler. The explosive charge ignited and caused lacerations to the employee's left hand which resulted in amputation of the hand.","The described mechanism and personnel exposure support a credible fatal or life-altering serious-injury consequence.","SUPPORTED","An employee was holding a pole with an explosive charge on the end of it, which was being used to de-slag a boiler. The explosive charge ignited and caused lacerations to the employee's left hand which resulted in amputation of the hand.","SUPPORTED","An employee was holding a pole with an explosive charge on the end of it, which was being used to de-slag a boiler. The explosive charge ignited and caused lacerations to the employee's left hand which resulted in amputation of the hand.","SUPPORTED","An employee was holding a pole with an explosive charge on the end of it, which was being used to de-slag a boiler. The explosive charge ignited and caused lacerations to the employee's left hand which resulted in amputation of the hand.","SUPPORTED","An employee was holding a pole with an explosive charge on the end of it, which was being used to de-slag a boiler. The explosive charge ignited and caused lacerations to the employee's left hand which resulted in amputation of the hand.","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","POSITIVE","An employee was holding a pole with an explosive charge on the end of it, which was being used to de-slag a boiler. The explosive charge ignited and caused lacerations to the employee's left hand which resulted in amputation of the hand.","ESTABLISHED","","POSITIVE","An employee was holding a pole with an explosive charge on the end of it, which was being used to de-slag a boiler. The explosive charge ignited and caused lacerations to the employee's left hand which resulted in amputation of the hand.","ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","POSITIVE","An employee was holding a pole with an explosive charge on the end of it, which was being used to de-slag a boiler. The explosive charge ignited and caused lacerations to the employee's left hand which resulted in amputation of the hand.","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","completed","AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH","gpt-5.6-sol-ai-assisted-v0.4.0","gpt-5.6-sol","pass1-batch-03","2026-09-10T14:04:11Z"
"EXP-V0.4-0503","OSHA-SIR-2019010923","68162f0d1034d54db5246795e4db83c844fa05487b43c7695f14666a0b300a1b","PASS1","SIF_POTENTIAL","An employee was climbing up a ladder to replace a metal roof. As he was getting ready to connect to a life line, he slipped and fell approximately 20 feet onto metal roof panels. The employee sustained a broken arm, pelvic fracture and facial bruises.","The described mechanism and personnel exposure support a credible fatal or life-altering serious-injury consequence.","SUPPORTED","An employee was climbing up a ladder to replace a metal roof. As he was getting ready to connect to a life line, he slipped and fell approximately 20 feet onto metal roof panels. The employee sustained a broken arm, pelvic fracture and facial bruises.","SUPPORTED","An employee was climbing up a ladder to replace a metal roof. As he was getting ready to connect to a life line, he slipped and fell approximately 20 feet onto metal roof panels. The employee sustained a broken arm, pelvic fracture and facial bruises.","SUPPORTED","An employee was climbing up a ladder to replace a metal roof. As he was getting ready to connect to a life line, he slipped and fell approximately 20 feet onto metal roof panels. The employee sustained a broken arm, pelvic fracture and facial bruises.","SUPPORTED","An employee was climbing up a ladder to replace a metal roof. As he was getting ready to connect to a life line, he slipped and fell approximately 20 feet onto metal roof panels. The employee sustained a broken arm, pelvic fracture and facial bruises.","","POSITIVE","An employee was climbing up a ladder to replace a metal roof. As he was getting ready to connect to a life line, he slipped and fell approximately 20 feet onto metal roof panels. The employee sustained a broken arm, pelvic fracture and facial bruises.","ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","POSITIVE","An employee was climbing up a ladder to replace a metal roof. As he was getting ready to connect to a life line, he slipped and fell approximately 20 feet onto metal roof panels. The employee sustained a broken arm, pelvic fracture and facial bruises.","ESTABLISHED","","completed","AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH","gpt-5.6-sol-ai-assisted-v0.4.0","gpt-5.6-sol","pass1-batch-03","2026-09-10T14:04:11Z"
"EXP-V0.4-0504","OSHA-SIR-2020066016","6d8b233c3d179811580a7367573bb238b45fcb5ed9347cf3b08069f8d24c18d1","PASS1","SIF_POTENTIAL","Two employees were standing next to a wall when a strong breeze caused the wall to crack. It fell onto one of the workers, covering his body in blocks. He suffered broken teeth and bones.","The described mechanism and personnel exposure support a credible fatal or life-altering serious-injury consequence.","SUPPORTED","Two employees were standing next to a wall when a strong breeze caused the wall to crack. It fell onto one of the workers, covering his body in blocks. He suffered broken teeth and bones.","SUPPORTED","Two employees were standing next to a wall when a strong breeze caused the wall to crack. It fell onto one of the workers, covering his body in blocks. He suffered broken teeth and bones.","SUPPORTED","Two employees were standing next to a wall when a strong breeze caused the wall to crack. It fell onto one of the workers, covering his body in blocks. He suffered broken teeth and bones.","SUPPORTED","Two employees were standing next to a wall when a strong breeze caused the wall to crack. It fell onto one of the workers, covering his body in blocks. He suffered broken teeth and bones.","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","POSITIVE","Two employees were standing next to a wall when a strong breeze caused the wall to crack. It fell onto one of the workers, covering his body in blocks. He suffered broken teeth and bones.","ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","completed","AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH","gpt-5.6-sol-ai-assisted-v0.4.0","gpt-5.6-sol","pass1-batch-03","2026-09-10T14:04:11Z"
"EXP-V0.4-0505","OSHA-SIR-2021087125","4cd4f64d8cbc191da6a8046e9a8a13231b5c38af147952ee245fcac831243e15","PASS1","SIF_POTENTIAL","Employees were mountain biking at a team event. An employee fell on their head, sustaining a fractured C6 vertebra, and a misaligned C7 vertebra, and a separated knee ligament.","The described mechanism and personnel exposure support a credible fatal or life-altering serious-injury consequence.","SUPPORTED","Employees were mountain biking at a team event. An employee fell on their head, sustaining a fractured C6 vertebra, and a misaligned C7 vertebra, and a separated knee ligament.","SUPPORTED","Employees were mountain biking at a team event. An employee fell on their head, sustaining a fractured C6 vertebra, and a misaligned C7 vertebra, and a separated knee ligament.","SUPPORTED","Employees were mountain biking at a team event. An employee fell on their head, sustaining a fractured C6 vertebra, and a misaligned C7 vertebra, and a separated knee ligament.","SUPPORTED","Employees were mountain biking at a team event. An employee fell on their head, sustaining a fractured C6 vertebra, and a misaligned C7 vertebra, and a separated knee ligament.","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","completed","AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH","gpt-5.6-sol-ai-assisted-v0.4.0","gpt-5.6-sol","pass1-batch-03","2026-09-10T14:04:11Z"
"EXP-V0.4-0506","OSHA-SIR-2024087372","ffb286d2eeaefc624586dd8f0bbd7cd464c209e708b359c46d540bf727389ad6","PASS1","SIF_POTENTIAL","An employee was driving steel H-beams for structural support for the dock. They rigged up a beam and moved it over 5 feet, setting it down on a sheet pile and dunnage. When unhooked the rigging, the beam rolled onto the employee's left leg, fracturing it.","The described mechanism and personnel exposure support a credible fatal or life-altering serious-injury consequence.","SUPPORTED","An employee was driving steel H-beams for structural support for the dock. They rigged up a beam and moved it over 5 feet, setting it down on a sheet pile and dunnage. When unhooked the rigging, the beam rolled onto the employee's left leg, fracturing it.","SUPPORTED","An employee was driving steel H-beams for structural support for the dock. They rigged up a beam and moved it over 5 feet, setting it down on a sheet pile and dunnage. When unhooked the rigging, the beam rolled onto the employee's left leg, fracturing it.","SUPPORTED","An employee was driving steel H-beams for structural support for the dock. They rigged up a beam and moved it over 5 feet, setting it down on a sheet pile and dunnage. When unhooked the rigging, the beam rolled onto the employee's left leg, fracturing it.","SUPPORTED","An employee was driving steel H-beams for structural support for the dock. They rigged up a beam and moved it over 5 feet, setting it down on a sheet pile and dunnage. When unhooked the rigging, the beam rolled onto the employee's left leg, fracturing it.","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","POSITIVE","An employee was driving steel H-beams for structural support for the dock. They rigged up a beam and moved it over 5 feet, setting it down on a sheet pile and dunnage. When unhooked the rigging, the beam rolled onto the employee's left leg, fracturing it.","ESTABLISHED","","POSITIVE","An employee was driving steel H-beams for structural support for the dock. They rigged up a beam and moved it over 5 feet, setting it down on a sheet pile and dunnage. When unhooked the rigging, the beam rolled onto the employee's left leg, fracturing it.","ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","completed","AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH","gpt-5.6-sol-ai-assisted-v0.4.0","gpt-5.6-sol","pass1-batch-03","2026-09-10T14:04:11Z"
"EXP-V0.4-0507","OSHA-SIR-2023021580","4233113d5430b4c64581bc475e34057b93f8180787a30bf99fba07d740dfa0e0","PASS1","NON_SIF_POTENTIAL","An employee was standing from a seated position when they tripped and fell, sustaining a left ankle fracture.","The described mechanism supports a localized or low-energy injury, not credible fatal or life-altering serious-injury potential.","SUPPORTED","An employee was standing from a seated position when they tripped and fell, sustaining a left ankle fracture.","SUPPORTED","An employee was standing from a seated position when they tripped and fell, sustaining a left ankle fracture.","UNKNOWN","","NOT_SUPPORTED","An employee was standing from a seated position when they tripped and fell, sustaining a left ankle fracture.","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","completed","AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH","gpt-5.6-sol-ai-assisted-v0.4.0","gpt-5.6-sol","pass1-batch-03","2026-09-10T14:04:11Z"
"EXP-V0.4-0508","OSHA-SIR-20181111867","5b841447afbb660ad4a9c449068d7e4f989bad33f34507643d8e3cfae5bc98ff","PASS1","SIF_POTENTIAL","An employee was moving from one platform to another. The platform gave way and the employee fell 10 feet to the ground, suffering a broken left foot.","The described mechanism and personnel exposure support a credible fatal or life-altering serious-injury consequence.","SUPPORTED","An employee was moving from one platform to another. The platform gave way and the employee fell 10 feet to the ground, suffering a broken left foot.","SUPPORTED","An employee was moving from one platform to another. The platform gave way and the employee fell 10 feet to the ground, suffering a broken left foot.","SUPPORTED","An employee was moving from one platform to another. The platform gave way and the employee fell 10 feet to the ground, suffering a broken left foot.","SUPPORTED","An employee was moving from one platform to another. The platform gave way and the employee fell 10 feet to the ground, suffering a broken left foot.","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","POSITIVE","An employee was moving from one platform to another. The platform gave way and the employee fell 10 feet to the ground, suffering a broken left foot.","NOT_ESTABLISHED","","completed","AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH","gpt-5.6-sol-ai-assisted-v0.4.0","gpt-5.6-sol","pass1-batch-03","2026-09-10T14:04:11Z"
"EXP-V0.4-0509","OSHA-SIR-2019099476","f2e3669b9e5e708264d2fbba4369bf5f466bbdafb0fc55e57cd625c5ed83f672","PASS1","SIF_POTENTIAL","An employee was descending from a crane boom due to incoming rain when lightning struck the crane boom. The employee sustained burns to the feet.","The described mechanism and personnel exposure support a credible fatal or life-altering serious-injury consequence.","SUPPORTED","An employee was descending from a crane boom due to incoming rain when lightning struck the crane boom. The employee sustained burns to the feet.","SUPPORTED","An employee was descending from a crane boom due to incoming rain when lightning struck the crane boom. The employee sustained burns to the feet.","SUPPORTED","An employee was descending from a crane boom due to incoming rain when lightning struck the crane boom. The employee sustained burns to the feet.","SUPPORTED","An employee was descending from a crane boom due to incoming rain when lightning struck the crane boom. The employee sustained burns to the feet.","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","completed","AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH","gpt-5.6-sol-ai-assisted-v0.4.0","gpt-5.6-sol","pass1-batch-03","2026-09-10T14:04:11Z"
"EXP-V0.4-0510","OSHA-SIR-2019010173","d796b2edc558215d107b7feea99fca9478f39673e140987869b4918168eb6656","PASS1","SIF_POTENTIAL","An employee was working on an elevated surface when he walked across a board to grab a piece of equipment. Upon returning to his work area, the board he was walking on gave way and he fell 10 feet to the concrete below, breaking his elbow. A harness was not worn at the time of the incident.","The described mechanism and personnel exposure support a credible fatal or life-altering serious-injury consequence.","SUPPORTED","An employee was working on an elevated surface when he walked across a board to grab a piece of equipment. Upon returning to his work area, the board he was walking on gave way and he fell 10 feet to the concrete below, breaking his elbow. A harness was not worn at the time of the incident.","SUPPORTED","An employee was working on an elevated surface when he walked across a board to grab a piece of equipment. Upon returning to his work area, the board he was walking on gave way and he fell 10 feet to the concrete below, breaking his elbow. A harness was not worn at the time of the incident.","SUPPORTED","An employee was working on an elevated surface when he walked across a board to grab a piece of equipment. Upon returning to his work area, the board he was walking on gave way and he fell 10 feet to the concrete below, breaking his elbow. A harness was not worn at the time of the incident.","SUPPORTED","An employee was working on an elevated surface when he walked across a board to grab a piece of equipment. Upon returning to his work area, the board he was walking on gave way and he fell 10 feet to the concrete below, breaking his elbow. A harness was not worn at the time of the incident.","","POSITIVE","An employee was working on an elevated surface when he walked across a board to grab a piece of equipment. Upon returning to his work area, the board he was walking on gave way and he fell 10 feet to the concrete below, breaking his elbow. A harness was not worn at the time of the incident.","ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","POSITIVE","An employee was working on an elevated surface when he walked across a board to grab a piece of equipment. Upon returning to his work area, the board he was walking on gave way and he fell 10 feet to the concrete below, breaking his elbow. A harness was not worn at the time of the incident.","ESTABLISHED","","completed","AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH","gpt-5.6-sol-ai-assisted-v0.4.0","gpt-5.6-sol","pass1-batch-03","2026-09-10T14:04:11Z"
