report_id,scenario_family,primary_lsr_design,secondary_scenario_design,cohort_id,control_state_design,site_trend_design,word_count,normalized_narrative,observed_risk,observed_sif_decision,observed_assigned_lsr_ids,observed_unavailable_rule_ids,meaningful_hazard_extraction
DEMO500-0001,Driving,LSR03,none,driving-cohort-1,high,declining,89,"at echo valley works in the internal access road, the rigger prepared driving during the task execution stage. the equipment was light vehicle and reversing camera. the driver was distracted and the vehicle veered toward a pedestrian. a vehicle crash was narrowly avoided. a pedestrian was within the vehicle line of travel. the expected seatbelt, spotter, speed limit, and journey plan was not verified. no serious injury occurred, but severe harm was credible. work stopped, the control was restored, and the event was recorded. demo sequence 0001 was logged.",High,SIF_POTENTIAL,['LSR03'],"['LSR01', 'LSR02', 'LSR08']",True
DEMO500-0002,Driving,LSR03,none,driving-cohort-2,high,rising,89,"at blue mesa yard in the internal access road, the operator prepared driving during verification. the equipment was light vehicle and reversing camera. the vehicle was speeding and the driver lost control. the driver was distracted and the vehicle veered toward a pedestrian. a pedestrian was within the vehicle line of travel. the expected seatbelt, spotter, speed limit, and journey plan was not verified. no serious injury occurred, but severe harm was credible. work stopped, the control was restored, and the event was recorded. demo sequence 0002 was logged.",High,SIF_POTENTIAL,['LSR03'],"['LSR01', 'LSR02', 'LSR08']",True
DEMO500-0003,Driving,LSR03,none,driving-cohort-2,high,stable,104,"at delta point facility in the internal access road, the driver prepared pressure testing during the pre-job setup stage. the equipment was light vehicle and reversing camera. the driver was distracted and the vehicle veered toward a pedestrian. a vehicle crash was narrowly avoided. a pedestrian was within the vehicle line of travel. the expected seatbelt, spotter, speed limit, and journey plan was not verified. no serious injury occurred, but severe harm was credible. work stopped, the control was restored, and the event was recorded. demo sequence 0003 was logged. the vehicle was speeding and the driver lost control. demo sequence 0003 was logged.",High,SIF_POTENTIAL,['LSR03'],"['LSR01', 'LSR02', 'LSR08']",True
DEMO500-0004,Driving,LSR03,Working at height,driving-cohort-2,high,rising,109,"at aurora basin in the internal access road, the rigger prepared drilling during the task execution stage. the equipment was light vehicle and reversing camera. the driver was distracted and the vehicle veered toward a pedestrian. a vehicle crash was narrowly avoided. a pedestrian was within the vehicle line of travel. the expected seatbelt, spotter, speed limit, and journey plan was not verified. a secondary check also covered this area, and a parked trolley was moved clear of the marked route before work stopped. no serious injury occurred, but severe harm was credible. work stopped, the control was restored, and the event was recorded. demo sequence 0004 was logged.",High,SIF_POTENTIAL,['LSR03'],"['LSR01', 'LSR02', 'LSR08']",True
DEMO500-0005,Driving,LSR03,none,driving-cohort-1,high,stable,89,"at cedar ridge station in the internal access road, the driver prepared driving during setup. the equipment was light vehicle and reversing camera. the vehicle was speeding and the driver lost control. the driver was distracted and the vehicle veered toward a pedestrian. a pedestrian was within the vehicle line of travel. the expected seatbelt, spotter, speed limit, and journey plan was not verified. no serious injury occurred, but severe harm was credible. work stopped, the control was restored, and the event was recorded. demo sequence 0005 was logged.",High,SIF_POTENTIAL,['LSR03'],"['LSR01', 'LSR02', 'LSR08']",True
DEMO500-0006,Driving,LSR03,none,driving-cohort-1,high,declining,88,"at frostline depot in the internal access road, the technician prepared driving during verification. the equipment was light vehicle and reversing camera. the vehicle was speeding and the driver lost control. the driver was distracted and the vehicle veered toward a pedestrian. a pedestrian was within the vehicle line of travel. the expected seatbelt, spotter, speed limit, and journey plan was not verified. no serious injury occurred, but severe harm was credible. work stopped, the control was restored, and the event was recorded. demo sequence 0006 was logged.",High,SIF_POTENTIAL,['LSR03'],"['LSR01', 'LSR02', 'LSR08']",True
DEMO500-0007,Driving,LSR03,none,driving-cohort-1,high,stable,89,"at cedar ridge station in the internal access road, the inspector prepared driving during positioning. the equipment was light vehicle and reversing camera. the vehicle was speeding and the driver lost control. the driver was distracted and the vehicle veered toward a pedestrian. a pedestrian was within the vehicle line of travel. the expected seatbelt, spotter, speed limit, and journey plan was not verified. no serious injury occurred, but severe harm was credible. work stopped, the control was restored, and the event was recorded. demo sequence 0007 was logged.",High,SIF_POTENTIAL,['LSR03'],"['LSR01', 'LSR02', 'LSR08']",True
DEMO500-0008,Driving,LSR03,Confined space,driving-cohort-1,high,stable,111,"at delta point facility in the internal access road, the inspector prepared hot work during the task execution stage. the equipment was light vehicle and reversing camera. the driver was distracted and the vehicle veered toward a pedestrian. a vehicle crash was narrowly avoided. a pedestrian was within the vehicle line of travel. the expected seatbelt, spotter, speed limit, and journey plan was not verified. a secondary check also covered this area, and a parked trolley was moved clear of the marked route before work stopped. no serious injury occurred, but severe harm was credible. work stopped, the control was restored, and the event was recorded. demo sequence 0008 was logged.",High,SIF_POTENTIAL,['LSR03'],"['LSR01', 'LSR02', 'LSR08']",True
DEMO500-0009,Driving,LSR03,none,driving-cohort-1,high,stable,89,"at delta point facility in the internal access road, the inspector prepared driving during positioning. the equipment was light vehicle and reversing camera. the vehicle was speeding and the driver lost control. the driver was distracted and the vehicle veered toward a pedestrian. a pedestrian was within the vehicle line of travel. the expected seatbelt, spotter, speed limit, and journey plan was not verified. no serious injury occurred, but severe harm was credible. work stopped, the control was restored, and the event was recorded. demo sequence 0009 was logged.",High,SIF_POTENTIAL,['LSR03'],"['LSR01', 'LSR02', 'LSR08']",True
DEMO500-0010,Driving,LSR03,none,driving-cohort-2,high,rising,88,"at aurora basin in the internal access road, the rigger prepared driving during the task execution stage. the equipment was light vehicle and reversing camera. the driver was distracted and the vehicle veered toward a pedestrian. a vehicle crash was narrowly avoided. a pedestrian was within the vehicle line of travel. the expected seatbelt, spotter, speed limit, and journey plan was not verified. no serious injury occurred, but severe harm was credible. work stopped, the control was restored, and the event was recorded. demo sequence 0010 was logged.",High,SIF_POTENTIAL,['LSR03'],"['LSR01', 'LSR02', 'LSR08']",True
