expansion_id,candidate_id,incident_id,source,source_record_id,source_year,report_type_if_known,activity_if_known,location_if_known,narrative,source_native_outcome,source_native_classification,duplicate_group,normalized_narrative_sha256,retrieval_strata,primary_stratum,length_band,partition,selection_basis,annotation_pass,sif_label,sif_evidence_excerpt,sif_rationale,hazard_energy_assessment,hazard_energy_evidence,personnel_exposure_assessment,personnel_exposure_evidence,barrier_failure_assessment,barrier_failure_evidence,credible_consequence_assessment,credible_consequence_evidence,uncertainty_reason,LSR01_target,LSR01_evidence,LSR01_violation_status,LSR01_unknown_reason,LSR02_target,LSR02_evidence,LSR02_violation_status,LSR02_unknown_reason,LSR03_target,LSR03_evidence,LSR03_violation_status,LSR03_unknown_reason,LSR04_target,LSR04_evidence,LSR04_violation_status,LSR04_unknown_reason,LSR05_target,LSR05_evidence,LSR05_violation_status,LSR05_unknown_reason,LSR06_target,LSR06_evidence,LSR06_violation_status,LSR06_unknown_reason,LSR07_target,LSR07_evidence,LSR07_violation_status,LSR07_unknown_reason,LSR08_target,LSR08_evidence,LSR08_violation_status,LSR08_unknown_reason,LSR09_target,LSR09_evidence,LSR09_violation_status,LSR09_unknown_reason,annotation_status,label_provenance,annotation_version,annotator_model,annotator_id,annotated_at_utc,first_pass_annotator_id,second_pass_annotator_id,adjudicator_id,final_review_status,final_label_provenance
EXP-V0.4-0151,OSHA-SIR-2020066043,OSHA-SIR-2020066043,OSHA_SIR,2020066043,2020,Incident,"Indirect exposure to electricity, greater than 220 volts","NELSONVILLE, OHIO","The injured employee was assisting in the backfilling of a trench after sewer line and water line repair. A co-worker was directing a waiting vehicle while the injured employee was directing the operator of an excavator that was moving out of the road. The excavator made contact with an overhead electrical line and the injured employee touched the handle on the excavator resulting in a 7400-volt electric shock. The employee was hospitalized for burns to the hand, back and feet.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-f85a68d25844,4a94f4a52554a8e5695afea02e02c64c4549fc95d0cf3753b2d2b77fef4f6dc8,LSR02;LSR03;HAZARD_TERM_POSSIBLE_NON_SIF,LSR02,long,development_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions,PASS1,SIF_POTENTIAL,"The injured employee was assisting in the backfilling of a trench after sewer line and water line repair. A co-worker was directing a waiting vehicle while the injured employee was directing the operator of an excavator that was moving out of the road. The excavator made contact with an overhead electrical line and the injured employee touched the handle on the excavator resulting in a 7400-volt electric shock. The employee was hospitalized for burns to the hand, back and feet.",The described mechanism exposed personnel to uncontrolled energy with credible fatal or permanently disabling consequences.,SUPPORTED,"The injured employee was assisting in the backfilling of a trench after sewer line and water line repair. A co-worker was directing a waiting vehicle while the injured employee was directing the operator of an excavator that was moving out of the road. The excavator made contact with an overhead electrical line and the injured employee touched the handle on the excavator resulting in a 7400-volt electric shock. The employee was hospitalized for burns to the hand, back and feet.",SUPPORTED,"The injured employee was assisting in the backfilling of a trench after sewer line and water line repair. A co-worker was directing a waiting vehicle while the injured employee was directing the operator of an excavator that was moving out of the road. The excavator made contact with an overhead electrical line and the injured employee touched the handle on the excavator resulting in a 7400-volt electric shock. The employee was hospitalized for burns to the hand, back and feet.",SUPPORTED,"The injured employee was assisting in the backfilling of a trench after sewer line and water line repair. A co-worker was directing a waiting vehicle while the injured employee was directing the operator of an excavator that was moving out of the road. The excavator made contact with an overhead electrical line and the injured employee touched the handle on the excavator resulting in a 7400-volt electric shock. The employee was hospitalized for burns to the hand, back and feet.",SUPPORTED,"The injured employee was assisting in the backfilling of a trench after sewer line and water line repair. A co-worker was directing a waiting vehicle while the injured employee was directing the operator of an excavator that was moving out of the road. The excavator made contact with an overhead electrical line and the injured employee touched the handle on the excavator resulting in a 7400-volt electric shock. The employee was hospitalized for burns to the hand, back and feet.",,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,"The injured employee was assisting in the backfilling of a trench after sewer line and water line repair. A co-worker was directing a waiting vehicle while the injured employee was directing the operator of an excavator that was moving out of the road. The excavator made contact with an overhead electrical line and the injured employee touched the handle on the excavator resulting in a 7400-volt electric shock. The employee was hospitalized for burns to the hand, back and feet.",UNKNOWN,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,UNKNOWN,,UNKNOWN,"Work near an overhead electrical line is described, but permit and authorisation requirements are not stated.",NEGATIVE,,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,pass1-batch-01,2026-09-10T13:59:14Z,pass1-batch-01,,,FIRST_PASS_NOT_SELECTED_FOR_SECOND_PASS,AI_ASSISTED_GPT_5_6_SOL_CONSENSUS_OR_ADJUDICATION_NOT_HSE_GROUND_TRUTH
EXP-V0.4-0152,OSHA-SIR-20201211289,OSHA-SIR-20201211289,OSHA_SIR,20201211289,2020,Incident,"Pedestrian struck by vehicle in work zone, unspecified","AUSTIN, TEXAS",Four employees were repairing/installing guardrails when they were struck by car. All four employees were hospitalized. One employee suffered a leg amputation. A second employee sustained fractures and internal injuries.,Hospitalized=4.00; Amputation=1.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-cd9db14c6917,6e34f21053a8874968d9b5124e93e3490b9e153c8f4a70956ab09285f0f3c12e,LSR03;LSR06,LSR03,medium,development_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions,PASS1,SIF_POTENTIAL,Four employees were repairing/installing guardrails when they were struck by car. All four employees were hospitalized. One employee suffered a leg amputation. A second employee sustained fractures and internal injuries.,The described mechanism exposed personnel to uncontrolled energy with credible fatal or permanently disabling consequences.,SUPPORTED,Four employees were repairing/installing guardrails when they were struck by car. All four employees were hospitalized. One employee suffered a leg amputation. A second employee sustained fractures and internal injuries.,SUPPORTED,Four employees were repairing/installing guardrails when they were struck by car. All four employees were hospitalized. One employee suffered a leg amputation. A second employee sustained fractures and internal injuries.,SUPPORTED,Four employees were repairing/installing guardrails when they were struck by car. All four employees were hospitalized. One employee suffered a leg amputation. A second employee sustained fractures and internal injuries.,SUPPORTED,Four employees were repairing/installing guardrails when they were struck by car. All four employees were hospitalized. One employee suffered a leg amputation. A second employee sustained fractures and internal injuries.,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,Four employees were repairing/installing guardrails when they were struck by car. All four employees were hospitalized. One employee suffered a leg amputation. A second employee sustained fractures and internal injuries.,UNKNOWN,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,Four employees were repairing/installing guardrails when they were struck by car. All four employees were hospitalized. One employee suffered a leg amputation. A second employee sustained fractures and internal injuries.,ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,pass1-batch-01,2026-09-10T13:59:14Z,pass1-batch-01,,,FIRST_PASS_NOT_SELECTED_FOR_SECOND_PASS,AI_ASSISTED_GPT_5_6_SOL_CONSENSUS_OR_ADJUDICATION_NOT_HSE_GROUND_TRUTH
EXP-V0.4-0153,OSHA-SIR-2018054532,OSHA-SIR-2018054532,OSHA_SIR,2018054532,2018,Incident,Overexertion in lifting-single episode,"GLENVIEW, ILLINOIS","On May 10, 2018, an employee felt a pop in the abdomen while lifting a 50-pound coil. The employee was hospitalized with pain and nausea.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-80704bdf7687,4cb11476c04207fdbebc63ee991e441f5ceaa5ca5cae6d173842ed2f14fb3a00,GENERAL,GENERAL,short,development_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions,PASS1,NON_SIF_POTENTIAL,"On May 10, 2018, an employee felt a pop in the abdomen while lifting a 50-pound coil. The employee was hospitalized with pain and nausea.",The described mechanism is bounded and does not support a credible fatal or life-altering consequence under the stated circumstances.,SUPPORTED,"On May 10, 2018, an employee felt a pop in the abdomen while lifting a 50-pound coil. The employee was hospitalized with pain and nausea.",SUPPORTED,"On May 10, 2018, an employee felt a pop in the abdomen while lifting a 50-pound coil. The employee was hospitalized with pain and nausea.",SUPPORTED,"On May 10, 2018, an employee felt a pop in the abdomen while lifting a 50-pound coil. The employee was hospitalized with pain and nausea.",NOT_SUPPORTED,"On May 10, 2018, an employee felt a pop in the abdomen while lifting a 50-pound coil. The employee was hospitalized with pain and nausea.",,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,pass1-batch-01,2026-09-10T13:59:14Z,pass1-batch-01,,,FIRST_PASS_NOT_SELECTED_FOR_SECOND_PASS,AI_ASSISTED_GPT_5_6_SOL_CONSENSUS_OR_ADJUDICATION_NOT_HSE_GROUND_TRUTH
EXP-V0.4-0154,OSHA-SIR-2023054333,OSHA-SIR-2023054333,OSHA_SIR,2023054333,2023,Incident,"Fall on same level due to tripping, unspecified","SKOKIE, ILLINOIS","An employee was performing daily rounds in the mechanical room when he tripped and fell forward, resulting in a left wrist fracture that required surgery.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-5a049f55db7e,81f7f1cf9ca964b704f1fd685e4dbc725a9ab4dc610cf5c7feaa8337b0da51f2,GENERAL,GENERAL,short,development_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions,PASS1,NON_SIF_POTENTIAL,"An employee was performing daily rounds in the mechanical room when he tripped and fell forward, resulting in a left wrist fracture that required surgery.",The described mechanism is bounded and does not support a credible fatal or life-altering consequence under the stated circumstances.,SUPPORTED,"An employee was performing daily rounds in the mechanical room when he tripped and fell forward, resulting in a left wrist fracture that required surgery.",SUPPORTED,"An employee was performing daily rounds in the mechanical room when he tripped and fell forward, resulting in a left wrist fracture that required surgery.",SUPPORTED,"An employee was performing daily rounds in the mechanical room when he tripped and fell forward, resulting in a left wrist fracture that required surgery.",NOT_SUPPORTED,"An employee was performing daily rounds in the mechanical room when he tripped and fell forward, resulting in a left wrist fracture that required surgery.",,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,pass1-batch-01,2026-09-10T13:59:14Z,pass1-batch-01,,,FIRST_PASS_NOT_SELECTED_FOR_SECOND_PASS,AI_ASSISTED_GPT_5_6_SOL_CONSENSUS_OR_ADJUDICATION_NOT_HSE_GROUND_TRUTH
EXP-V0.4-0155,OSHA-SIR-20171010433,OSHA-SIR-20171010433,OSHA_SIR,20171010433,2017,Incident,"Other animal bites, nonvenomous","SAN ANTONIO, TEXAS","An employee was feeding a military dog. The employee approached the kennel, placed the pan on the floor, and unlatched the gate to allow the military dog to come out to eat. Before the employee could get the gate closed, the military dog bypassed the gate and bit the employee on the left side of the abdomen, right wrist, palm, and pinky finger, causing pressure bites, punctures, and multiple lacerations.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-248fe4bc19c9,f3d23e3cc65ddc70bd0d47759da463485d268b1a53e7689be87d4b3209780c8b,HAZARD_TERM_POSSIBLE_NON_SIF,HAZARD_TERM_POSSIBLE_NON_SIF,long,development_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions,PASS1,NON_SIF_POTENTIAL,"An employee was feeding a military dog. The employee approached the kennel, placed the pan on the floor, and unlatched the gate to allow the military dog to come out to eat. Before the employee could get the gate closed, the military dog bypassed the gate and bit the employee on the left side of the abdomen, right wrist, palm, and pinky finger, causing pressure bites, punctures, and multiple lacerations.",The described mechanism is bounded and does not support a credible fatal or life-altering consequence under the stated circumstances.,SUPPORTED,"An employee was feeding a military dog. The employee approached the kennel, placed the pan on the floor, and unlatched the gate to allow the military dog to come out to eat. Before the employee could get the gate closed, the military dog bypassed the gate and bit the employee on the left side of the abdomen, right wrist, palm, and pinky finger, causing pressure bites, punctures, and multiple lacerations.",SUPPORTED,"An employee was feeding a military dog. The employee approached the kennel, placed the pan on the floor, and unlatched the gate to allow the military dog to come out to eat. Before the employee could get the gate closed, the military dog bypassed the gate and bit the employee on the left side of the abdomen, right wrist, palm, and pinky finger, causing pressure bites, punctures, and multiple lacerations.",SUPPORTED,"An employee was feeding a military dog. The employee approached the kennel, placed the pan on the floor, and unlatched the gate to allow the military dog to come out to eat. Before the employee could get the gate closed, the military dog bypassed the gate and bit the employee on the left side of the abdomen, right wrist, palm, and pinky finger, causing pressure bites, punctures, and multiple lacerations.",NOT_SUPPORTED,"An employee was feeding a military dog. The employee approached the kennel, placed the pan on the floor, and unlatched the gate to allow the military dog to come out to eat. Before the employee could get the gate closed, the military dog bypassed the gate and bit the employee on the left side of the abdomen, right wrist, palm, and pinky finger, causing pressure bites, punctures, and multiple lacerations.",,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,pass1-batch-01,2026-09-10T13:59:14Z,pass1-batch-01,pass2-batch-01,,FIRST_SECOND_PASS_AGREEMENT,AI_ASSISTED_GPT_5_6_SOL_CONSENSUS_OR_ADJUDICATION_NOT_HSE_GROUND_TRUTH
EXP-V0.4-0156,OSHA-SIR-20181111720,OSHA-SIR-20181111720,OSHA_SIR,20181111720,2018,Incident,Other fall to lower level more than 30 feet,"MILLERSVILLE, PENNSYLVANIA","An employee was installing rubber roof material at the edge of a roof. He fell to the ground 39 feet below, suffering a broken pelvis.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-8d428f88146d,f59c18f27094fb050c45e74bb986c620a8331f32f937b4f48d7a78d8c47a2af4,LSR09,LSR09,short,development_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions,PASS1,SIF_POTENTIAL,"An employee was installing rubber roof material at the edge of a roof. He fell to the ground 39 feet below, suffering a broken pelvis.",The described mechanism exposed personnel to uncontrolled energy with credible fatal or permanently disabling consequences.,SUPPORTED,"An employee was installing rubber roof material at the edge of a roof. He fell to the ground 39 feet below, suffering a broken pelvis.",SUPPORTED,"An employee was installing rubber roof material at the edge of a roof. He fell to the ground 39 feet below, suffering a broken pelvis.",SUPPORTED,"An employee was installing rubber roof material at the edge of a roof. He fell to the ground 39 feet below, suffering a broken pelvis.",SUPPORTED,"An employee was installing rubber roof material at the edge of a roof. He fell to the ground 39 feet below, suffering a broken pelvis.",,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,"An employee was installing rubber roof material at the edge of a roof. He fell to the ground 39 feet below, suffering a broken pelvis.",UNKNOWN,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,pass1-batch-01,2026-09-10T13:59:14Z,pass1-batch-01,pass2-batch-01,,FIRST_SECOND_PASS_AGREEMENT,AI_ASSISTED_GPT_5_6_SOL_CONSENSUS_OR_ADJUDICATION_NOT_HSE_GROUND_TRUTH
EXP-V0.4-0157,OSHA-SIR-20211210566,OSHA-SIR-20211210566,OSHA_SIR,20211210566,2021,Incident,Pedestrian struck by vehicle backing up in nonroadway area,"EL PASO, TEXAS","An employee was checking for an oil leak under a truck. The truck began to back up into a bay, and its wheel partially ran over the employee before it stopped. The employee suffered a broken pelvis.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-0f13fe2381a5,575cd13024ca9bb55d0cdf96c8942e753ff10bbe1b57b434a1d2c714fe125990,LSR03,LSR03,medium,development_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions,PASS1,SIF_POTENTIAL,"An employee was checking for an oil leak under a truck. The truck began to back up into a bay, and its wheel partially ran over the employee before it stopped. The employee suffered a broken pelvis.",The described mechanism exposed personnel to uncontrolled energy with credible fatal or permanently disabling consequences.,SUPPORTED,"An employee was checking for an oil leak under a truck. The truck began to back up into a bay, and its wheel partially ran over the employee before it stopped. The employee suffered a broken pelvis.",SUPPORTED,"An employee was checking for an oil leak under a truck. The truck began to back up into a bay, and its wheel partially ran over the employee before it stopped. The employee suffered a broken pelvis.",SUPPORTED,"An employee was checking for an oil leak under a truck. The truck began to back up into a bay, and its wheel partially ran over the employee before it stopped. The employee suffered a broken pelvis.",SUPPORTED,"An employee was checking for an oil leak under a truck. The truck began to back up into a bay, and its wheel partially ran over the employee before it stopped. The employee suffered a broken pelvis.",,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,"An employee was checking for an oil leak under a truck. The truck began to back up into a bay, and its wheel partially ran over the employee before it stopped. The employee suffered a broken pelvis.",UNKNOWN,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,"An employee was checking for an oil leak under a truck. The truck began to back up into a bay, and its wheel partially ran over the employee before it stopped. The employee suffered a broken pelvis.",ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,pass1-batch-01,2026-09-10T13:59:14Z,pass1-batch-01,,,FIRST_PASS_NOT_SELECTED_FOR_SECOND_PASS,AI_ASSISTED_GPT_5_6_SOL_CONSENSUS_OR_ADJUDICATION_NOT_HSE_GROUND_TRUTH
EXP-V0.4-0158,OSHA-SIR-2018088832,OSHA-SIR-2018088832,OSHA_SIR,2018088832,2018,Incident,Fall on same level due to tripping over self,"NORTHFIELD, OHIO","While walking in a foyer, an employee tripped and fell to the floor, breaking a hip.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-e94d892dae74,feb48eca9c5b36071324aec9f9d563a12208941a95f3d538d2a6d94460b089ee,GENERAL,GENERAL,short,development_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions,PASS1,NON_SIF_POTENTIAL,"While walking in a foyer, an employee tripped and fell to the floor, breaking a hip.",The described mechanism is bounded and does not support a credible fatal or life-altering consequence under the stated circumstances.,SUPPORTED,"While walking in a foyer, an employee tripped and fell to the floor, breaking a hip.",SUPPORTED,"While walking in a foyer, an employee tripped and fell to the floor, breaking a hip.",SUPPORTED,"While walking in a foyer, an employee tripped and fell to the floor, breaking a hip.",NOT_SUPPORTED,"While walking in a foyer, an employee tripped and fell to the floor, breaking a hip.",,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,pass1-batch-01,2026-09-10T13:59:14Z,pass1-batch-01,,,FIRST_PASS_NOT_SELECTED_FOR_SECOND_PASS,AI_ASSISTED_GPT_5_6_SOL_CONSENSUS_OR_ADJUDICATION_NOT_HSE_GROUND_TRUTH
EXP-V0.4-0159,OSHA-SIR-2025088521,OSHA-SIR-2025088521,OSHA_SIR,2025088521,2025,Incident, Struck by running powered equipment  n.e.c.,"SEMINOLE, FLORIDA","An employee was beveling the end of an 8-inch PVC pipe when his left thumb contacted the blade of the battery-powered beveling tool, resulting in a laceration. The employee was hospitalized and required surgery.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-ed5d42b8c4dd,7790e60a2693d71b3c3f85a76877125609b93dfe17120b77f66db77d63c7748d,GENERAL,GENERAL,medium,development_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions,PASS1,NON_SIF_POTENTIAL,"An employee was beveling the end of an 8-inch PVC pipe when his left thumb contacted the blade of the battery-powered beveling tool, resulting in a laceration. The employee was hospitalized and required surgery.",The described mechanism is bounded and does not support a credible fatal or life-altering consequence under the stated circumstances.,SUPPORTED,"An employee was beveling the end of an 8-inch PVC pipe when his left thumb contacted the blade of the battery-powered beveling tool, resulting in a laceration. The employee was hospitalized and required surgery.",SUPPORTED,"An employee was beveling the end of an 8-inch PVC pipe when his left thumb contacted the blade of the battery-powered beveling tool, resulting in a laceration. The employee was hospitalized and required surgery.",SUPPORTED,"An employee was beveling the end of an 8-inch PVC pipe when his left thumb contacted the blade of the battery-powered beveling tool, resulting in a laceration. The employee was hospitalized and required surgery.",NOT_SUPPORTED,"An employee was beveling the end of an 8-inch PVC pipe when his left thumb contacted the blade of the battery-powered beveling tool, resulting in a laceration. The employee was hospitalized and required surgery.",,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,pass1-batch-01,2026-09-10T13:59:14Z,pass1-batch-01,,,FIRST_PASS_NOT_SELECTED_FOR_SECOND_PASS,AI_ASSISTED_GPT_5_6_SOL_CONSENSUS_OR_ADJUDICATION_NOT_HSE_GROUND_TRUTH
EXP-V0.4-0160,OSHA-SIR-2020032440,OSHA-SIR-2020032440,OSHA_SIR,2020032440,2020,Incident,"Struck by dislodged flying object, particle","PECOS, TEXAS","An employee was holding a hose during the filling of a storage tank. A valve blew apart and the hose backlashed, striking the employee on the left side of the face. The employee sustained a broken jaw and facial lacerations. The employee was hospitalized.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-40660ac938a8,a05d782a149cac196fdb9c228d34d9bc00dd2352f79580763011ed78733117a0,LSR02,LSR02,medium,development_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions,PASS1,SIF_POTENTIAL,"An employee was holding a hose during the filling of a storage tank. A valve blew apart and the hose backlashed, striking the employee on the left side of the face. The employee sustained a broken jaw and facial lacerations. The employee was hospitalized.",The described mechanism exposed personnel to uncontrolled energy with credible fatal or permanently disabling consequences.,SUPPORTED,"An employee was holding a hose during the filling of a storage tank. A valve blew apart and the hose backlashed, striking the employee on the left side of the face. The employee sustained a broken jaw and facial lacerations. The employee was hospitalized.",SUPPORTED,"An employee was holding a hose during the filling of a storage tank. A valve blew apart and the hose backlashed, striking the employee on the left side of the face. The employee sustained a broken jaw and facial lacerations. The employee was hospitalized.",SUPPORTED,"An employee was holding a hose during the filling of a storage tank. A valve blew apart and the hose backlashed, striking the employee on the left side of the face. The employee sustained a broken jaw and facial lacerations. The employee was hospitalized.",SUPPORTED,"An employee was holding a hose during the filling of a storage tank. A valve blew apart and the hose backlashed, striking the employee on the left side of the face. The employee sustained a broken jaw and facial lacerations. The employee was hospitalized.",,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,"An employee was holding a hose during the filling of a storage tank. A valve blew apart and the hose backlashed, striking the employee on the left side of the face. The employee sustained a broken jaw and facial lacerations. The employee was hospitalized.",ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,pass1-batch-01,2026-09-10T13:59:14Z,pass1-batch-01,,,FIRST_PASS_NOT_SELECTED_FOR_SECOND_PASS,AI_ASSISTED_GPT_5_6_SOL_CONSENSUS_OR_ADJUDICATION_NOT_HSE_GROUND_TRUTH
