candidate_id,teammate_revised_label,existing_ai_label,resolution
OSHA-SIR-2015010024,NON_SIF_POTENTIAL,SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-2015010271,NON_SIF_POTENTIAL,SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-2015010318,SIF_POTENTIAL,NON_SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-2015010363,UNCERTAIN,NON_SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-2015020050,UNCERTAIN,SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-2015020653,SIF_POTENTIAL,NON_SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-2015063562,NON_SIF_POTENTIAL,SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-2015129168,UNCERTAIN,NON_SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-2016042900,NON_SIF_POTENTIAL,SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-2016065729,SIF_POTENTIAL,NON_SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-2016076185,SIF_POTENTIAL,NON_SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-2016088097,SIF_POTENTIAL,NON_SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-2016109793,NON_SIF_POTENTIAL,SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-2017010049,NON_SIF_POTENTIAL,SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-2017010232,NON_SIF_POTENTIAL,SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-2017054463,SIF_POTENTIAL,NON_SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-2017088097,NON_SIF_POTENTIAL,SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-20171010313,NON_SIF_POTENTIAL,SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-20171211664,UNCERTAIN,SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-2018021922,SIF_POTENTIAL,NON_SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-20181010424,NON_SIF_POTENTIAL,SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-2019044133,NON_SIF_POTENTIAL,SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-20190910175,NON_SIF_POTENTIAL,SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-20191112157,SIF_POTENTIAL,NON_SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-2020032012,UNCERTAIN,SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-2021020886,UNCERTAIN,SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-2021021108,SIF_POTENTIAL,NON_SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-2022032643,SIF_POTENTIAL,NON_SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-20231211765,SIF_POTENTIAL,NON_SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-2024010850,SIF_POTENTIAL,NON_SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-2024021495,NON_SIF_POTENTIAL,SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-2024053824,NON_SIF_POTENTIAL,SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-2024054394,SIF_POTENTIAL,NON_SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-2024054524,UNCERTAIN,NON_SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-2024076231,SIF_POTENTIAL,NON_SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-2024087451,UNCERTAIN,NON_SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
OSHA-SIR-20241110530,SIF_POTENTIAL,NON_SIF_POTENTIAL,teammate review supersedes AI consensus; uncertain remains excluded
