"expansion_id","candidate_id","normalized_narrative_sha256","annotation_pass","sif_label","sif_evidence_excerpt","sif_rationale","hazard_energy_assessment","hazard_energy_evidence","personnel_exposure_assessment","personnel_exposure_evidence","barrier_failure_assessment","barrier_failure_evidence","credible_consequence_assessment","credible_consequence_evidence","uncertainty_reason","LSR01_target","LSR01_evidence","LSR01_violation_status","LSR01_unknown_reason","LSR02_target","LSR02_evidence","LSR02_violation_status","LSR02_unknown_reason","LSR03_target","LSR03_evidence","LSR03_violation_status","LSR03_unknown_reason","LSR04_target","LSR04_evidence","LSR04_violation_status","LSR04_unknown_reason","LSR05_target","LSR05_evidence","LSR05_violation_status","LSR05_unknown_reason","LSR06_target","LSR06_evidence","LSR06_violation_status","LSR06_unknown_reason","LSR07_target","LSR07_evidence","LSR07_violation_status","LSR07_unknown_reason","LSR08_target","LSR08_evidence","LSR08_violation_status","LSR08_unknown_reason","LSR09_target","LSR09_evidence","LSR09_violation_status","LSR09_unknown_reason","annotation_status","label_provenance","annotation_version","annotator_model","annotator_id","annotated_at_utc"
"EXP-V0.4-0002","OSHA-SIR-2022086730","dc81d642b84cd2fa701a6fc5e2545158c968131e89326c21b4d24d791b0acfbe","PASS2","SIF_POTENTIAL","A maintenance employee was taking a master link out of a chain when his hand got caught between the chain and sprocket resulting in fractures to the left hand.","The described mechanism and personnel exposure support a credible fatal or life-altering consequence.","SUPPORTED","A maintenance employee was taking a master link out of a chain when his hand got caught between the chain and sprocket resulting in fractures to the left hand.","SUPPORTED","A maintenance employee was taking a master link out of a chain when his hand got caught between the chain and sprocket resulting in fractures to the left hand.","SUPPORTED","A maintenance employee was taking a master link out of a chain when his hand got caught between the chain and sprocket resulting in fractures to the left hand.","SUPPORTED","A maintenance employee was taking a master link out of a chain when his hand got caught between the chain and sprocket resulting in fractures to the left hand.","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","POSITIVE","A maintenance employee was taking a master link out of a chain when his hand got caught between the chain and sprocket resulting in fractures to the left hand.","UNKNOWN","","NEGATIVE","","NOT_ESTABLISHED","","POSITIVE","A maintenance employee was taking a master link out of a chain when his hand got caught between the chain and sprocket resulting in fractures to the left hand.","UNKNOWN","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","completed","AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH","gpt-5.6-sol-ai-assisted-v0.4.0","gpt-5.6-sol","pass2-batch-01","2026-09-10T19:16:30Z"
"EXP-V0.4-0004","OSHA-SIR-2020010318","c441fffb850f54a14a051b4e081f7c6dcb8680b0b5ab32621362e99d0a467b9d","PASS2","NON_SIF_POTENTIAL","An employee was driving a bag cart down a ramp. Her left leg was caught between the bag cart and a wall. The leg was broken and she was hospitalized, undergoing surgery.","The described mechanism is sufficiently clear but does not support a credible fatal or life-altering consequence.","SUPPORTED","An employee was driving a bag cart down a ramp. Her left leg was caught between the bag cart and a wall. The leg was broken and she was hospitalized, undergoing surgery.","SUPPORTED","An employee was driving a bag cart down a ramp. Her left leg was caught between the bag cart and a wall. The leg was broken and she was hospitalized, undergoing surgery.","NOT_SUPPORTED","An employee was driving a bag cart down a ramp. Her left leg was caught between the bag cart and a wall. The leg was broken and she was hospitalized, undergoing surgery.","NOT_SUPPORTED","An employee was driving a bag cart down a ramp. Her left leg was caught between the bag cart and a wall. The leg was broken and she was hospitalized, undergoing surgery.","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","POSITIVE","An employee was driving a bag cart down a ramp. Her left leg was caught between the bag cart and a wall. The leg was broken and she was hospitalized, undergoing surgery.","UNKNOWN","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","POSITIVE","An employee was driving a bag cart down a ramp. Her left leg was caught between the bag cart and a wall. The leg was broken and she was hospitalized, undergoing surgery.","UNKNOWN","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","completed","AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH","gpt-5.6-sol-ai-assisted-v0.4.0","gpt-5.6-sol","pass2-batch-01","2026-09-10T19:16:30Z"
"EXP-V0.4-0009","OSHA-SIR-2017088105","f721b835d8c8b302dcee7f2bcb97ec0b5884112faf9dfc85238c6e9f61f04c13","PASS2","NON_SIF_POTENTIAL","On 8/23/2017, an employee was exiting the driver area of a delivery vehicle when he slipped and fell to the ground, fracturing his wrist.","The described mechanism is sufficiently clear but does not support a credible fatal or life-altering consequence.","SUPPORTED","On 8/23/2017, an employee was exiting the driver area of a delivery vehicle when he slipped and fell to the ground, fracturing his wrist.","SUPPORTED","On 8/23/2017, an employee was exiting the driver area of a delivery vehicle when he slipped and fell to the ground, fracturing his wrist.","NOT_SUPPORTED","On 8/23/2017, an employee was exiting the driver area of a delivery vehicle when he slipped and fell to the ground, fracturing his wrist.","NOT_SUPPORTED","On 8/23/2017, an employee was exiting the driver area of a delivery vehicle when he slipped and fell to the ground, fracturing his wrist.","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","completed","AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH","gpt-5.6-sol-ai-assisted-v0.4.0","gpt-5.6-sol","pass2-batch-01","2026-09-10T19:16:30Z"
"EXP-V0.4-0015","OSHA-SIR-2024043733","e0aea345d876bd9b5f5d04c19563d5c22e2e9a4aeae52317f91f2b87ca31bbd5","PASS2","UNCERTAIN","","Material mechanism or exposure detail is missing, so credible SIF potential cannot be resolved.","SUPPORTED","An employee fell from a portable ladder to the cement floor while reaching for items on the second shelf of storage shelving. They fell on their left side and broke their left humerus, left fibula, and the left pelvis.","SUPPORTED","An employee fell from a portable ladder to the cement floor while reaching for items on the second shelf of storage shelving. They fell on their left side and broke their left humerus, left fibula, and the left pelvis.","UNKNOWN","","UNKNOWN","","The ladder height and resulting fall energy are not stated.","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","POSITIVE","An employee fell from a portable ladder to the cement floor while reaching for items on the second shelf of storage shelving. They fell on their left side and broke their left humerus, left fibula, and the left pelvis.","UNKNOWN","","unresolved","AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH","gpt-5.6-sol-ai-assisted-v0.4.0","gpt-5.6-sol","pass2-batch-01","2026-09-10T19:16:30Z"
"EXP-V0.4-0019","OSHA-SIR-2024088102","8d2d7250b24e2fa6c1b92374aefc8b3e0d151f29ab8dc3c5f7c813a7e62bf723","PASS2","UNCERTAIN","","Material mechanism or exposure detail is missing, so credible SIF potential cannot be resolved.","SUPPORTED","An employee was on a ladder cleaning an elevated drip pan. The employee fell from the ladder to the floor and suffered a broken right elbow and wrist.","SUPPORTED","An employee was on a ladder cleaning an elevated drip pan. The employee fell from the ladder to the floor and suffered a broken right elbow and wrist.","UNKNOWN","","UNKNOWN","","The ladder height and resulting fall energy are not stated.","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","POSITIVE","An employee was on a ladder cleaning an elevated drip pan. The employee fell from the ladder to the floor and suffered a broken right elbow and wrist.","UNKNOWN","","unresolved","AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH","gpt-5.6-sol-ai-assisted-v0.4.0","gpt-5.6-sol","pass2-batch-01","2026-09-10T19:16:30Z"
"EXP-V0.4-0021","OSHA-SIR-2023065173","7bb5766f4bad9b228938e52d31b76cb22506017ece25009d71d36012bb4cec49","PASS2","SIF_POTENTIAL","An employee was walking through the parking lot, returning from their break, when a motor vehicle struck them. The employee sustained a concussion, facial fracture, and contusions.","The described mechanism and personnel exposure support a credible fatal or life-altering consequence.","SUPPORTED","An employee was walking through the parking lot, returning from their break, when a motor vehicle struck them. The employee sustained a concussion, facial fracture, and contusions.","SUPPORTED","An employee was walking through the parking lot, returning from their break, when a motor vehicle struck them. The employee sustained a concussion, facial fracture, and contusions.","SUPPORTED","An employee was walking through the parking lot, returning from their break, when a motor vehicle struck them. The employee sustained a concussion, facial fracture, and contusions.","SUPPORTED","An employee was walking through the parking lot, returning from their break, when a motor vehicle struck them. The employee sustained a concussion, facial fracture, and contusions.","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","POSITIVE","An employee was walking through the parking lot, returning from their break, when a motor vehicle struck them. The employee sustained a concussion, facial fracture, and contusions.","UNKNOWN","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","POSITIVE","An employee was walking through the parking lot, returning from their break, when a motor vehicle struck them. The employee sustained a concussion, facial fracture, and contusions.","UNKNOWN","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","completed","AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH","gpt-5.6-sol-ai-assisted-v0.4.0","gpt-5.6-sol","pass2-batch-01","2026-09-10T19:16:30Z"
"EXP-V0.4-0030","OSHA-SIR-2021065094","1f4e00188cae4e02728e92c341d4d3571e0ab858c42f05dc4022904553370163","PASS2","SIF_POTENTIAL","An employee was using a flange-making machine to make a head for tanks/vessels. The employee stopped the machine to take a measurement of the head with a tape measure. Their glove became caught and their right hand was crushed between the side roll and the head, resulting in five broken bones in the hand and three broken fingers.","The described mechanism and personnel exposure support a credible fatal or life-altering consequence.","SUPPORTED","An employee was using a flange-making machine to make a head for tanks/vessels. The employee stopped the machine to take a measurement of the head with a tape measure. Their glove became caught and their right hand was crushed between the side roll and the head, resulting in five broken bones in the hand and three broken fingers.","SUPPORTED","An employee was using a flange-making machine to make a head for tanks/vessels. The employee stopped the machine to take a measurement of the head with a tape measure. Their glove became caught and their right hand was crushed between the side roll and the head, resulting in five broken bones in the hand and three broken fingers.","SUPPORTED","An employee was using a flange-making machine to make a head for tanks/vessels. The employee stopped the machine to take a measurement of the head with a tape measure. Their glove became caught and their right hand was crushed between the side roll and the head, resulting in five broken bones in the hand and three broken fingers.","SUPPORTED","An employee was using a flange-making machine to make a head for tanks/vessels. The employee stopped the machine to take a measurement of the head with a tape measure. Their glove became caught and their right hand was crushed between the side roll and the head, resulting in five broken bones in the hand and three broken fingers.","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","POSITIVE","An employee was using a flange-making machine to make a head for tanks/vessels. The employee stopped the machine to take a measurement of the head with a tape measure. Their glove became caught and their right hand was crushed between the side roll and the head, resulting in five broken bones in the hand and three broken fingers.","ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","POSITIVE","An employee was using a flange-making machine to make a head for tanks/vessels. The employee stopped the machine to take a measurement of the head with a tape measure. Their glove became caught and their right hand was crushed between the side roll and the head, resulting in five broken bones in the hand and three broken fingers.","UNKNOWN","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","completed","AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH","gpt-5.6-sol-ai-assisted-v0.4.0","gpt-5.6-sol","pass2-batch-01","2026-09-10T19:16:30Z"
"EXP-V0.4-0032","OSHA-SIR-20191010466","af6b8aeea9044e7e07722db9fbeff89eb267dbf4379f6d0047956ceab4815376","PASS2","SIF_POTENTIAL","On 10/07/2019, at approximately 17:45, an employee was filling a propane tank inside a scrubber when a static ignition source was created and ignited the propane vapors in the area, causing a flash fire. The employee received burns to the left arm and both legs, requiring hospitalization.","The described mechanism and personnel exposure support a credible fatal or life-altering consequence.","SUPPORTED","On 10/07/2019, at approximately 17:45, an employee was filling a propane tank inside a scrubber when a static ignition source was created and ignited the propane vapors in the area, causing a flash fire. The employee received burns to the left arm and both legs, requiring hospitalization.","SUPPORTED","On 10/07/2019, at approximately 17:45, an employee was filling a propane tank inside a scrubber when a static ignition source was created and ignited the propane vapors in the area, causing a flash fire. The employee received burns to the left arm and both legs, requiring hospitalization.","SUPPORTED","On 10/07/2019, at approximately 17:45, an employee was filling a propane tank inside a scrubber when a static ignition source was created and ignited the propane vapors in the area, causing a flash fire. The employee received burns to the left arm and both legs, requiring hospitalization.","SUPPORTED","On 10/07/2019, at approximately 17:45, an employee was filling a propane tank inside a scrubber when a static ignition source was created and ignited the propane vapors in the area, causing a flash fire. The employee received burns to the left arm and both legs, requiring hospitalization.","","NEGATIVE","","NOT_ESTABLISHED","","UNKNOWN","","UNKNOWN","The narrative places the propane tank inside a scrubber but does not establish that the employee entered or worked within the scrubber.","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","POSITIVE","On 10/07/2019, at approximately 17:45, an employee was filling a propane tank inside a scrubber when a static ignition source was created and ignited the propane vapors in the area, causing a flash fire. The employee received burns to the left arm and both legs, requiring hospitalization.","ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","completed","AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH","gpt-5.6-sol-ai-assisted-v0.4.0","gpt-5.6-sol","pass2-batch-01","2026-09-10T19:16:30Z"
"EXP-V0.4-0033","OSHA-SIR-2024043742","b4c4c26ee287fe237af79d560d537b35a0ecb33f8fa8253536b4df747836f73d","PASS2","SIF_POTENTIAL","An employee entered a freezer with a pallet jack loaded with product and may have fallen on the same level in the walk-in freezer, striking the back of his head. As he was exiting the freezer about three minutes later, he was unstable from a head injury with intracranial hemorrhage and loss of consciousness. He was hospitalized.","The described mechanism and personnel exposure support a credible fatal or life-altering consequence.","SUPPORTED","An employee entered a freezer with a pallet jack loaded with product and may have fallen on the same level in the walk-in freezer, striking the back of his head. As he was exiting the freezer about three minutes later, he was unstable from a head injury with intracranial hemorrhage and loss of consciousness. He was hospitalized.","SUPPORTED","An employee entered a freezer with a pallet jack loaded with product and may have fallen on the same level in the walk-in freezer, striking the back of his head. As he was exiting the freezer about three minutes later, he was unstable from a head injury with intracranial hemorrhage and loss of consciousness. He was hospitalized.","SUPPORTED","An employee entered a freezer with a pallet jack loaded with product and may have fallen on the same level in the walk-in freezer, striking the back of his head. As he was exiting the freezer about three minutes later, he was unstable from a head injury with intracranial hemorrhage and loss of consciousness. He was hospitalized.","SUPPORTED","An employee entered a freezer with a pallet jack loaded with product and may have fallen on the same level in the walk-in freezer, striking the back of his head. As he was exiting the freezer about three minutes later, he was unstable from a head injury with intracranial hemorrhage and loss of consciousness. He was hospitalized.","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","completed","AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH","gpt-5.6-sol-ai-assisted-v0.4.0","gpt-5.6-sol","pass2-batch-01","2026-09-10T19:16:30Z"
"EXP-V0.4-0036","OSHA-SIR-2025099529","6291c144d76aee8000bc38f9be274bf061a433f6acdb7a8f224033fa1b557b04","PASS2","UNCERTAIN","","Material mechanism or exposure detail is missing, so credible SIF potential cannot be resolved.","SUPPORTED","An employee was standing on an extension ladder that was leaning against the wall while pulling wire through the ceiling. The ladder and the employee slipped and fell to the floor. The employee was hospitalized with a fractured femur.","SUPPORTED","An employee was standing on an extension ladder that was leaning against the wall while pulling wire through the ceiling. The ladder and the employee slipped and fell to the floor. The employee was hospitalized with a fractured femur.","UNKNOWN","","UNKNOWN","","The extension-ladder height and resulting fall energy are not stated.","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","NEGATIVE","","NOT_ESTABLISHED","","POSITIVE","An employee was standing on an extension ladder that was leaning against the wall while pulling wire through the ceiling. The ladder and the employee slipped and fell to the floor. The employee was hospitalized with a fractured femur.","UNKNOWN","","unresolved","AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH","gpt-5.6-sol-ai-assisted-v0.4.0","gpt-5.6-sol","pass2-batch-01","2026-09-10T19:16:30Z"
