candidate_id,source,source_record_id,narrative,pass_a_label,pass_a_confidence,pass_a_hazard,pass_a_exposure,pass_a_barrier_failure,pass_a_credible_consequence,pass_a_reason,pass_a_framework_version,pass_b_label,pass_b_confidence,pass_b_hazard,pass_b_exposure,pass_b_barrier_failure,pass_b_credible_consequence,pass_b_reason,pass_b_framework_version,consensus_label,consensus_confidence,reconciliation_status,label_provenance
OSHA-SIR-20241110304,OSHA_SIR,20241110304,An employee was bitten by a spider on the job site. The employee was hospitalized.,UNCERTAIN,0.55,Biological bite/sting; agent toxicity unspecified,Employee was bitten,No barrier information stated,Potential severity cannot be established from the narrative,The biting agent and credible severe consequence are not described well enough for a binary judgment.,AI_SOL_XHIGH_PASS_A,UNCERTAIN,0.55,Biological bite or sting,"A bite or sting occurred, but agent severity is not established","Relevant detection, avoidance, or protection details are not described",Insufficient evidence to establish or exclude fatal or life-altering toxicity,"The narrative lacks species, toxicity, and control detail needed for a reliable SIF-potential judgment.",SIF_LABELING_GUIDE_V0_1,UNCERTAIN,,UNCERTAIN,AI_SOL_DUAL_PASS_UNCERTAIN
OSHA-SIR-2024032164,OSHA_SIR,2024032164,"An employee strapped an 8-inch mud motor on a pipe rack, then went to trace the high side of the mud motor from the adjustable kick off (AKO) to the upper connection of the motor. To better position the motor on the pipe rack, the employee went to roll the motor over. They inserted a rock between the motor and the pipe rack as a chock to prevent it from rolling. The motor rolled back crushing the employee's left thumb and resulting in amputation of the tip.",SIF_POTENTIAL,0.78,Uncontrolled rolling heavy component,Worker handled the component in its roll path,Chocking and stability control failed,Crushing of a limb or body,The heavy component was inadequately secured and could credibly crush more than the exposed hand.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.93,"Heavy moving, shifting, rolling, or collapsing equipment",Personnel occupied the crush or line-of-fire zone,"Stability, exclusion-zone, or movement control failed",Credible fatal or life-altering crush trauma,A person was exposed to uncontrolled heavy movement with credible fatal or life-altering crush potential.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.780000,CONSENSUS_LOWER_CONFIDENCE,AI_SOL_DUAL_PASS_CONSENSUS_LOWER_CONFIDENCE
OSHA-SIR-2024010257,OSHA_SIR,2024010257,"An employee was attempting a lift with a crane and caught their left index finger between two shells (36-inch diameter cylinder vessels), resulting in amputation.",SIF_POTENTIAL,0.73,Crane-handled heavy load,Worker placed a hand at the load interface,Hands-free positioning and line-of-fire controls failed,Crushing by a shifting load,The worker was directly exposed at a crane-handled load interface where load movement could cause serious crushing.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.95,"Suspended, lifted, or falling heavy load",Personnel were beneath or immediately beside the load path,"Load support, retention, rigging, or exclusion control failed",Credible fatal crushing or catastrophic head and body trauma,The uncontrolled load and occupied drop zone support a credible fatal or life-altering consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.730000,CONSENSUS_LOWER_CONFIDENCE,AI_SOL_DUAL_PASS_CONSENSUS_LOWER_CONFIDENCE
OSHA-SIR-2024010653,OSHA_SIR,2024010653,An employee was using a hydraulic bolt torquing machine on a ladder when the machine struck the employee's little finger and palm. The employee suffered a laceration and crush injury to the right hand that required hospitalization.,UNCERTAIN,0.58,Hydraulic tool and work from ladder,Worker's hand was struck while on the ladder,Tool-control and fall-protection context is incomplete,Serious hand injury or fall; severity unclear,The narrative does not establish ladder height or whether tool movement could credibly produce a SIF consequence.,AI_SOL_XHIGH_PASS_A,UNCERTAIN,0.55,Potential lower-level fall or opening of unspecified depth,"Personnel were near the fall hazard, but the credible fall path is unclear","Height, edge protection, or fall-protection details are missing",Insufficient evidence to establish or exclude fatal or life-altering fall trauma,The fall height and protective-barrier evidence are insufficient for a reliable SIF-potential judgment.,SIF_LABELING_GUIDE_V0_1,UNCERTAIN,,UNCERTAIN,AI_SOL_DUAL_PASS_UNCERTAIN
OSHA-SIR-2024021317,OSHA_SIR,2024021317,"An employee was operating a winch when his left hand got caught under a cable, resulting in an amputation of the ring fingertip.",SIF_POTENTIAL,0.72,"Powered cable, winch, or spool",Worker was caught or pulled by the line,Line-of-fire and entanglement controls failed,Whole-body draw-in or traumatic amputation,"The powered line could draw the worker further into equipment, creating credible fatal or life-altering exposure.",AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.94,Moving or rotating machinery and entanglement energy,"Personnel were within an in-running, pull-in, or entanglement zone","Isolation, guarding, or separation from moving parts failed","Credible fatal crushing, pull-in trauma, or life-altering amputation",Personnel exposure to uncontrolled moving machinery supports a credible fatal or life-altering entanglement consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.720000,CONSENSUS_LOWER_CONFIDENCE,AI_SOL_DUAL_PASS_CONSENSUS_LOWER_CONFIDENCE
OSHA-SIR-2025032579,OSHA_SIR,2025032579,"An employee was operating a forklift in a yard to move empty poly totes when his left foot got caught on a stationary tote as he passed by it. His foot then twisted backward, resulting in a fractured tibia that required hospitalization and surgery.",NON_SIF_POTENTIAL,0.72,Moving forklift with external contact,Operator's foot caught on a stationary tote,Clearance control was inadequate,Localized lower-limb injury,"The described event is a localized foot twist without evidence of run-over, collision, or whole-body crush exposure.",AI_SOL_XHIGH_PASS_A,NON_SIF_POTENTIAL,0.88,"Localized contact, impact, or manual-handling energy",Personnel contacted the immediate object or surface,"Local positioning, handling, or housekeeping control failed",Localized injury without a supported fatal or life-altering escalation,The localized contact mechanism does not support a credible fatal or life-altering potential consequence.,SIF_LABELING_GUIDE_V0_1,NON_SIF_POTENTIAL,0.720000,CONSENSUS_LOWER_CONFIDENCE,AI_SOL_DUAL_PASS_CONSENSUS_LOWER_CONFIDENCE
OSHA-SIR-2024076029,OSHA_SIR,2024076029,An employee was running casing when they pulled the hydraulic power tongs using the handle and the handle crushed their right middle finger against the drill pipe. The employee sustained an amputation to the fingertip and nail.,NON_SIF_POTENTIAL,0.83,Localized pinch or caught-between point,Hand or finger was placed at the contact point,Hand-positioning or pinch-point control failed,Localized digit injury,The described geometry confines exposure to a hand or finger without credible whole-body or fatal escalation.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.94,Moving or rotating machinery and entanglement energy,"Personnel were within an in-running, pull-in, or entanglement zone","Isolation, guarding, or separation from moving parts failed","Credible fatal crushing, pull-in trauma, or life-altering amputation",Personnel exposure to uncontrolled moving machinery supports a credible fatal or life-altering entanglement consequence.,SIF_LABELING_GUIDE_V0_1,,,DISAGREEMENT,AI_SOL_DUAL_PASS_DISAGREEMENT
OSHA-SIR-2025021422,OSHA_SIR,2025021422,"A crew was utilizing a forklift to install fence barriers around a well. The carriage of the forklift was being used to push down on the fence frame and push the legs of the barriers into the feet slots in the ground. The injured employee was signaling the forklift operator with his left hand while his right hand was on the barrier next to the one being installed. The forklift was pushing down on the barrier when the carriage slipped and contacted the injured employee's right index and middle fingers, resulting in amputations.",NON_SIF_POTENTIAL,0.7,Localized pinch or caught-between point,Hand or finger was placed at the contact point,Hand-positioning or pinch-point control failed,Localized digit injury,The described geometry confines exposure to a hand or finger without credible whole-body or fatal escalation.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.93,"Heavy moving, shifting, rolling, or collapsing equipment",Personnel occupied the crush or line-of-fire zone,"Stability, exclusion-zone, or movement control failed",Credible fatal or life-altering crush trauma,A person was exposed to uncontrolled heavy movement with credible fatal or life-altering crush potential.,SIF_LABELING_GUIDE_V0_1,,,DISAGREEMENT,AI_SOL_DUAL_PASS_DISAGREEMENT
OSHA-SIR-2024010753,OSHA_SIR,2024010753,"The injured employee drove a dump truck to a worksite to unload a portion of rock. A mini excavator was parked and waiting on the shoulder of the road. When the injured employee exited the dump truck, the mini excavator rotated and the injured employee's middle finger was caught between the cab door of the excavator and the open door of the dump truck, resulting in a distal amputation of the third digit.",NON_SIF_POTENTIAL,0.87,Localized pinch or caught-between point,Hand or finger was placed at the contact point,Hand-positioning or pinch-point control failed,Localized digit injury,The described geometry confines exposure to a hand or finger without credible whole-body or fatal escalation.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.95,Moving vehicle or mobile-equipment kinetic energy,"An occupant or pedestrian was in the collision, rollover, or run-over path","Traffic separation, spotting, restraint, stability, or vehicle control failed","Credible fatal collision, rollover, ejection, or crush trauma",The uncontrolled vehicle interaction supports a credible fatal or life-altering consequence.,SIF_LABELING_GUIDE_V0_1,,,DISAGREEMENT,AI_SOL_DUAL_PASS_DISAGREEMENT
OSHA-SIR-2024098564,OSHA_SIR,2024098564,"A crew was connecting a trailer to a pickup. The crew used a forklift to lift the trailer to put it on the receiver. The injured employee's left index finger was on the ball hitch when the forklift set the trailer down, resulting in amputation at the first joint.",NON_SIF_POTENTIAL,0.86,Localized pinch or caught-between point,Hand or finger was placed at the contact point,Hand-positioning or pinch-point control failed,Localized digit injury,The described geometry confines exposure to a hand or finger without credible whole-body or fatal escalation.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.95,"Suspended, lifted, or falling heavy load",Personnel were beneath or immediately beside the load path,"Load support, retention, rigging, or exclusion control failed",Credible fatal crushing or catastrophic head and body trauma,The uncontrolled load and occupied drop zone support a credible fatal or life-altering consequence.,SIF_LABELING_GUIDE_V0_1,,,DISAGREEMENT,AI_SOL_DUAL_PASS_DISAGREEMENT
