expansion_id,candidate_id,normalized_narrative_sha256,annotation_pass,sif_label,sif_evidence_excerpt,sif_rationale,hazard_energy_assessment,hazard_energy_evidence,personnel_exposure_assessment,personnel_exposure_evidence,barrier_failure_assessment,barrier_failure_evidence,credible_consequence_assessment,credible_consequence_evidence,uncertainty_reason,LSR01_target,LSR01_evidence,LSR01_violation_status,LSR01_unknown_reason,LSR02_target,LSR02_evidence,LSR02_violation_status,LSR02_unknown_reason,LSR03_target,LSR03_evidence,LSR03_violation_status,LSR03_unknown_reason,LSR04_target,LSR04_evidence,LSR04_violation_status,LSR04_unknown_reason,LSR05_target,LSR05_evidence,LSR05_violation_status,LSR05_unknown_reason,LSR06_target,LSR06_evidence,LSR06_violation_status,LSR06_unknown_reason,LSR07_target,LSR07_evidence,LSR07_violation_status,LSR07_unknown_reason,LSR08_target,LSR08_evidence,LSR08_violation_status,LSR08_unknown_reason,LSR09_target,LSR09_evidence,LSR09_violation_status,LSR09_unknown_reason,annotation_status,label_provenance,annotation_version,annotator_model,annotator_id,annotated_at_utc
EXP-V0.4-0439,OSHA-SIR-2021108620,63c80d33d7c3663b8902dcdfedf464b53da2a6e1bb3ac45200f65a8e128914a6,PASS2,NON_SIF_POTENTIAL,"An employee stepped back, tripped over soft sand, and fell, breaking his left leg.","The fall exposure is described, but the supported mechanism is localized or low-energy and does not establish credible fatal or life-altering potential.",SUPPORTED,"An employee stepped back, tripped over soft sand, and fell, breaking his left leg.",SUPPORTED,"An employee stepped back, tripped over soft sand, and fell, breaking his left leg.",NOT_SUPPORTED,,NOT_SUPPORTED,"An employee stepped back, tripped over soft sand, and fell, breaking his left leg.",,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,pass2-batch-03,2026-09-10T19:16:29.788Z
EXP-V0.4-0440,OSHA-SIR-2023054752,4feb937d4bea172b5738fb20fd8fa2f2b4ff6cbd36877e25c5c2c62e7b4e5248,PASS2,NON_SIF_POTENTIAL,"The employee had clocked out for the day and was leaving the facility. As the employee was going down an exit ramp to the parking lot, their wheelchair struck a bump and the foot plate became jammed. The employee was ejected from the wheelchair onto the concrete/pavement and sustained a hip fracture.","The moving-vehicle or mobile-equipment exposure is described, but the supported mechanism is localized or low-energy and does not establish credible fatal or life-altering potential.",SUPPORTED,"The employee had clocked out for the day and was leaving the facility. As the employee was going down an exit ramp to the parking lot, their wheelchair struck a bump and the foot plate became jammed. The employee was ejected from the wheelchair onto the concrete/pavement and sustained a hip fracture.",SUPPORTED,"The employee had clocked out for the day and was leaving the facility. As the employee was going down an exit ramp to the parking lot, their wheelchair struck a bump and the foot plate became jammed. The employee was ejected from the wheelchair onto the concrete/pavement and sustained a hip fracture.",NOT_SUPPORTED,,NOT_SUPPORTED,"The employee had clocked out for the day and was leaving the facility. As the employee was going down an exit ramp to the parking lot, their wheelchair struck a bump and the foot plate became jammed. The employee was ejected from the wheelchair onto the concrete/pavement and sustained a hip fracture.",,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,pass2-batch-03,2026-09-10T19:16:29.788Z
EXP-V0.4-0441,OSHA-SIR-2017087996,152d8a4f7e2474b03db1315c80da70be60c02591bbbb76af4a37a202a71e2a34,PASS2,NON_SIF_POTENTIAL,An employee was apprehending a suspect at the west side building entrance. The employee was attacked by another suspect resulting in a broken jaw requiring surgery.,"The violence or animal-force exposure is described, but the supported mechanism is localized or low-energy and does not establish credible fatal or life-altering potential.",SUPPORTED,An employee was apprehending a suspect at the west side building entrance. The employee was attacked by another suspect resulting in a broken jaw requiring surgery.,SUPPORTED,An employee was apprehending a suspect at the west side building entrance. The employee was attacked by another suspect resulting in a broken jaw requiring surgery.,NOT_SUPPORTED,,NOT_SUPPORTED,An employee was apprehending a suspect at the west side building entrance. The employee was attacked by another suspect resulting in a broken jaw requiring surgery.,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,pass2-batch-03,2026-09-10T19:16:29.788Z
EXP-V0.4-0442,OSHA-SIR-2024053798,abbf2f4a81b9a817398e583b62d8c79603f3e8d0d1a510cd751b97de22efb9d9,PASS2,SIF_POTENTIAL,An employee was descending the fixed ladder on an open-top trailer of wood chips when the top rung broke and they fell approximately eight feet to the ground. They sustained a fractured vertebra in their back.,The fall exposure and actual personnel exposure support a credible fatal or life-altering consequence.,SUPPORTED,An employee was descending the fixed ladder on an open-top trailer of wood chips when the top rung broke and they fell approximately eight feet to the ground. They sustained a fractured vertebra in their back.,SUPPORTED,An employee was descending the fixed ladder on an open-top trailer of wood chips when the top rung broke and they fell approximately eight feet to the ground. They sustained a fractured vertebra in their back.,SUPPORTED,An employee was descending the fixed ladder on an open-top trailer of wood chips when the top rung broke and they fell approximately eight feet to the ground. They sustained a fractured vertebra in their back.,SUPPORTED,An employee was descending the fixed ladder on an open-top trailer of wood chips when the top rung broke and they fell approximately eight feet to the ground. They sustained a fractured vertebra in their back.,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,An employee was descending the fixed ladder on an open-top trailer of wood chips when the top rung broke and they fell approximately eight feet to the ground. They sustained a fractured vertebra in their back.,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,pass2-batch-03,2026-09-10T19:16:29.788Z
EXP-V0.4-0443,OSHA-SIR-20241110430,a748162760aa6f0c7b73bb09abc060bae2eb368e7d09a1c5998c6617667cff2c,PASS2,NON_SIF_POTENTIAL,"An employee was walking to the supply room during a code rescue, and as she turned a corner, she twisted her right ankle, causing her to fall and fracture it.","The fall exposure is described, but the supported mechanism is localized or low-energy and does not establish credible fatal or life-altering potential.",SUPPORTED,"An employee was walking to the supply room during a code rescue, and as she turned a corner, she twisted her right ankle, causing her to fall and fracture it.",SUPPORTED,"An employee was walking to the supply room during a code rescue, and as she turned a corner, she twisted her right ankle, causing her to fall and fracture it.",NOT_SUPPORTED,,NOT_SUPPORTED,"An employee was walking to the supply room during a code rescue, and as she turned a corner, she twisted her right ankle, causing her to fall and fracture it.",,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,pass2-batch-03,2026-09-10T19:16:29.788Z
EXP-V0.4-0444,OSHA-SIR-2019011093,40d20e9370046d0ae2abcb1c47ba8e6111ef713fc121ad00004f27119c932c9c,PASS2,SIF_POTENTIAL,"A trainee employee was connecting a propane hose to a cylinder tank when his hand hit the handle to open the valve. The propane hose came loose and the employee's jacket was soaked with the propane. The employee received propane burns on his left leg and ankle, his right wrist, and abdominal area.",The stored-energy or pressure-release exposure and actual personnel exposure support a credible fatal or life-altering consequence.,SUPPORTED,"A trainee employee was connecting a propane hose to a cylinder tank when his hand hit the handle to open the valve. The propane hose came loose and the employee's jacket was soaked with the propane. The employee received propane burns on his left leg and ankle, his right wrist, and abdominal area.",SUPPORTED,"A trainee employee was connecting a propane hose to a cylinder tank when his hand hit the handle to open the valve. The propane hose came loose and the employee's jacket was soaked with the propane. The employee received propane burns on his left leg and ankle, his right wrist, and abdominal area.",SUPPORTED,"A trainee employee was connecting a propane hose to a cylinder tank when his hand hit the handle to open the valve. The propane hose came loose and the employee's jacket was soaked with the propane. The employee received propane burns on his left leg and ankle, his right wrist, and abdominal area.",SUPPORTED,"A trainee employee was connecting a propane hose to a cylinder tank when his hand hit the handle to open the valve. The propane hose came loose and the employee's jacket was soaked with the propane. The employee received propane burns on his left leg and ankle, his right wrist, and abdominal area.",,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,"A trainee employee was connecting a propane hose to a cylinder tank when his hand hit the handle to open the valve. The propane hose came loose and the employee's jacket was soaked with the propane. The employee received propane burns on his left leg and ankle, his right wrist, and abdominal area.",ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,"A trainee employee was connecting a propane hose to a cylinder tank when his hand hit the handle to open the valve. The propane hose came loose and the employee's jacket was soaked with the propane. The employee received propane burns on his left leg and ankle, his right wrist, and abdominal area.",ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,pass2-batch-03,2026-09-10T19:16:29.788Z
EXP-V0.4-0445,OSHA-SIR-2024021637,5beeeff0e8499c19fef27c529c7a852c15303742b021f1e71e75bfea0504fedf,PASS2,SIF_POTENTIAL,"An employee was respooling a wire drum for a crane when they were struck by a pole that held the drum, resulting in hospitalization due to multiple fractures and head trauma.",The moving-vehicle or mobile-equipment exposure and actual personnel exposure support a credible fatal or life-altering consequence.,SUPPORTED,"An employee was respooling a wire drum for a crane when they were struck by a pole that held the drum, resulting in hospitalization due to multiple fractures and head trauma.",SUPPORTED,"An employee was respooling a wire drum for a crane when they were struck by a pole that held the drum, resulting in hospitalization due to multiple fractures and head trauma.",NOT_SUPPORTED,,SUPPORTED,"An employee was respooling a wire drum for a crane when they were struck by a pole that held the drum, resulting in hospitalization due to multiple fractures and head trauma.",,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,"An employee was respooling a wire drum for a crane when they were struck by a pole that held the drum, resulting in hospitalization due to multiple fractures and head trauma.",ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,pass2-batch-03,2026-09-10T19:16:29.788Z
EXP-V0.4-0446,OSHA-SIR-2016054050,a6f0553b37dc2d7adb220cc1562e26b83c45a32b4488e65b7ae97f30d8be70da,PASS2,NON_SIF_POTENTIAL,"An employee was grinding on a structural handrail for a work platform with a grating floor. The employee lost control of the grinder, which lacerated and fractured his left index finger. His left index fingertip was surgically amputated.","The moving-machinery or caught-between exposure is described, but the supported mechanism is localized or low-energy and does not establish credible fatal or life-altering potential.",SUPPORTED,"An employee was grinding on a structural handrail for a work platform with a grating floor. The employee lost control of the grinder, which lacerated and fractured his left index finger. His left index fingertip was surgically amputated.",SUPPORTED,"An employee was grinding on a structural handrail for a work platform with a grating floor. The employee lost control of the grinder, which lacerated and fractured his left index finger. His left index fingertip was surgically amputated.",NOT_SUPPORTED,,NOT_SUPPORTED,"An employee was grinding on a structural handrail for a work platform with a grating floor. The employee lost control of the grinder, which lacerated and fractured his left index finger. His left index fingertip was surgically amputated.",,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,"An employee was grinding on a structural handrail for a work platform with a grating floor. The employee lost control of the grinder, which lacerated and fractured his left index finger. His left index fingertip was surgically amputated.",NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,pass2-batch-03,2026-09-10T19:16:29.788Z
EXP-V0.4-0447,OSHA-SIR-2017088140,704c6e76acbd1124dcf9c88be7a6bdfa4373b2b7bd513716e5a15fda75b499c9,PASS2,SIF_POTENTIAL,"A security guard was performing a welfare check on a man who pulled a gun and tried to shoot her. She then fell back and braced her fall with her left hand, breaking her wrist and requiring hospitalization.",The fall exposure and actual personnel exposure support a credible fatal or life-altering consequence.,SUPPORTED,"A security guard was performing a welfare check on a man who pulled a gun and tried to shoot her. She then fell back and braced her fall with her left hand, breaking her wrist and requiring hospitalization.",SUPPORTED,"A security guard was performing a welfare check on a man who pulled a gun and tried to shoot her. She then fell back and braced her fall with her left hand, breaking her wrist and requiring hospitalization.",NOT_SUPPORTED,,SUPPORTED,"A security guard was performing a welfare check on a man who pulled a gun and tried to shoot her. She then fell back and braced her fall with her left hand, breaking her wrist and requiring hospitalization.",,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,"A security guard was performing a welfare check on a man who pulled a gun and tried to shoot her. She then fell back and braced her fall with her left hand, breaking her wrist and requiring hospitalization.",ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,pass2-batch-03,2026-09-10T19:16:29.788Z
EXP-V0.4-0448,OSHA-SIR-2025010601,ec99858b0edd5a5b41615e26134af9eeb9c87e24a59f0036992b319d61d20bbd,PASS2,NON_SIF_POTENTIAL,An employee was adjusting the height of a gantry crane when their left index finger became caught in a leg pinhole as the crane was lowered. The employee sustained an amputation of their left index finger at the first joint.,"The lifting, dropped-object, or crushing exposure is described, but the supported mechanism is localized or low-energy and does not establish credible fatal or life-altering potential.",SUPPORTED,An employee was adjusting the height of a gantry crane when their left index finger became caught in a leg pinhole as the crane was lowered. The employee sustained an amputation of their left index finger at the first joint.,SUPPORTED,An employee was adjusting the height of a gantry crane when their left index finger became caught in a leg pinhole as the crane was lowered. The employee sustained an amputation of their left index finger at the first joint.,SUPPORTED,An employee was adjusting the height of a gantry crane when their left index finger became caught in a leg pinhole as the crane was lowered. The employee sustained an amputation of their left index finger at the first joint.,NOT_SUPPORTED,An employee was adjusting the height of a gantry crane when their left index finger became caught in a leg pinhole as the crane was lowered. The employee sustained an amputation of their left index finger at the first joint.,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,An employee was adjusting the height of a gantry crane when their left index finger became caught in a leg pinhole as the crane was lowered. The employee sustained an amputation of their left index finger at the first joint.,ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,POSITIVE,An employee was adjusting the height of a gantry crane when their left index finger became caught in a leg pinhole as the crane was lowered. The employee sustained an amputation of their left index finger at the first joint.,ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,NEGATIVE,,NOT_ESTABLISHED,,completed,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,pass2-batch-03,2026-09-10T19:16:29.788Z
